,bb,random,hi_lo,ko,zen,ten,halves,uston
0,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
1,0.98,0.98,0.98,0.98,0.98,1.0,0.98,0.98
2,0.96,0.97,0.97,0.97,0.97,0.99,0.97,0.97
3,0.95,0.96,0.96,0.98,0.96,0.98,0.98,0.96
4,0.95,0.95,0.95,0.99,0.95,0.97,0.97,0.97
5,0.95,0.96,0.95,0.98,0.95,0.96,0.96,0.97
6,0.93,0.95,0.94,0.97,0.96,0.97,0.95,0.96
7,0.92,0.94,0.93,0.96,0.95,0.97,0.96,0.95
8,0.93,0.92,0.93,0.95,0.94,0.96,0.97,0.94
9,0.91,0.93,0.92,0.94,0.95,0.95,0.96,0.92
10,1.01,0.99,0.99,0.99,0.99,0.99,0.99,0.99
11,1.0,0.97,0.98,1.0,0.98,1.0,0.98,0.98
12,0.98,0.96,0.99,0.99,0.97,0.99,0.99,0.99
13,0.99,0.94,1.0,0.98,0.96,0.98,0.98,0.97
14,0.98,0.92,0.99,0.97,0.95,0.97,0.97,0.96
15,0.97,0.9,0.98,0.97,0.96,0.96,0.96,0.95
16,0.96,0.89,0.97,0.96,0.95,0.95,0.95,0.94
17,0.95,0.88,0.96,0.96,0.96,0.94,0.94,0.92
18,0.94,0.86,0.96,0.97,0.95,0.93,0.93,0.91
19,0.93,0.84,0.95,0.97,0.94,0.92,0.92,0.9
20,0.99,1.01,0.99,0.99,0.99,0.99,1.01,0.99
21,0.98,0.99,1.0,0.98,1.0,0.98,1.0,0.98
22,0.99,0.97,0.99,0.99,0.99,0.97,0.99,0.97
23,0.98,0.96,0.98,0.98,0.98,0.96,0.98,0.96
24,0.97,0.95,0.97,0.99,0.97,0.95,0.97,0.95
25,0.97,0.94,0.96,0.98,0.96,0.94,0.96,0.94
26,0.96,0.93,0.95,0.97,0.96,0.93,0.95,0.93
27,0.97,0.93,0.96,0.96,0.97,0.92,0.94,0.92
28,0.99,0.91,0.97,0.95,0.96,0.92,0.93,0.91
29,0.98,0.92,0.96,0.94,0.95,0.91,0.92,0.91
30,1.0,0.99,0.99,1.0,1.01,0.99,0.99,0.99
31,1.01,0.98,0.98,0.99,1.0,0.98,0.98,0.98
32,1.0,0.97,0.97,0.98,0.99,0.97,0.98,0.97
33,0.99,0.96,0.96,0.97,0.98,0.98,0.98,0.96
34,0.98,0.95,0.97,0.96,0.98,0.97,0.99,0.95
35,0.97,0.94,0.96,0.95,0.99,0.96,0.98,0.96
36,0.98,0.92,0.95,0.94,0.98,0.95,0.97,0.97
37,0.97,0.91,0.96,0.93,0.97,0.96,0.97,0.95
38,0.98,0.93,0.95,0.92,0.96,0.95,0.96,0.94
39,0.97,0.93,0.94,0.91,0.96,0.94,0.95,0.93
40,1.01,1.02,0.99,0.99,0.99,0.99,0.99,0.99
41,1.01,1.02,0.98,0.99,0.98,0.98,0.98,0.98
42,1.0,1.0,0.97,1.0,0.97,0.97,0.97,0.96
43,0.99,0.99,0.96,0.99,0.96,0.96,0.96,0.95
44,0.98,0.97,0.95,0.98,0.95,0.97,0.97,0.94
45,0.97,0.96,0.94,0.99,0.94,0.96,0.96,0.93
46,0.96,0.94,0.93,0.98,0.95,0.95,0.95,0.94
47,0.98,0.93,0.92,0.97,0.94,0.94,0.94,0.95
48,0.96,0.94,0.91,0.96,0.93,0.93,0.95,0.93
49,0.95,0.93,0.9,0.97,0.92,0.94,0.96,0.92
50,0.98,0.98,0.99,0.99,1.01,1.01,0.99,1.01
51,0.99,0.97,0.98,1.0,1.02,1.0,0.98,1.0
52,0.98,0.96,0.99,1.01,1.01,0.99,0.97,0.99
53,0.96,0.94,0.98,1.0,1.02,0.99,0.96,1.0
