,bb,random,hi_lo,ko,zen,ten,halves,uston
0,0.99,0.99,1.015,1.015,1.015,0.99,1.015,1.03
1,0.98,0.97,1.005,1.005,1.03,0.98,1.03,1.02
2,0.98,0.985,1.02,1.02,1.045,0.97,1.045,1.035
3,0.97,0.975,1.035,1.035,1.035,0.96,1.06,1.015
4,0.97,0.99,1.05,1.025,1.05,0.975,1.075,0.995
5,0.97,1.005,1.04,1.015,1.065,0.965,1.09,1.01
6,0.96,1.005,1.055,1.03,1.055,0.98,1.08,1.0
7,0.95,0.985,1.07,1.045,1.045,0.97,1.095,0.98
8,0.965,0.975,1.085,1.035,1.06,0.985,1.085,0.98
9,0.955,0.965,1.075,1.025,1.075,1.0,1.075,0.98
10,0.945,0.955,1.065,1.04,1.065,1.015,1.09,1.01
11,0.96,0.97,1.08,1.055,1.08,1.005,1.09,1.025
12,0.96,0.985,1.095,1.07,1.07,0.995,1.105,1.015
13,0.975,1.015,1.11,1.06,1.06,1.01,1.095,1.045
14,1.005,1.005,1.125,1.05,1.075,1.025,1.085,1.06
15,0.995,1.02,1.115,1.065,1.09,1.04,1.1,1.09
16,0.985,1.02,1.105,1.08,1.08,1.03,1.09,1.12
17,1.0,1.05,1.12,1.095,1.07,1.045,1.105,1.11
18,1.015,1.08,1.11,1.11,1.085,1.06,1.12,1.11
19,1.03,1.07,1.125,1.1,1.1,1.05,1.135,1.1
20,1.045,1.1,1.14,1.09,1.115,1.065,1.135,1.115
21,1.06,1.115,1.155,1.105,1.105,1.055,1.15,1.145
22,1.05,1.095,1.17,1.095,1.12,1.07,1.14,1.125
23,1.04,1.075,1.16,1.11,1.135,1.06,1.13,1.115
24,1.055,1.09,1.15,1.125,1.125,1.05,1.13,1.13
25,1.07,1.08,1.165,1.115,1.14,1.065,1.145,1.13
26,1.085,1.11,1.155,1.13,1.13,1.08,1.16,1.12
27,1.1,1.125,1.17,1.12,1.13,1.07,1.15,1.12
28,1.09,1.155,1.16,1.12,1.12,1.06,1.165,1.12
29,1.105,1.185,1.15,1.135,1.135,1.05,1.155,1.15
30,1.12,1.175,1.165,1.15,1.15,1.065,1.17,1.165
31,1.11,1.19,1.155,1.165,1.15,1.055,1.185,1.18
32,1.1,1.22,1.145,1.18,1.14,1.045,1.2,1.21
33,1.09,1.25,1.135,1.195,1.12,1.06,1.19,1.2
34,1.105,1.25,1.125,1.21,1.11,1.075,1.18,1.215
35,1.12,1.24,1.14,1.2,1.125,1.09,1.17,1.195
36,1.135,1.24,1.155,1.19,1.14,1.105,1.185,1.225
37,1.125,1.22,1.145,1.18,1.155,1.12,1.2,1.225
38,1.115,1.21,1.135,1.17,1.17,1.135,1.19,1.24
39,1.13,1.19,1.15,1.185,1.185,1.125,1.18,1.255
40,1.12,1.205,1.165,1.175,1.175,1.115,1.17,1.27
41,1.135,1.195,1.18,1.165,1.19,1.13,1.185,1.25
42,1.15,1.175,1.195,1.18,1.205,1.12,1.175,1.24
43,1.165,1.19,1.195,1.195,1.205,1.135,1.165,1.23
44,1.155,1.205,1.185,1.185,1.195,1.15,1.18,1.23
45,1.155,1.22,1.2,1.2,1.21,1.165,1.195,1.21
46,1.145,1.25,1.215,1.19,1.2,1.165,1.185,1.19
47,1.16,1.28,1.23,1.205,1.215,1.155,1.175,1.19
48,1.175,1.295,1.22,1.195,1.23,1.17,1.165,1.18
49,1.175,1.31,1.235,1.21,1.245,1.16,1.18,1.17
50,1.165,1.34,1.225,1.21,1.26,1.175,1.195,1.16
51,1.165,1.33,1.215,1.2,1.275,1.19,1.185,1.15
52,1.155,1.32,1.205,1.215,1.29,1.18,1.175,1.14
53,1.17,1.335,1.195,1.23,1.305,1.195,1.19,1.13
54,1.185,1.35,1.185,1.245,1.32,1.185,1.205,1.16
55,1.2,1.35,1.175,1.26,1.335,1.175,1.22,1.175
56,1.19,1.33,1.19,1.25,1.325,1.165,1.21,1.165
57,1.205,1.33,1.18,1.265,1.34,1.18,1.225,1.145
58,1.22,1.32,1.17,1.255,1.355,1.195,1.215,1.135
59,1.21,1.3,1.16,1.245,1.37,1.21,1.23,1.115
60,1.2,1.33,1.175,1.235,1.36,1.2,1.245,1.105
61,1.2,1.345,1.165,1.25,1.375,1.215,1.235,1.095
62,1.215,1.375,1.18,1.265,1.39,1.23,1.25,1.095
63,1.205,1.365,1.195,1.255,1.38,1.23,1.265,1.125
64,1.195,1.345,1.185,1.245,1.395,1.245,1.28,1.155
65,1.21,1.36,1.175,1.26,1.41,1.235,1.295,1.185
66,1.2,1.34,1.19,1.275,1.425,1.235,1.285,1.185
67,1.215,1.34,1.18,1.29,1.44,1.25,1.275,1.165
68,1.205,1.33,1.195,1.28,1.43,1.24,1.29,1.18
69,1.195,1.345,1.185,1.27,1.445,1.24,1.305,1.18
70,1.21,1.335,1.175,1.285,1.46,1.255,1.295,1.17
71,1.225,1.335,1.19,1.285,1.475,1.245,1.31,1.17
72,1.24,1.335,1.18,1.275,1.49,1.26,1.325,1.15
73,1.255,1.315,1.195,1.29,1.48,1.275,1.34,1.15
74,1.255,1.33,1.195,1.305,1.495,1.275,1.33,1.165
75,1.27,1.31,1.185,1.32,1.525,1.265,1.345,1.18
76,1.27,1.325,1.2,1.335,1.505,1.28,1.36,1.16
77,1.285,1.355,1.215,1.35,1.52,1.295,1.35,1.15
78,1.275,1.37,1.23,1.365,1.535,1.285,1.34,1.14
79,1.29,1.385,1.22,1.365,1.535,1.3,1.355,1.17
80,1.305,1.4,1.21,1.355,1.55,1.315,1.37,1.16
81,1.32,1.39,1.225,1.345,1.55,1.305,1.385,1.15
82,1.31,1.39,1.24,1.335,1.565,1.32,1.4,1.14
83,1.325,1.38,1.23,1.35,1.58,1.335,1.415,1.155
84,1.34,1.37,1.23,1.365,1.595,1.325,1.43,1.135
85,1.355,1.385,1.22,1.38,1.585,1.325,1.42,1.15
86,1.37,1.4,1.235,1.395,1.585,1.34,1.435,1.165
87,1.37,1.43,1.25,1.41,1.575,1.355,1.425,1.18
88,1.37,1.46,1.24,1.425,1.59,1.37,1.415,1.16
89,1.36,1.44,1.23,1.415,1.58,1.385,1.43,1.14
90,1.375,1.455,1.245,1.405,1.57,1.4,1.445,1.155
91,1.39,1.455,1.26,1.42,1.56,1.39,1.46,1.17
92,1.38,1.455,1.275,1.435,1.55,1.405,1.475,1.17
93,1.395,1.47,1.265,1.425,1.54,1.405,1.475,1.17
94,1.41,1.46,1.255,1.415,1.555,1.395,1.465,1.16
95,1.41,1.45,1.245,1.43,1.57,1.385,1.455,1.19
96,1.4,1.44,1.26,1.445,1.585,1.375,1.445,1.18
97,1.415,1.43,1.25,1.46,1.575,1.365,1.435,1.195
98,1.43,1.445,1.265,1.475,1.59,1.355,1.425,1.21
99,1.42,1.435,1.255,1.49,1.58,1.345,1.415,1.2
100,1.015,0.98,0.99,0.99,1.015,0.99,0.99,1.0
101,0.995,0.97,0.98,0.99,1.015,0.98,1.005,0.99
102,1.01,0.96,0.995,0.98,1.005,0.98,1.02,0.98
103,1.0,0.99,1.01,0.995,1.02,0.995,1.01,0.97
104,1.03,0.98,1.025,0.995,1.01,0.985,1.025,1.0
105,1.02,0.995,1.025,1.01,1.025,1.0,1.015,0.99
106,1.035,0.985,1.015,1.025,1.015,1.015,1.005,0.99
107,1.05,1.015,1.005,1.04,1.005,1.005,1.02,0.98
108,1.05,1.005,1.02,1.055,0.995,1.02,1.035,0.97
109,1.04,0.995,1.01,1.07,1.01,1.01,1.05,1.0
110,1.03,1.025,1.0,1.07,1.0,1.01,1.065,0.99
111,1.045,1.005,1.0,1.06,0.99,1.025,1.065,0.99
112,1.06,0.995,1.015,1.05,0.98,1.015,1.065,0.98
113,1.075,0.995,1.03,1.04,0.97,1.03,1.08,0.98
114,1.065,0.995,1.02,1.055,0.96,1.045,1.07,0.995
115,1.065,1.01,1.035,1.055,0.975,1.035,1.085,0.985
116,1.055,0.99,1.05,1.07,1.005,1.035,1.1,0.965
117,1.045,0.99,1.04,1.06,0.995,1.025,1.115,0.98
118,1.045,0.98,1.03,1.075,1.01,1.015,1.13,0.995
119,1.06,0.995,1.02,1.065,1.025,1.005,1.145,0.975
120,1.05,0.985,1.01,1.055,1.04,1.02,1.135,1.005
