,bb,random,hi_lo,ko,zen,ten,halves,uston
0,1.0,1.015,1.015,1.015,1.015,0.99,1.015,0.99
1,0.98,1.005,1.005,1.03,1.03,1.005,1.03,1.02
2,0.995,1.005,0.995,1.045,1.02,1.02,1.02,1.035
3,1.01,0.985,1.01,1.06,1.035,1.035,1.035,1.035
4,1.025,0.985,1.0,1.075,1.05,1.05,1.025,1.05
5,1.04,1.0,0.99,1.09,1.04,1.065,1.015,1.05
6,1.055,1.0,0.99,1.105,1.07,1.08,1.005,1.065
7,1.085,0.99,1.005,1.095,1.06,1.095,0.995,1.08
8,1.075,1.005,1.02,1.11,1.05,1.085,1.01,1.06
9,1.09,0.985,1.01,1.125,1.05,1.1,1.025,1.09
10,1.105,0.975,1.025,1.14,1.065,1.09,1.04,1.07
11,1.12,0.975,1.04,1.155,1.08,1.08,1.03,1.085
12,1.11,0.965,1.055,1.17,1.095,1.095,1.045,1.075
13,1.125,0.945,1.07,1.185,1.11,1.085,1.06,1.065
14,1.14,0.935,1.085,1.2,1.125,1.1,1.05,1.08
15,1.155,0.965,1.1,1.19,1.125,1.115,1.065,1.07
16,1.17,0.945,1.09,1.205,1.14,1.115,1.055,1.085
17,1.17,0.945,1.105,1.22,1.13,1.13,1.07,1.075
18,1.185,0.96,1.095,1.22,1.12,1.12,1.085,1.075
19,1.2,0.975,1.085,1.235,1.11,1.135,1.075,1.075
20,1.2,0.965,1.1,1.225,1.1,1.125,1.09,1.055
21,1.19,0.965,1.115,1.24,1.115,1.115,1.105,1.055
22,1.205,0.98,1.105,1.255,1.13,1.105,1.105,1.045
23,1.22,1.01,1.12,1.27,1.145,1.095,1.12,1.045
24,1.25,1.025,1.135,1.285,1.135,1.11,1.135,1.045
25,1.23,1.015,1.15,1.3,1.125,1.1,1.15,1.075
26,1.21,0.995,1.15,1.315,1.14,1.09,1.165,1.09
27,1.225,0.995,1.14,1.305,1.155,1.08,1.18,1.08
28,1.24,0.985,1.13,1.295,1.17,1.095,1.195,1.08
29,1.255,0.965,1.145,1.295,1.185,1.11,1.21,1.11
30,1.27,0.98,1.16,1.31,1.2,1.1,1.225,1.1
31,1.285,1.01,1.15,1.3,1.215,1.09,1.24,1.09
32,1.3,1.025,1.165,1.315,1.205,1.105,1.255,1.07
33,1.29,1.04,1.165,1.33,1.22,1.12,1.245,1.1
34,1.305,1.07,1.165,1.33,1.235,1.12,1.26,1.08
35,1.32,1.07,1.155,1.32,1.25,1.135,1.275,1.08
36,1.335,1.085,1.145,1.335,1.265,1.125,1.29,1.095
37,1.335,1.075,1.16,1.35,1.28,1.115,1.305,1.085
38,1.35,1.055,1.175,1.365,1.295,1.13,1.295,1.085
39,1.33,1.055,1.165,1.355,1.31,1.145,1.285,1.085
40,1.32,1.045,1.18,1.355,1.3,1.16,1.3,1.065
41,1.335,1.075,1.17,1.37,1.315,1.15,1.315,1.095
42,1.325,1.09,1.16,1.36,1.33,1.14,1.305,1.11
43,1.325,1.105,1.175,1.375,1.345,1.13,1.32,1.09
44,1.34,1.12,1.175,1.365,1.36,1.13,1.31,1.08
45,1.33,1.11,1.19,1.38,1.35,1.12,1.325,1.07
46,1.345,1.125,1.18,1.395,1.365,1.11,1.315,1.05
47,1.335,1.115,1.195,1.395,1.38,1.11,1.33,1.04
48,1.35,1.105,1.185,1.41,1.395,1.1,1.345,1.04
49,1.34,1.095,1.175,1.425,1.395,1.1,1.36,1.04
50,1.355,1.085,1.19,1.44,1.385,1.1,1.375,1.055
51,1.345,1.1,1.205,1.43,1.375,1.09,1.39,1.045
52,1.36,1.115,1.22,1.445,1.39,1.105,1.39,1.075
53,1.36,1.105,1.235,1.46,1.405,1.095,1.38,1.105
54,1.375,1.085,1.235,1.475,1.42,1.085,1.37,1.12
55,1.375,1.075,1.25,1.49,1.42,1.075,1.37,1.15
56,1.365,1.105,1.24,1.505,1.41,1.065,1.36,1.15
57,1.38,1.095,1.255,1.52,1.425,1.08,1.36,1.165
58,1.41,1.11,1.255,1.535,1.44,1.08,1.375,1.145
59,1.41,1.1,1.245,1.55,1.455,1.095,1.365,1.175
60,1.4,1.115,1.26,1.565,1.445,1.11,1.38,1.175
61,1.415,1.095,1.275,1.58,1.46,1.1,1.37,1.19
62,1.445,1.125,1.29,1.57,1.44,1.115,1.385,1.18
63,1.435,1.105,1.305,1.585,1.455,1.105,1.375,1.21
64,1.425,1.095,1.32,1.575,1.47,1.12,1.39,1.19
65,1.44,1.075,1.31,1.565,1.485,1.135,1.39,1.17
66,1.455,1.09,1.325,1.555,1.5,1.15,1.405,1.185
67,1.445,1.105,1.34,1.57,1.515,1.165,1.42,1.215
68,1.46,1.12,1.33,1.56,1.53,1.18,1.41,1.205
69,1.475,1.11,1.32,1.55,1.52,1.195,1.425,1.195
70,1.49,1.125,1.335,1.54,1.535,1.195,1.44,1.195
71,1.505,1.14,1.35,1.555,1.525,1.185,1.44,1.21
72,1.52,1.17,1.365,1.555,1.54,1.2,1.43,1.21
73,1.535,1.185,1.355,1.57,1.53,1.215,1.42,1.19
74,1.55,1.185,1.37,1.56,1.545,1.205,1.435,1.18
75,1.53,1.2,1.385,1.575,1.56,1.22,1.45,1.195
76,1.545,1.215,1.4,1.565,1.575,1.21,1.465,1.175
77,1.545,1.23,1.39,1.58,1.59,1.2,1.48,1.175
78,1.535,1.22,1.405,1.595,1.605,1.215,1.495,1.155
79,1.565,1.21,1.42,1.61,1.62,1.205,1.485,1.185
80,1.565,1.19,1.435,1.625,1.635,1.22,1.5,1.185
81,1.555,1.22,1.425,1.64,1.625,1.21,1.49,1.2
82,1.585,1.25,1.415,1.63,1.64,1.2,1.505,1.19
83,1.565,1.28,1.405,1.645,1.655,1.215,1.52,1.18
84,1.555,1.295,1.395,1.66,1.67,1.23,1.535,1.17
85,1.535,1.31,1.41,1.65,1.66,1.22,1.55,1.16
86,1.55,1.3,1.425,1.665,1.675,1.235,1.54,1.15
