,bb,random,hi_lo,ko,zen,ten,halves,uston
0,1.015,0.99,1.015,1.015,0.99,0.99,0.99,0.99
1,1.03,0.99,1.03,1.015,0.98,1.005,1.005,0.98
2,1.02,0.99,1.045,1.03,0.995,0.995,1.02,0.98
3,1.05,1.005,1.035,1.045,1.01,1.01,1.035,0.98
4,1.065,0.995,1.025,1.06,1.025,1.0,1.05,0.98
5,1.08,0.985,1.04,1.075,1.015,1.015,1.04,0.97
6,1.095,0.985,1.055,1.09,1.03,1.015,1.055,0.985
7,1.11,0.985,1.07,1.08,1.02,1.03,1.07,1.0
8,1.1,1.015,1.06,1.07,1.01,1.045,1.085,1.03
9,1.13,0.995,1.06,1.06,1.025,1.06,1.075,1.02
10,1.11,0.995,1.05,1.075,1.04,1.075,1.065,1.05
11,1.125,1.01,1.04,1.065,1.04,1.075,1.08,1.05
12,1.14,1.025,1.03,1.08,1.055,1.065,1.07,1.065
13,1.155,1.04,1.045,1.07,1.07,1.08,1.06,1.055
14,1.145,1.03,1.06,1.085,1.06,1.095,1.05,1.07
15,1.16,1.01,1.075,1.1,1.05,1.11,1.065,1.07
16,1.15,1.04,1.09,1.09,1.065,1.125,1.065,1.06
17,1.165,1.04,1.08,1.105,1.055,1.14,1.08,1.075
18,1.155,1.03,1.095,1.12,1.055,1.155,1.095,1.075
19,1.145,1.045,1.11,1.11,1.055,1.17,1.11,1.055
20,1.16,1.06,1.11,1.1,1.07,1.185,1.1,1.055
21,1.175,1.09,1.11,1.115,1.06,1.175,1.115,1.035
22,1.19,1.105,1.1,1.105,1.075,1.19,1.13,1.025
23,1.19,1.12,1.115,1.105,1.09,1.205,1.145,1.025
24,1.18,1.11,1.13,1.12,1.105,1.195,1.16,1.025
25,1.195,1.14,1.12,1.135,1.12,1.195,1.175,1.015
26,1.21,1.155,1.135,1.15,1.12,1.21,1.165,1.03
27,1.19,1.135,1.15,1.165,1.135,1.2,1.18,1.045
28,1.205,1.125,1.15,1.155,1.15,1.215,1.195,1.06
29,1.235,1.14,1.165,1.145,1.15,1.205,1.21,1.09
30,1.215,1.14,1.155,1.135,1.165,1.195,1.225,1.09
31,1.205,1.14,1.17,1.15,1.18,1.195,1.24,1.09
32,1.195,1.13,1.185,1.165,1.17,1.185,1.255,1.09
33,1.225,1.145,1.2,1.155,1.185,1.2,1.245,1.105
34,1.225,1.175,1.215,1.145,1.2,1.215,1.26,1.085
35,1.255,1.175,1.205,1.135,1.215,1.23,1.25,1.1
36,1.245,1.175,1.22,1.15,1.23,1.245,1.24,1.1
37,1.225,1.165,1.235,1.15,1.22,1.26,1.23,1.115
38,1.215,1.155,1.235,1.165,1.22,1.275,1.245,1.105
39,1.23,1.17,1.25,1.18,1.235,1.265,1.26,1.095
40,1.26,1.15,1.265,1.18,1.25,1.255,1.25,1.11
41,1.275,1.165,1.28,1.195,1.265,1.27,1.24,1.125
42,1.305,1.145,1.295,1.185,1.265,1.27,1.23,1.125
43,1.295,1.145,1.31,1.2,1.28,1.285,1.245,1.125
44,1.31,1.135,1.3,1.215,1.295,1.275,1.26,1.125
45,1.31,1.125,1.315,1.23,1.285,1.265,1.25,1.115
46,1.325,1.115,1.33,1.245,1.285,1.255,1.24,1.105
47,1.34,1.095,1.345,1.26,1.3,1.27,1.255,1.12
48,1.33,1.125,1.36,1.275,1.315,1.285,1.27,1.11
49,1.36,1.115,1.375,1.265,1.33,1.275,1.285,1.14
50,1.34,1.13,1.39,1.255,1.32,1.29,1.275,1.13
51,1.355,1.145,1.405,1.27,1.31,1.28,1.29,1.145
52,1.37,1.135,1.42,1.285,1.3,1.295,1.28,1.135
53,1.36,1.125,1.435,1.275,1.315,1.31,1.295,1.165
54,1.375,1.14,1.45,1.265,1.33,1.325,1.31,1.145
55,1.39,1.14,1.44,1.28,1.32,1.34,1.325,1.145
56,1.405,1.12,1.43,1.27,1.335,1.355,1.34,1.135
57,1.42,1.1,1.42,1.285,1.35,1.345,1.33,1.15
58,1.435,1.115,1.41,1.285,1.34,1.36,1.345,1.15
59,1.45,1.105,1.425,1.3,1.355,1.375,1.335,1.13
60,1.465,1.085,1.44,1.315,1.37,1.365,1.325,1.13
61,1.455,1.075,1.43,1.315,1.385,1.365,1.315,1.11
62,1.445,1.09,1.445,1.33,1.4,1.38,1.33,1.11
63,1.46,1.07,1.435,1.32,1.415,1.395,1.345,1.125
64,1.45,1.06,1.45,1.335,1.43,1.41,1.36,1.125
65,1.48,1.05,1.465,1.35,1.445,1.425,1.375,1.14
66,1.495,1.065,1.48,1.365,1.46,1.415,1.375,1.14
67,1.51,1.045,1.47,1.355,1.475,1.405,1.375,1.14
68,1.525,1.025,1.485,1.345,1.475,1.395,1.39,1.13
69,1.54,1.055,1.5,1.36,1.475,1.41,1.38,1.12
70,1.555,1.035,1.515,1.375,1.465,1.425,1.37,1.11
71,1.57,1.05,1.53,1.39,1.455,1.425,1.36,1.125
72,1.585,1.08,1.545,1.39,1.445,1.44,1.375,1.14
73,1.585,1.07,1.56,1.405,1.46,1.455,1.365,1.13
74,1.615,1.05,1.55,1.42,1.475,1.47,1.355,1.16
75,1.645,1.04,1.565,1.435,1.465,1.47,1.37,1.14
76,1.66,1.03,1.58,1.45,1.48,1.485,1.36,1.155
77,1.675,1.02,1.595,1.465,1.495,1.475,1.375,1.155
78,1.705,1.035,1.61,1.465,1.51,1.49,1.365,1.17
79,1.72,1.065,1.61,1.48,1.525,1.48,1.38,1.17
80,1.7,1.08,1.6,1.47,1.515,1.47,1.37,1.16
81,1.715,1.11,1.615,1.485,1.53,1.485,1.385,1.16
82,1.73,1.11,1.63,1.475,1.545,1.5,1.4,1.175
83,1.745,1.125,1.62,1.49,1.56,1.515,1.39,1.155
84,1.76,1.155,1.635,1.48,1.575,1.515,1.405,1.185
85,1.775,1.145,1.625,1.495,1.59,1.53,1.42,1.185
86,1.765,1.16,1.64,1.485,1.58,1.545,1.41,1.185
87,1.755,1.15,1.655,1.475,1.595,1.56,1.425,1.185
88,1.745,1.165,1.67,1.465,1.61,1.575,1.415,1.175
89,1.76,1.165,1.685,1.48,1.6,1.59,1.405,1.19
90,1.775,1.18,1.675,1.47,1.59,1.59,1.42,1.205
91,1.79,1.21,1.665,1.485,1.605,1.58,1.435,1.22
92,1.82,1.2,1.655,1.485,1.595,1.58,1.425,1.21
93,1.81,1.23,1.67,1.5,1.585,1.57,1.415,1.24
94,1.825,1.23,1.66,1.49,1.585,1.56,1.43,1.24
95,1.84,1.245,1.675,1.48,1.6,1.55,1.445,1.23
96,1.83,1.245,1.69,1.495,1.615,1.565,1.46,1.23
97,1.82,1.235,1.68,1.51,1.63,1.58,1.45,1.245
98,1.835,1.225,1.695,1.525,1.645,1.595,1.45,1.235
99,1.825,1.24,1.71,1.525,1.66,1.61,1.44,1.225
100,0.99,0.98,1.015,1.0,1.0,0.99,0.99,0.98
101,0.98,0.995,1.03,0.99,1.015,1.005,0.98,0.995
102,0.995,1.025,1.045,1.005,1.03,0.995,0.995,1.01
103,0.975,1.015,1.06,1.02,1.045,0.985,1.01,1.025
104,0.965,1.03,1.075,1.01,1.045,1.0,1.0,1.015
105,0.98,1.01,1.09,1.0,1.045,0.99,1.015,1.03
106,0.97,0.99,1.105,1.015,1.06,0.99,1.03,1.045
107,1.0,1.02,1.095,1.03,1.075,1.005,1.045,1.06
108,0.99,1.035,1.095,1.045,1.09,1.02,1.06,1.075
109,0.98,1.025,1.11,1.035,1.08,1.02,1.05,1.055
110,0.995,1.04,1.11,1.025,1.095,1.01,1.05,1.045
111,0.975,1.04,1.11,1.015,1.11,1.0,1.04,1.025
112,1.005,1.02,1.1,1.03,1.125,0.99,1.055,1.04
113,1.035,1.01,1.115,1.045,1.14,1.005,1.045,1.055
114,1.05,1.0,1.105,1.06,1.155,1.02,1.06,1.045
115,1.05,1.015,1.12,1.05,1.17,1.035,1.05,1.035
116,1.065,1.03,1.135,1.04,1.16,1.035,1.05,1.065
117,1.045,1.03,1.125,1.055,1.175,1.05,1.04,1.065
118,1.035,1.02,1.125,1.07,1.165,1.05,1.055,1.055
119,1.05,1.0,1.115,1.06,1.18,1.04,1.045,1.045
120,1.065,0.99,1.105,1.05,1.195,1.055,1.035,1.045
121,1.08,0.98,1.12,1.04,1.185,1.045,1.05,1.075
122,1.08,0.97,1.135,1.055,1.2,1.06,1.05,1.09
123,1.06,0.96,1.15,1.07,1.215,1.06,1.04,1.105
124,1.075,0.975,1.165,1.085,1.23,1.075,1.055,1.095
125,1.065,0.965,1.18,1.075,1.245,1.09,1.055,1.085
126,1.08,0.98,1.17,1.09,1.26,1.08,1.055,1.115
127,1.095,0.995,1.16,1.105,1.275,1.095,1.07,1.13
128,1.11,0.975,1.175,1.12,1.29,1.085,1.07,1.12
129,1.14,0.955,1.19,1.11,1.305,1.075,1.07,1.135
130,1.14,0.955,1.18,1.1,1.32,1.075,1.085,1.135
131,1.12,0.97,1.195,1.115,1.335,1.09,1.075,1.125
132,1.135,0.985,1.21,1.105,1.35,1.105,1.075,1.14
133,1.15,0.985,1.2,1.095,1.365,1.12,1.065,1.155
134,1.165,1.015,1.215,1.085,1.38,1.135,1.08,1.135
135,1.18,0.995,1.23,1.075,1.37,1.15,1.095,1.15
136,1.21,1.01,1.245,1.09,1.385,1.165,1.085,1.14
137,1.225,1.025,1.235,1.105,1.4,1.165,1.085,1.17
138,1.215,1.005,1.25,1.105,1.39,1.18,1.1,1.16
139,1.23,0.985,1.265,1.12,1.39,1.17,1.115,1.15
140,1.245,1.0,1.255,1.11,1.39,1.185,1.13,1.13
141,1.275,1.015,1.27,1.125,1.405,1.2,1.13,1.12
142,1.29,1.005,1.285,1.14,1.42,1.215,1.145,1.11
143,1.305,0.995,1.3,1.155,1.435,1.23,1.16,1.14
144,1.295,1.01,1.315,1.17,1.45,1.245,1.15,1.155
145,1.31,0.99,1.33,1.185,1.45,1.235,1.165,1.135
146,1.325,0.98,1.345,1.2,1.44,1.225,1.18,1.125
147,1.34,0.97,1.335,1.19,1.455,1.215,1.17,1.115
148,1.355,0.96,1.325,1.18,1.47,1.23,1.185,1.115
149,1.37,0.96,1.315,1.17,1.46,1.22,1.2,1.115
150,1.385,0.975,1.305,1.16,1.45,1.21,1.19,1.13
151,1.365,0.99,1.32,1.175,1.45,1.225,1.205,1.13
152,1.355,0.99,1.31,1.19,1.465,1.215,1.22,1.13
153,1.345,0.98,1.325,1.205,1.455,1.23,1.235,1.12
154,1.345,0.96,1.34,1.22,1.445,1.245,1.25,1.135
155,1.325,0.975,1.355,1.235,1.445,1.26,1.265,1.125
156,1.315,0.955,1.345,1.25,1.46,1.25,1.28,1.115
157,1.33,0.945,1.36,1.265,1.475,1.265,1.295,1.13
158,1.345,0.96,1.375,1.28,1.465,1.28,1.31,1.13
159,1.375,0.975,1.39,1.295,1.455,1.27,1.3,1.145
160,1.39,0.965,1.405,1.285,1.445,1.285,1.315,1.135
161,1.38,0.98,1.42,1.3,1.46,1.3,1.305,1.115
162,1.395,0.995,1.435,1.315,1.475,1.315,1.32,1.13
163,1.41,0.985,1.425,1.33,1.49,1.305,1.31,1.16
164,1.425,1.0,1.44,1.32,1.48,1.32,1.325,1.14
165,1.44,1.015,1.455,1.335,1.495,1.31,1.315,1.14
166,1.455,0.995,1.445,1.325,1.51,1.325,1.305,1.155
167,1.47,1.01,1.46,1.34,1.51,1.315,1.295,1.17
168,1.5,1.025,1.475,1.355,1.5,1.305,1.31,1.185
169,1.53,1.005,1.465,1.37,1.515,1.295,1.3,1.215
170,1.545,0.995,1.48,1.385,1.505,1.285,1.29,1.195
171,1.545,0.995,1.495,1.4,1.52,1.275,1.305,1.185
172,1.56,1.025,1.495,1.415,1.535,1.29,1.32,1.2
173,1.54,1.04,1.51,1.43,1.525,1.305,1.31,1.2
174,1.53,1.055,1.525,1.42,1.54,1.295,1.325,1.2
175,1.545,1.045,1.515,1.41,1.555,1.31,1.34,1.215
176,1.56,1.045,1.505,1.425,1.57,1.3,1.33,1.205
177,1.54,1.045,1.505,1.415,1.56,1.315,1.345,1.205
178,1.54,1.075,1.495,1.43,1.575,1.33,1.335,1.22
179,1.555,1.105,1.51,1.445,1.59,1.32,1.35,1.235
180,1.545,1.12,1.525,1.435,1.605,1.335,1.35,1.25
181,1.56,1.15,1.54,1.425,1.62,1.335,1.365,1.28
182,1.575,1.15,1.53,1.425,1.635,1.325,1.38,1.295
183,1.59,1.15,1.545,1.425,1.65,1.34,1.395,1.31
184,1.59,1.165,1.535,1.425,1.64,1.355,1.41,1.3
185,1.605,1.18,1.55,1.415,1.655,1.37,1.425,1.28
186,1.585,1.16,1.565,1.43,1.67,1.385,1.44,1.27
187,1.585,1.15,1.555,1.43,1.685,1.375,1.455,1.26
188,1.615,1.15,1.57,1.445,1.675,1.39,1.455,1.275
189,1.63,1.14,1.56,1.46,1.665,1.405,1.47,1.255
190,1.62,1.17,1.55,1.475,1.68,1.42,1.485,1.27
191,1.635,1.16,1.565,1.465,1.67,1.41,1.5,1.26
192,1.625,1.16,1.58,1.455,1.685,1.425,1.515,1.29
193,1.64,1.19,1.595,1.47,1.7,1.44,1.53,1.27
194,1.655,1.19,1.61,1.485,1.69,1.43,1.545,1.285
195,1.685,1.18,1.6,1.475,1.68,1.42,1.535,1.265
196,1.665,1.195,1.615,1.49,1.68,1.435,1.55,1.28
197,1.665,1.195,1.605,1.505,1.695,1.45,1.565,1.27
198,1.68,1.21,1.62,1.52,1.71,1.44,1.58,1.285
199,1.67,1.19,1.635,1.51,1.725,1.455,1.57,1.3
200,1.015,0.99,0.99,1.015,1.015,0.99,0.99,1.0
201,1.03,0.97,1.005,1.03,1.005,1.005,1.005,1.015
202,1.01,0.95,0.995,1.045,0.995,0.995,0.995,1.03
203,1.025,0.965,0.985,1.06,1.01,0.985,0.985,1.06
204,1.055,0.98,0.985,1.075,1.0,1.0,0.975,1.09
205,1.085,0.97,1.0,1.09,0.99,0.99,0.965,1.07
206,1.1,0.985,1.015,1.105,1.005,0.98,0.955,1.06
207,1.13,0.965,1.005,1.095,0.995,0.97,0.97,1.05
208,1.145,0.965,1.02,1.11,0.985,0.97,0.985,1.05
209,1.16,0.995,1.035,1.1,1.0,0.985,1.0,1.05
210,1.15,1.01,1.05,1.09,1.015,1.0,1.015,1.05
211,1.14,1.0,1.065,1.105,1.005,1.0,1.005,1.04
212,1.155,1.015,1.065,1.12,0.995,1.015,0.995,1.055
213,1.17,1.045,1.08,1.135,0.995,1.03,1.01,1.055
214,1.15,1.06,1.07,1.15,1.01,1.045,1.025,1.055
215,1.165,1.04,1.06,1.14,1.0,1.06,1.015,1.045
216,1.18,1.03,1.075,1.13,1.0,1.075,1.03,1.045
