,bb,random,hi_lo,ko,zen,ten,halves,uston
0,1015,990,1015,1015,990,990,990,990
1,1030,990,1030,1015,980,1005,1005,980
2,1020,990,1045,1030,995,995,1020,980
3,1050,1005,1035,1045,1010,1010,1035,980
4,1065,995,1025,1060,1025,1000,1050,980
5,1080,985,1040,1075,1015,1015,1040,970
6,1095,985,1055,1090,1030,1015,1055,985
7,1110,985,1070,1080,1020,1030,1070,1000
8,1100,1015,1060,1070,1010,1045,1085,1030
9,1130,995,1060,1060,1025,1060,1075,1020
10,1110,995,1050,1075,1040,1075,1065,1050
11,1125,1010,1040,1065,1040,1075,1080,1050
12,1140,1025,1030,1080,1055,1065,1070,1065
13,1155,1040,1045,1070,1070,1080,1060,1055
14,1145,1030,1060,1085,1060,1095,1050,1070
15,1160,1010,1075,1100,1050,1110,1065,1070
16,1150,1040,1090,1090,1065,1125,1065,1060
17,1165,1040,1080,1105,1055,1140,1080,1075
18,1155,1030,1095,1120,1055,1155,1095,1075
19,1145,1045,1110,1110,1055,1170,1110,1055
20,1160,1060,1110,1100,1070,1185,1100,1055
21,1175,1090,1110,1115,1060,1175,1115,1035
22,1190,1105,1100,1105,1075,1190,1130,1025
23,1190,1120,1115,1105,1090,1205,1145,1025
24,1180,1110,1130,1120,1105,1195,1160,1025
25,1195,1140,1120,1135,1120,1195,1175,1015
26,1210,1155,1135,1150,1120,1210,1165,1030
27,1190,1135,1150,1165,1135,1200,1180,1045
28,1205,1125,1150,1155,1150,1215,1195,1060
29,1235,1140,1165,1145,1150,1205,1210,1090
30,1215,1140,1155,1135,1165,1195,1225,1090
31,1205,1140,1170,1150,1180,1195,1240,1090
32,1195,1130,1185,1165,1170,1185,1255,1090
33,1225,1145,1200,1155,1185,1200,1245,1105
34,1225,1175,1215,1145,1200,1215,1260,1085
35,1255,1175,1205,1135,1215,1230,1250,1100
36,1245,1175,1220,1150,1230,1245,1240,1100
37,1225,1165,1235,1150,1220,1260,1230,1115
38,1215,1155,1235,1165,1220,1275,1245,1105
39,1230,1170,1250,1180,1235,1265,1260,1095
