,bb,random,hi_lo,ko,zen,ten,halves,uston
0,1000,1015,1015,1015,1015,990,1015,990
1,980,1005,1005,1030,1030,1005,1030,1020
2,995,1005,995,1045,1020,1020,1020,1035
3,1010,985,1010,1060,1035,1035,1035,1035
4,1025,985,1000,1075,1050,1050,1025,1050
5,1040,1000,990,1090,1040,1065,1015,1050
6,1055,1000,990,1105,1070,1080,1005,1065
7,1085,990,1005,1095,1060,1095,995,1080
8,1075,1005,1020,1110,1050,1085,1010,1060
9,1090,985,1010,1125,1050,1100,1025,1090
10,1105,975,1025,1140,1065,1090,1040,1070
11,1120,975,1040,1155,1080,1080,1030,1085
12,1110,965,1055,1170,1095,1095,1045,1075
13,1125,945,1070,1185,1110,1085,1060,1065
14,1140,935,1085,1200,1125,1100,1050,1080
15,1155,965,1100,1190,1125,1115,1065,1070
16,1170,945,1090,1205,1140,1115,1055,1085
17,1170,945,1105,1220,1130,1130,1070,1075
18,1185,960,1095,1220,1120,1120,1085,1075
19,1200,975,1085,1235,1110,1135,1075,1075
20,1200,965,1100,1225,1100,1125,1090,1055
21,1190,965,1115,1240,1115,1115,1105,1055
22,1205,980,1105,1255,1130,1105,1105,1045
23,1220,1010,1120,1270,1145,1095,1120,1045
24,1250,1025,1135,1285,1135,1110,1135,1045
25,1230,1015,1150,1300,1125,1100,1150,1075
26,1210,995,1150,1315,1140,1090,1165,1090
27,1225,995,1140,1305,1155,1080,1180,1080
28,1240,985,1130,1295,1170,1095,1195,1080
29,1255,965,1145,1295,1185,1110,1210,1110
30,1270,980,1160,1310,1200,1100,1225,1100
31,1285,1010,1150,1300,1215,1090,1240,1090
32,1300,1025,1165,1315,1205,1105,1255,1070
33,1290,1040,1165,1330,1220,1120,1245,1100
34,1305,1070,1165,1330,1235,1120,1260,1080
35,1320,1070,1155,1320,1250,1135,1275,1080
36,1335,1085,1145,1335,1265,1125,1290,1095
37,1335,1075,1160,1350,1280,1115,1305,1085
38,1350,1055,1175,1365,1295,1130,1295,1085
39,1330,1055,1165,1355,1310,1145,1285,1085
40,1320,1045,1180,1355,1300,1160,1300,1065
41,1335,1075,1170,1370,1315,1150,1315,1095
42,1325,1090,1160,1360,1330,1140,1305,1110
43,1325,1105,1175,1375,1345,1130,1320,1090
44,1340,1120,1175,1365,1360,1130,1310,1080
45,1330,1110,1190,1380,1350,1120,1325,1070
46,1345,1125,1180,1395,1365,1110,1315,1050
47,1335,1115,1195,1395,1380,1110,1330,1040
48,1350,1105,1185,1410,1395,1100,1345,1040
49,1340,1095,1175,1425,1395,1100,1360,1040
50,1355,1085,1190,1440,1385,1100,1375,1055
51,1345,1100,1205,1430,1375,1090,1390,1045
52,1360,1115,1220,1445,1390,1105,1390,1075
53,1360,1105,1235,1460,1405,1095,1380,1105
54,1375,1085,1235,1475,1420,1085,1370,1120
55,1375,1075,1250,1490,1420,1075,1370,1150
56,1365,1105,1240,1505,1410,1065,1360,1150
57,1380,1095,1255,1520,1425,1080,1360,1165
58,1410,1110,1255,1535,1440,1080,1375,1145
59,1410,1100,1245,1550,1455,1095,1365,1175
60,1400,1115,1260,1565,1445,1110,1380,1175
61,1415,1095,1275,1580,1460,1100,1370,1190
62,1445,1125,1290,1570,1440,1115,1385,1180
63,1435,1105,1305,1585,1455,1105,1375,1210
64,1425,1095,1320,1575,1470,1120,1390,1190
65,1440,1075,1310,1565,1485,1135,1390,1170
66,1455,1090,1325,1555,1500,1150,1405,1185
67,1445,1105,1340,1570,1515,1165,1420,1215
68,1460,1120,1330,1560,1530,1180,1410,1205
69,1475,1110,1320,1550,1520,1195,1425,1195
70,1490,1125,1335,1540,1535,1195,1440,1195
71,1505,1140,1350,1555,1525,1185,1440,1210
72,1520,1170,1365,1555,1540,1200,1430,1210
73,1535,1185,1355,1570,1530,1215,1420,1190
74,1550,1185,1370,1560,1545,1205,1435,1180
75,1530,1200,1385,1575,1560,1220,1450,1195
76,1545,1215,1400,1565,1575,1210,1465,1175
77,1545,1230,1390,1580,1590,1200,1480,1175
78,1535,1220,1405,1595,1605,1215,1495,1155
79,1565,1210,1420,1610,1620,1205,1485,1185
80,1565,1190,1435,1625,1635,1220,1500,1185
81,1555,1220,1425,1640,1625,1210,1490,1200
82,1585,1250,1415,1630,1640,1200,1505,1190
83,1565,1280,1405,1645,1655,1215,1520,1180
84,1555,1295,1395,1660,1670,1230,1535,1170
85,1535,1310,1410,1650,1660,1220,1550,1160
86,1550,1300,1425,1665,1675,1235,1540,1150
87,1540,1315,1415,1665,1690,1250,1530,1130
88,1530,1305,1405,1680,1705,1265,1545,1130
89,1530,1305,1420,1695,1695,1255,1535,1130
90,1545,1320,1420,1710,1685,1270,1550,1160
91,1560,1335,1435,1725,1675,1285,1565,1175
92,1560,1350,1450,1740,1690,1300,1555,1165
93,1550,1365,1440,1730,1680,1300,1555,1195
94,1540,1395,1455,1745,1670,1290,1545,1195
95,1530,1385,1470,1735,1685,1280,1535,1225
96,1520,1385,1485,1735,1685,1270,1525,1225
97,1535,1400,1500,1750,1685,1270,1540,1240
98,1550,1390,1515,1765,1700,1260,1555,1270
99,1540,1370,1530,1755,1700,1260,1570,1260
100,1530,1385,1545,1770,1715,1260,1560,1275
101,1545,1375,1560,1760,1705,1275,1550,1265
102,1545,1390,1575,1775,1720,1290,1565,1265
103,1560,1380,1565,1765,1735,1290,1555,1255
104,1550,1395,1555,1780,1725,1305,1545,1245
105,1565,1385,1545,1795,1740,1295,1545,1275
106,1580,1400,1535,1785,1730,1285,1560,1255
107,1580,1415,1550,1775,1720,1285,1575,1270
108,1580,1430,1565,1790,1735,1275,1565,1250
109,1595,1445,1565,1780,1750,1290,1565,1265
110,1610,1445,1580,1795,1750,1305,1580,1265
111,1600,1445,1580,1785,1765,1295,1570,1295
112,1600,1460,1595,1775,1780,1310,1585,1275
113,1615,1450,1585,1790,1795,1300,1600,1255
114,1630,1430,1600,1790,1785,1315,1590,1270
115,1660,1420,1590,1805,1800,1330,1580,1270
116,1675,1400,1605,1820,1815,1320,1570,1285
117,1690,1390,1595,1835,1830,1320,1560,1315
118,1670,1380,1585,1825,1820,1335,1575,1305
119,1685,1360,1575,1840,1835,1325,1590,1305
120,1700,1350,1590,1855,1850,1340,1605,1320
121,1715,1365,1580,1845,1865,1355,1595,1320
122,1730,1355,1595,1860,1880,1345,1610,1335
123,1730,1370,1585,1875,1895,1335,1600,1365
124,1720,1370,1600,1865,1910,1325,1590,1345
125,1735,1360,1590,1880,1925,1315,1590,1375
126,1725,1360,1590,1895,1915,1305,1580,1355
127,1740,1375,1605,1910,1930,1305,1570,1370
128,1755,1375,1620,1910,1945,1320,1585,1350
129,1755,1390,1610,1900,1945,1310,1600,1350
130,1770,1405,1625,1915,1960,1325,1615,1350
131,1760,1405,1615,1915,1975,1315,1605,1350
132,1760,1420,1605,1930,1990,1330,1620,1365
133,1775,1420,1620,1945,2005,1320,1635,1395
134,1790,1410,1635,1960,1995,1310,1625,1410
