,bb,random,hi_lo,ko,zen,ten,halves,uston
0,0.99,1.0,1.015,0.99,0.99,0.99,0.99,1.03
1,1.005,0.99,1.03,1.005,1.005,1.005,0.98,1.06
2,1.035,0.99,1.02,1.02,1.005,1.02,0.97,1.05
3,1.05,1.005,1.035,1.035,0.995,1.01,0.97,1.05
4,1.065,1.02,1.025,1.05,0.985,1.0,0.985,1.065
5,1.055,1.02,1.04,1.04,0.985,0.99,1.0,1.065
6,1.07,1.0,1.055,1.03,1.0,0.98,1.015,1.065
7,1.05,1.015,1.07,1.045,0.99,0.995,1.03,1.065
8,1.065,1.015,1.06,1.06,1.005,0.985,1.045,1.065
9,1.055,1.015,1.05,1.075,0.995,1.0,1.06,1.055
10,1.085,1.005,1.04,1.065,1.01,1.0,1.075,1.035
11,1.085,0.995,1.03,1.08,1.025,1.0,1.09,1.025
12,1.1,1.01,1.045,1.095,1.015,1.015,1.09,1.04
13,1.115,1.025,1.06,1.085,1.005,1.03,1.105,1.07
14,1.13,1.04,1.075,1.075,1.02,1.045,1.12,1.05
15,1.16,1.055,1.09,1.075,1.035,1.045,1.135,1.08
16,1.19,1.07,1.105,1.065,1.05,1.06,1.125,1.07
17,1.18,1.06,1.12,1.08,1.05,1.075,1.115,1.1
18,1.195,1.075,1.12,1.095,1.05,1.09,1.115,1.115
19,1.185,1.055,1.11,1.11,1.04,1.08,1.13,1.115
20,1.2,1.07,1.125,1.125,1.055,1.095,1.145,1.145
21,1.19,1.06,1.14,1.115,1.07,1.085,1.16,1.16
22,1.18,1.05,1.155,1.105,1.06,1.085,1.16,1.16
23,1.21,1.04,1.145,1.12,1.06,1.075,1.175,1.14
24,1.24,1.055,1.135,1.135,1.05,1.09,1.165,1.13
25,1.255,1.07,1.125,1.15,1.04,1.105,1.165,1.13
26,1.245,1.1,1.14,1.165,1.03,1.095,1.155,1.16
27,1.235,1.115,1.155,1.155,1.02,1.11,1.17,1.15
28,1.25,1.13,1.145,1.17,1.01,1.125,1.16,1.15
29,1.265,1.12,1.135,1.185,1.025,1.14,1.175,1.14
30,1.245,1.12,1.15,1.2,1.015,1.155,1.165,1.13
31,1.26,1.135,1.165,1.215,1.03,1.145,1.18,1.11
32,1.275,1.165,1.155,1.205,1.045,1.135,1.17,1.125
33,1.29,1.145,1.145,1.22,1.06,1.15,1.185,1.14
34,1.28,1.145,1.135,1.235,1.075,1.14,1.2,1.12
