,bb,random,hi_lo,ko,zen,ten,halves,uston
0,1.015,1.03,1.015,1.015,1.015,1.015,0.99,1.0
1,1.03,1.045,1.005,1.03,1.005,1.03,0.98,1.0
2,1.02,1.025,1.02,1.045,1.02,1.02,0.995,1.015
3,1.05,1.025,1.035,1.035,1.035,1.01,1.01,1.03
4,1.065,1.025,1.05,1.025,1.05,1.025,1.025,1.02
5,1.055,1.015,1.05,1.04,1.04,1.015,1.04,1.01
6,1.045,1.015,1.05,1.055,1.055,1.03,1.03,1.0
7,1.075,1.03,1.065,1.07,1.07,1.045,1.03,0.99
8,1.065,1.01,1.08,1.06,1.085,1.045,1.02,1.005
9,1.08,1.025,1.095,1.05,1.1,1.035,1.01,0.995
10,1.095,1.015,1.085,1.065,1.1,1.05,1.0,1.01
11,1.125,1.005,1.075,1.055,1.09,1.065,0.99,1.025
12,1.105,1.005,1.09,1.07,1.08,1.055,1.005,1.015
13,1.12,1.02,1.105,1.06,1.095,1.07,1.02,1.045
14,1.135,1.0,1.095,1.075,1.085,1.06,1.035,1.06
15,1.15,0.98,1.11,1.065,1.075,1.075,1.025,1.075
16,1.165,0.98,1.125,1.055,1.09,1.09,1.04,1.065
17,1.145,0.96,1.115,1.045,1.08,1.08,1.055,1.08
18,1.16,0.95,1.13,1.035,1.095,1.095,1.07,1.07
19,1.15,0.93,1.145,1.025,1.11,1.11,1.085,1.07
20,1.14,0.945,1.16,1.015,1.125,1.1,1.085,1.07
21,1.13,0.96,1.175,1.03,1.14,1.115,1.1,1.085
22,1.16,0.95,1.165,1.02,1.14,1.13,1.09,1.065
23,1.16,0.93,1.155,1.01,1.155,1.12,1.09,1.055
24,1.175,0.96,1.145,1.025,1.145,1.11,1.105,1.055
25,1.19,0.95,1.135,1.04,1.16,1.125,1.12,1.07
26,1.18,0.95,1.15,1.055,1.15,1.115,1.11,1.085
27,1.195,0.93,1.165,1.045,1.165,1.115,1.125,1.065
28,1.21,0.92,1.165,1.035,1.18,1.13,1.14,1.065
29,1.2,0.92,1.18,1.05,1.195,1.145,1.155,1.095
30,1.23,0.91,1.195,1.04,1.21,1.16,1.145,1.095
31,1.22,0.94,1.21,1.03,1.225,1.175,1.16,1.11
32,1.235,0.93,1.225,1.02,1.24,1.19,1.15,1.125
33,1.25,0.93,1.24,1.01,1.23,1.205,1.15,1.14
34,1.24,0.92,1.255,1.025,1.22,1.22,1.165,1.13
35,1.24,0.935,1.245,1.015,1.21,1.21,1.155,1.13
36,1.23,0.95,1.26,1.03,1.225,1.225,1.17,1.12
37,1.22,0.965,1.26,1.02,1.215,1.24,1.185,1.12
38,1.21,0.995,1.275,1.02,1.215,1.255,1.175,1.12
39,1.19,0.985,1.265,1.01,1.205,1.27,1.19,1.135
40,1.18,1.015,1.255,1.025,1.195,1.285,1.18,1.15
41,1.195,1.015,1.27,1.015,1.185,1.3,1.195,1.165
42,1.185,1.03,1.26,1.005,1.175,1.315,1.185,1.155
43,1.2,1.02,1.275,0.995,1.175,1.33,1.2,1.17
44,1.215,1.0,1.29,1.01,1.19,1.32,1.19,1.16
45,1.23,0.99,1.305,1.025,1.205,1.31,1.205,1.16
46,1.23,1.02,1.32,1.04,1.22,1.325,1.22,1.15
