,bb,random,hi_lo,ko,zen,ten,halves,uston
0,1015,1030,1015,1015,1015,1015,990,1000
1,1030,1045,1005,1030,1005,1030,980,1000
2,1020,1025,1020,1045,1020,1020,995,1015
3,1050,1025,1035,1035,1035,1010,1010,1030
4,1065,1025,1050,1025,1050,1025,1025,1020
5,1055,1015,1050,1040,1040,1015,1040,1010
6,1045,1015,1050,1055,1055,1030,1030,1000
7,1075,1030,1065,1070,1070,1045,1030,990
8,1065,1010,1080,1060,1085,1045,1020,1005
9,1080,1025,1095,1050,1100,1035,1010,995
10,1095,1015,1085,1065,1100,1050,1000,1010
11,1125,1005,1075,1055,1090,1065,990,1025
12,1105,1005,1090,1070,1080,1055,1005,1015
13,1120,1020,1105,1060,1095,1070,1020,1045
14,1135,1000,1095,1075,1085,1060,1035,1060
15,1150,980,1110,1065,1075,1075,1025,1075
16,1165,980,1125,1055,1090,1090,1040,1065
17,1145,960,1115,1045,1080,1080,1055,1080
18,1160,950,1130,1035,1095,1095,1070,1070
19,1150,930,1145,1025,1110,1110,1085,1070
20,1140,945,1160,1015,1125,1100,1085,1070
21,1130,960,1175,1030,1140,1115,1100,1085
22,1160,950,1165,1020,1140,1130,1090,1065
23,1160,930,1155,1010,1155,1120,1090,1055
24,1175,960,1145,1025,1145,1110,1105,1055
25,1190,950,1135,1040,1160,1125,1120,1070
26,1180,950,1150,1055,1150,1115,1110,1085
27,1195,930,1165,1045,1165,1115,1125,1065
28,1210,920,1165,1035,1180,1130,1140,1065
29,1200,920,1180,1050,1195,1145,1155,1095
30,1230,910,1195,1040,1210,1160,1145,1095
31,1220,940,1210,1030,1225,1175,1160,1110
32,1235,930,1225,1020,1240,1190,1150,1125
33,1250,930,1240,1010,1230,1205,1150,1140
34,1240,920,1255,1025,1220,1220,1165,1130
35,1240,935,1245,1015,1210,1210,1155,1130
36,1230,950,1260,1030,1225,1225,1170,1120
37,1220,965,1260,1020,1215,1240,1185,1120
38,1210,995,1275,1020,1215,1255,1175,1120
39,1190,985,1265,1010,1205,1270,1190,1135
40,1180,1015,1255,1025,1195,1285,1180,1150
41,1195,1015,1270,1015,1185,1300,1195,1165
42,1185,1030,1260,1005,1175,1315,1185,1155
43,1200,1020,1275,995,1175,1330,1200,1170
44,1215,1000,1290,1010,1190,1320,1190,1160
45,1230,990,1305,1025,1205,1310,1205,1160
46,1230,1020,1320,1040,1220,1325,1220,1150
47,1245,1035,1310,1055,1235,1315,1235,1150
48,1260,1050,1325,1045,1225,1315,1225,1165
49,1240,1050,1340,1035,1225,1330,1240,1155
50,1255,1040,1355,1025,1240,1345,1255,1170
51,1270,1030,1345,1015,1255,1360,1255,1185
52,1250,1030,1345,1030,1255,1350,1245,1185
53,1265,1045,1360,1020,1270,1340,1260,1185
54,1255,1060,1350,1010,1285,1330,1275,1200
55,1255,1075,1365,1025,1300,1320,1265,1230
56,1245,1055,1380,1040,1290,1310,1255,1220
57,1235,1070,1370,1055,1305,1300,1270,1250
58,1250,1085,1385,1070,1295,1290,1270,1265
59,1280,1085,1400,1085,1285,1305,1285,1295
60,1295,1100,1415,1100,1300,1295,1300,1325
61,1310,1115,1430,1100,1290,1285,1290,1340
62,1340,1145,1445,1090,1305,1300,1280,1370
63,1355,1160,1460,1105,1320,1315,1295,1385
64,1385,1190,1475,1095,1310,1330,1310,1400
65,1400,1180,1475,1085,1310,1320,1325,1415
66,1415,1180,1490,1075,1325,1335,1340,1415
67,1430,1180,1505,1075,1340,1325,1330,1430
68,1420,1160,1520,1090,1330,1315,1345,1430
69,1435,1140,1510,1105,1330,1330,1360,1460
70,1450,1130,1500,1105,1345,1330,1350,1450
71,1440,1145,1490,1095,1360,1320,1340,1450
72,1455,1160,1505,1110,1350,1335,1330,1465
73,1470,1175,1520,1110,1365,1350,1320,1455
74,1485,1205,1520,1125,1355,1365,1310,1470
75,1500,1220,1510,1125,1370,1380,1310,1500
76,1515,1250,1500,1115,1360,1395,1300,1530
77,1495,1250,1515,1115,1375,1410,1290,1545
78,1510,1265,1505,1130,1375,1410,1290,1560
79,1510,1280,1495,1145,1365,1400,1305,1560
80,1500,1270,1495,1135,1380,1415,1295,1590
81,1490,1260,1485,1150,1370,1430,1285,1605
82,1505,1240,1475,1165,1360,1445,1275,1595
83,1495,1240,1465,1180,1375,1460,1290,1610
84,1510,1255,1480,1195,1365,1475,1305,1625
85,1500,1235,1470,1210,1355,1490,1295,1615
86,1515,1225,1470,1225,1370,1505,1310,1595
87,1515,1205,1485,1240,1385,1495,1300,1575
88,1505,1195,1485,1255,1375,1510,1315,1590
89,1520,1185,1500,1270,1390,1500,1330,1590
90,1500,1200,1490,1285,1390,1490,1345,1620
91,1490,1215,1505,1300,1380,1505,1360,1635
92,1490,1205,1520,1315,1395,1520,1375,1650
93,1480,1220,1510,1330,1410,1535,1390,1640
94,1495,1200,1525,1345,1425,1525,1390,1640
95,1510,1180,1540,1360,1415,1515,1380,1640
96,1525,1195,1555,1375,1415,1505,1395,1655
97,1540,1225,1570,1390,1430,1520,1410,1670
98,1530,1240,1585,1380,1430,1535,1425,1670
99,1545,1255,1575,1395,1445,1525,1415,1700
100,1560,1270,1565,1385,1435,1540,1430,1715
101,1575,1260,1580,1375,1425,1555,1420,1730
102,1555,1275,1595,1390,1415,1545,1435,1745
103,1570,1275,1610,1405,1430,1560,1425,1760
104,1585,1275,1625,1420,1420,1550,1440,1750
105,1600,1305,1640,1435,1410,1565,1455,1765
106,1630,1295,1655,1425,1425,1580,1455,1755
107,1610,1285,1670,1415,1440,1570,1470,1755
108,1625,1300,1685,1430,1430,1585,1485,1745
109,1655,1300,1700,1445,1445,1600,1500,1745
110,1645,1280,1715,1435,1460,1615,1490,1760
111,1625,1260,1705,1435,1475,1630,1480,1775
112,1655,1250,1695,1450,1465,1620,1470,1790
113,1670,1280,1710,1450,1480,1610,1485,1770
114,1700,1270,1725,1465,1470,1600,1500,1770
115,1680,1260,1715,1455,1485,1590,1490,1760
116,1670,1250,1715,1470,1500,1605,1480,1790
117,1660,1240,1730,1460,1515,1595,1470,1790
118,1690,1220,1745,1460,1505,1610,1485,1780
119,1705,1235,1735,1475,1520,1625,1475,1795
120,1720,1215,1750,1465,1535,1640,1475,1810
121,1735,1215,1750,1480,1550,1655,1490,1825
122,1750,1205,1765,1495,1565,1670,1490,1840
123,1765,1185,1780,1485,1580,1660,1505,1840
124,1780,1175,1795,1500,1570,1675,1505,1870
125,1795,1165,1810,1515,1560,1665,1520,1885
126,1785,1195,1825,1530,1550,1680,1520,1900
127,1775,1210,1840,1545,1540,1695,1535,1915
128,1755,1210,1855,1560,1530,1710,1550,1945
129,1745,1190,1870,1575,1545,1725,1540,1945
130,1735,1205,1860,1590,1560,1715,1555,1925
131,1765,1205,1875,1590,1575,1730,1545,1955
132,1780,1235,1890,1580,1590,1730,1535,1970
133,1770,1225,1905,1595,1605,1745,1550,1960
134,1785,1255,1920,1585,1620,1760,1565,1940
135,1800,1270,1935,1575,1610,1775,1580,1940
136,1800,1300,1950,1565,1625,1775,1595,1955
137,1790,1315,1965,1580,1640,1765,1610,1955
138,1805,1330,1980,1595,1640,1780,1625,1945
139,1795,1345,1995,1585,1655,1795,1640,1960
140,1810,1360,2010,1585,1645,1785,1655,1960
141,1800,1375,2025,1600,1660,1775,1645,1975
142,1815,1375,2040,1615,1650,1790,1660,1955
143,1830,1390,2055,1615,1665,1805,1660,1945
144,1845,1420,2070,1630,1655,1820,1675,1935
145,1860,1450,2085,1645,1670,1810,1665,1950
146,1850,1465,2100,1660,1685,1800,1680,1950
147,1850,1480,2090,1660,1700,1815,1670,1950
148,1865,1470,2080,1675,1715,1830,1685,1980
149,1880,1460,2095,1690,1705,1845,1675,1980
