,bb,random,hi_lo,ko,zen,ten,halves,uston
0,0.99,1.015,0.99,0.99,1.015,0.99,1.015,0.99
1,1.02,1.03,0.98,1.005,1.015,1.005,1.03,0.98
2,1.05,1.045,0.995,1.005,1.03,1.02,1.045,0.97
3,1.04,1.075,1.01,0.995,1.02,1.035,1.035,0.96
4,1.055,1.09,1.0,1.01,1.01,1.035,1.05,0.96
5,1.07,1.07,0.99,1.025,1.025,1.025,1.065,0.975
6,1.05,1.05,0.98,1.04,1.04,1.04,1.08,0.955
7,1.065,1.03,0.995,1.055,1.055,1.04,1.095,0.935
8,1.095,1.03,0.985,1.045,1.07,1.055,1.085,0.915
9,1.11,1.045,0.975,1.035,1.06,1.07,1.085,0.93
10,1.11,1.06,0.965,1.05,1.05,1.085,1.075,0.92
11,1.14,1.05,0.965,1.065,1.065,1.075,1.065,0.92
12,1.13,1.065,0.98,1.08,1.065,1.065,1.065,0.91
13,1.145,1.045,0.97,1.07,1.08,1.08,1.055,0.925
14,1.175,1.025,0.985,1.06,1.095,1.095,1.045,0.905
15,1.19,1.055,1.0,1.075,1.085,1.11,1.06,0.905
16,1.205,1.07,1.0,1.065,1.075,1.11,1.075,0.905
17,1.22,1.085,1.015,1.08,1.09,1.125,1.09,0.895
18,1.235,1.085,1.03,1.095,1.09,1.14,1.105,0.91
19,1.225,1.115,1.02,1.085,1.08,1.155,1.12,0.9
20,1.24,1.115,1.01,1.1,1.095,1.17,1.11,0.89
21,1.255,1.115,1.0,1.115,1.11,1.185,1.1,0.87
22,1.235,1.13,1.015,1.115,1.125,1.2,1.09,0.87
23,1.215,1.145,1.03,1.105,1.115,1.19,1.105,0.9
24,1.23,1.145,1.02,1.12,1.13,1.205,1.12,0.9
25,1.245,1.145,1.02,1.135,1.145,1.195,1.135,0.88
26,1.275,1.175,1.035,1.15,1.135,1.21,1.15,0.87
27,1.29,1.165,1.05,1.165,1.125,1.225,1.14,0.87
28,1.27,1.165,1.05,1.18,1.14,1.24,1.13,0.885
29,1.26,1.195,1.065,1.195,1.155,1.23,1.12,0.915
30,1.275,1.195,1.08,1.21,1.145,1.22,1.135,0.905
31,1.255,1.185,1.07,1.225,1.16,1.21,1.15,0.895
32,1.245,1.2,1.085,1.215,1.16,1.2,1.14,0.925
33,1.235,1.2,1.075,1.205,1.175,1.215,1.13,0.925
34,1.25,1.19,1.09,1.205,1.19,1.23,1.145,0.94
35,1.265,1.205,1.105,1.22,1.18,1.23,1.135,0.97
36,1.28,1.185,1.12,1.21,1.17,1.245,1.15,0.96
37,1.295,1.165,1.135,1.225,1.16,1.26,1.165,0.95
38,1.285,1.145,1.15,1.215,1.175,1.25,1.165,0.965
39,1.315,1.135,1.14,1.23,1.165,1.24,1.155,0.965
