,bb,random,hi_lo,ko,zen,ten,halves,uston
0,1015,1015,1015,1015,990,1015,990,990
1,1030,1030,1005,1005,980,1030,1005,980
2,1045,1030,995,1020,1010,1045,1020,960
3,1060,1045,985,1010,1025,1045,1010,960
4,1075,1060,1000,1025,1040,1060,1000,940
5,1090,1040,1015,1040,1030,1060,990,930
6,1080,1055,1015,1055,1020,1050,1005,910
7,1095,1055,1030,1070,1035,1065,1020,900
8,1110,1085,1045,1060,1050,1055,1035,915
9,1125,1085,1035,1050,1065,1055,1025,930
10,1155,1100,1050,1040,1080,1045,1025,930
11,1170,1090,1040,1030,1070,1060,1025,960
12,1170,1070,1055,1030,1060,1050,1040,990
13,1185,1060,1045,1045,1040,1065,1055,990
14,1175,1060,1045,1035,1030,1055,1070,1020
15,1190,1075,1060,1025,1020,1070,1085,1035
16,1170,1055,1075,1040,1035,1085,1100,1035
17,1160,1045,1090,1040,1050,1075,1115,1015
18,1175,1075,1080,1030,1065,1090,1130,995
19,1165,1105,1095,1045,1080,1090,1145,995
20,1180,1120,1085,1060,1070,1105,1135,975
21,1195,1120,1100,1075,1085,1095,1125,1005
22,1185,1100,1090,1065,1100,1085,1140,1020
23,1175,1130,1080,1055,1115,1075,1130,1010
24,1190,1145,1070,1045,1130,1090,1120,1000
25,1205,1125,1085,1060,1120,1080,1120,1015
26,1220,1125,1075,1075,1135,1095,1135,1015
27,1220,1125,1090,1075,1125,1085,1125,1005
28,1235,1155,1105,1065,1140,1100,1140,1005
29,1250,1145,1105,1080,1130,1115,1155,1020
30,1240,1125,1120,1095,1120,1130,1145,1010
31,1230,1115,1135,1095,1110,1145,1135,1000
32,1245,1095,1150,1085,1100,1135,1150,990
33,1260,1110,1165,1075,1090,1150,1165,970
34,1275,1125,1180,1090,1105,1165,1180,985
35,1290,1140,1170,1080,1120,1155,1180,1015
36,1280,1130,1185,1095,1135,1170,1195,1005
37,1270,1120,1200,1095,1150,1160,1210,1005
38,1270,1120,1190,1110,1150,1175,1200,1035
39,1260,1100,1205,1125,1165,1190,1190,1050
40,1290,1090,1220,1140,1180,1180,1205,1030
41,1305,1070,1210,1155,1170,1170,1220,1010
42,1320,1085,1200,1170,1185,1160,1235,1010
43,1335,1065,1215,1160,1200,1175,1250,990
44,1325,1055,1230,1175,1215,1190,1265,1005
45,1340,1070,1245,1190,1230,1205,1255,995
46,1355,1060,1235,1205,1220,1220,1270,995
47,1345,1090,1250,1220,1235,1235,1260,1010
48,1360,1105,1240,1235,1250,1235,1275,1000
49,1360,1095,1230,1250,1265,1225,1290,1030
50,1375,1095,1245,1265,1265,1215,1305,1045
51,1390,1110,1260,1280,1280,1215,1320,1060
52,1405,1125,1275,1280,1270,1230,1335,1060
53,1420,1115,1265,1295,1270,1230,1350,1090
54,1420,1095,1255,1285,1260,1220,1365,1105
55,1420,1095,1270,1300,1260,1210,1380,1135
56,1435,1085,1285,1315,1275,1225,1380,1150
57,1450,1100,1285,1305,1265,1225,1370,1180
58,1465,1090,1285,1305,1280,1215,1385,1195
59,1480,1080,1275,1295,1295,1230,1400,1175
60,1495,1095,1275,1310,1310,1245,1415,1155
61,1485,1110,1290,1325,1300,1235,1430,1135
62,1485,1090,1305,1315,1290,1225,1420,1125
63,1475,1080,1295,1330,1305,1240,1435,1140
64,1465,1110,1310,1345,1320,1255,1435,1120
65,1455,1100,1325,1360,1335,1245,1450,1110
66,1470,1115,1315,1375,1350,1260,1440,1100
67,1485,1095,1330,1390,1340,1275,1430,1115
68,1500,1110,1345,1405,1340,1290,1420,1130
69,1490,1100,1360,1395,1330,1305,1435,1120
70,1505,1115,1375,1395,1345,1295,1450,1135
71,1495,1130,1390,1410,1335,1285,1465,1125
72,1510,1145,1405,1410,1350,1300,1455,1125
73,1525,1175,1420,1425,1365,1315,1445,1115
74,1515,1190,1435,1440,1380,1330,1435,1095
75,1530,1190,1450,1430,1395,1345,1450,1110
76,1545,1220,1465,1445,1410,1335,1465,1140
77,1560,1235,1455,1435,1400,1350,1480,1130
78,1540,1235,1445,1450,1390,1365,1480,1145
79,1530,1215,1460,1440,1405,1380,1495,1145
80,1545,1230,1475,1430,1395,1395,1510,1125
81,1545,1220,1465,1445,1410,1385,1525,1140
82,1535,1200,1480,1460,1400,1400,1540,1120
83,1535,1215,1495,1475,1390,1415,1530,1110
84,1550,1205,1485,1465,1405,1430,1545,1125
85,1565,1205,1475,1480,1395,1420,1560,1140
86,1555,1185,1490,1470,1410,1435,1575,1120
87,1535,1200,1505,1485,1425,1450,1590,1150
88,1525,1190,1520,1500,1415,1440,1580,1150
89,1540,1205,1535,1490,1430,1455,1570,1180
90,1555,1185,1525,1505,1445,1470,1585,1210
91,1545,1200,1515,1520,1460,1460,1600,1190
92,1560,1190,1530,1535,1460,1450,1590,1170
93,1575,1180,1545,1525,1450,1465,1605,1200
94,1555,1195,1560,1540,1440,1480,1620,1180
95,1545,1210,1575,1555,1440,1495,1635,1210
96,1535,1210,1590,1570,1455,1510,1650,1210
97,1550,1240,1580,1560,1470,1500,1665,1225
98,1565,1230,1595,1550,1460,1515,1655,1205
99,1555,1230,1610,1540,1475,1505,1670,1185
100,1555,1220,1625,1555,1490,1495,1685,1165
101,1545,1210,1640,1570,1505,1510,1700,1165
102,1575,1190,1655,1585,1495,1525,1690,1145
103,1590,1180,1670,1600,1495,1515,1690,1145
104,1580,1210,1660,1615,1510,1530,1705,1160
105,1580,1200,1650,1630,1500,1520,1720,1175
106,1570,1215,1665,1645,1490,1535,1735,1165
107,1560,1230,1655,1635,1480,1550,1725,1155
108,1575,1230,1645,1650,1470,1565,1715,1170
109,1590,1220,1660,1650,1460,1555,1730,1170
110,1580,1235,1675,1640,1475,1545,1745,1185
111,1595,1250,1665,1655,1465,1560,1760,1185
112,1610,1240,1680,1670,1455,1575,1775,1200
113,1625,1230,1680,1685,1470,1590,1790,1180
114,1640,1245,1670,1700,1460,1580,1805,1195
115,1655,1260,1685,1700,1475,1595,1820,1210
116,1670,1275,1675,1715,1490,1610,1835,1210
117,1685,1290,1690,1705,1505,1625,1850,1200
118,1700,1270,1680,1720,1520,1640,1840,1215
119,1680,1270,1695,1720,1510,1655,1855,1215
120,1660,1285,1710,1735,1525,1670,1870,1205
121,1660,1300,1725,1750,1540,1660,1885,1220
122,1650,1315,1715,1765,1555,1650,1875,1235
123,1665,1305,1730,1765,1570,1665,1890,1225
124,1680,1320,1745,1755,1585,1655,1880,1225
125,1670,1335,1760,1770,1600,1670,1895,1215
126,1670,1350,1775,1760,1590,1670,1910,1230
127,1685,1330,1790,1775,1605,1685,1925,1230
128,1685,1345,1780,1765,1620,1685,1940,1220
129,1700,1335,1795,1780,1610,1700,1955,1250
130,1690,1325,1810,1770,1600,1690,1945,1240
131,1680,1340,1825,1760,1615,1705,1960,1240
132,1695,1330,1815,1750,1605,1705,1950,1230
133,1695,1320,1830,1740,1595,1695,1940,1245
134,1675,1335,1845,1730,1610,1710,1930,1275
135,1690,1365,1835,1720,1600,1710,1945,1290
136,1705,1380,1850,1735,1590,1700,1935,1280
137,1720,1360,1850,1725,1580,1715,1925,1270
138,1710,1375,1840,1740,1595,1730,1915,1250
139,1710,1365,1830,1755,1610,1720,1905,1265
140,1725,1380,1830,1755,1625,1735,1920,1245
141,1740,1410,1845,1770,1615,1750,1935,1225
142,1720,1400,1860,1785,1605,1750,1950,1240
143,1710,1415,1860,1785,1620,1765,1940,1270
144,1710,1405,1875,1800,1635,1780,1955,1260
145,1700,1435,1890,1790,1625,1795,1945,1250
146,1715,1450,1905,1805,1640,1785,1935,1265
147,1705,1430,1920,1795,1630,1775,1935,1245
148,1695,1445,1935,1810,1620,1765,1950,1260
149,1685,1475,1950,1800,1610,1780,1965,1250
150,1675,1465,1965,1800,1600,1795,1980,1265
151,1675,1480,1980,1815,1590,1785,1995,1255
152,1665,1510,1980,1805,1590,1775,1985,1245
153,1680,1500,1995,1820,1605,1790,2000,1245
154,1695,1515,2010,1835,1620,1805,2015,1235
155,1685,1530,2025,1835,1635,1795,2030,1215
156,1675,1510,2040,1850,1625,1810,2045,1245
157,1690,1540,2055,1865,1640,1825,2060,1275
158,1705,1530,2045,1865,1655,1840,2060,1275
159,1720,1545,2060,1880,1645,1830,2050,1275
160,1700,1525,2075,1895,1635,1820,2065,1265
161,1715,1525,2090,1910,1615,1835,2080,1295
162,1705,1515,2105,1925,1630,1835,2095,1295
163,1720,1530,2095,1940,1645,1825,2110,1275
164,1710,1545,2110,1930,1635,1815,2125,1275
165,1700,1525,2125,1945,1625,1805,2140,1265
166,1690,1555,2125,1960,1640,1820,2155,1295
167,1705,1545,2125,1975,1630,1835,2170,1285
168,1720,1575,2115,1990,1620,1850,2185,1300
169,1720,1590,2130,2005,1620,1865,2175,1290
170,1720,1590,2120,2020,1610,1880,2190,1305
171,1710,1570,2120,2010,1625,1870,2205,1285
172,1740,1585,2135,2000,1640,1860,2195,1285
173,1755,1585,2150,2015,1655,1850,2210,1275
174,1755,1600,2165,2030,1670,1865,2225,1265
175,1755,1615,2180,2045,1685,1880,2240,1295
176,1770,1605,2180,2035,1700,1895,2240,1295
177,1770,1595,2195,2035,1715,1910,2230,1285
178,1785,1625,2185,2050,1730,1925,2220,1275
179,1775,1625,2200,2065,1745,1940,2235,1305
180,1790,1615,2190,2055,1760,1930,2250,1335
181,1780,1595,2205,2070,1775,1945,2240,1335
182,1795,1575,2220,2060,1790,1960,2230,1350
183,1795,1590,2235,2075,1805,1960,2245,1365
184,1775,1605,2225,2090,1795,1975,2260,1380
185,1790,1620,2240,2080,1785,1990,2275,1380
186,1805,1635,2230,2095,1775,2005,2290,1410
187,1820,1650,2220,2110,1790,1995,2305,1400
188,1810,1665,2210,2110,1780,2010,2295,1400
189,1840,1645,2225,2125,1770,2000,2285,1390
190,1855,1675,2240,2140,1785,2015,2300,1390
191,1870,1655,2255,2155,1785,2005,2315,1370
192,1885,1645,2270,2145,1775,2020,2330,1400
193,1900,1660,2285,2135,1790,2035,2320,1390
194,1915,1650,2300,2125,1805,2035,2335,1380
195,1905,1680,2290,2140,1820,2050,2350,1395
196,1920,1695,2305,2155,1835,2040,2365,1375
197,1935,1685,2320,2170,1825,2030,2355,1405
198,1950,1700,2335,2185,1840,2045,2370,1395
199,1940,1715,2335,2175,1830,2035,2360,1395
200,1955,1715,2350,2190,1820,2025,2375,1410
201,1970,1745,2365,2205,1835,2040,2390,1400
202,1985,1760,2355,2195,1825,2055,2405,1415
203,2000,1740,2370,2210,1840,2070,2395,1415
204,2015,1730,2360,2225,1855,2085,2385,1445
205,2030,1720,2375,2215,1845,2100,2400,1435
206,2045,1700,2365,2205,1835,2115,2415,1450
207,2060,1715,2355,2195,1850,2130,2430,1440
208,2075,1745,2370,2185,1865,2120,2445,1430
209,2065,1735,2360,2200,1880,2110,2460,1460
210,2080,1765,2375,2190,1895,2100,2475,1440
