,bb,random,hi_lo,ko,zen,ten,halves,uston
0,1015,990,990,1015,1015,1015,1015,980
1,1005,990,980,1015,1030,1030,1030,960
2,1020,1005,970,1005,1045,1020,1045,960
3,1035,995,985,1020,1035,1035,1060,940
4,1025,1010,975,1035,1050,1050,1075,955
5,1015,990,990,1025,1040,1040,1090,955
6,1030,1005,980,1025,1030,1055,1080,970
7,1045,1020,995,1040,1045,1045,1095,950
8,1045,1050,1010,1055,1035,1035,1110,950
9,1035,1065,1025,1045,1050,1050,1100,940
10,1050,1045,1040,1060,1065,1065,1115,930
11,1080,1075,1055,1075,1055,1080,1105,910
12,1095,1090,1055,1065,1070,1070,1120,910
13,1110,1105,1045,1080,1085,1085,1135,925
14,1110,1120,1060,1095,1100,1100,1125,940
15,1125,1120,1060,1110,1115,1100,1115,970
16,1115,1135,1060,1100,1130,1115,1130,960
17,1095,1115,1050,1090,1145,1130,1120,975
18,1085,1105,1040,1105,1160,1120,1110,990
19,1100,1120,1040,1120,1175,1135,1125,1020
20,1115,1100,1030,1110,1175,1125,1140,1000
21,1130,1090,1045,1125,1165,1115,1130,1015
22,1130,1070,1060,1140,1155,1130,1120,995
23,1145,1085,1050,1155,1145,1120,1110,975
24,1160,1085,1065,1145,1160,1120,1100,975
25,1140,1100,1080,1160,1175,1110,1115,955
26,1155,1090,1070,1160,1165,1100,1130,945
27,1170,1080,1060,1160,1155,1100,1130,935
28,1150,1095,1075,1175,1170,1100,1145,915
29,1165,1110,1090,1190,1160,1115,1160,945
30,1180,1100,1080,1205,1175,1130,1175,960
31,1170,1115,1095,1195,1175,1120,1190,960
32,1185,1145,1110,1210,1165,1135,1205,975
33,1215,1160,1125,1225,1180,1150,1195,990
34,1230,1160,1140,1240,1195,1140,1210,970
35,1245,1175,1130,1230,1185,1155,1225,1000
36,1245,1175,1120,1245,1175,1170,1240,990
37,1260,1190,1135,1260,1190,1185,1255,980
38,1250,1205,1125,1275,1205,1200,1270,995
39,1280,1195,1115,1290,1220,1215,1260,985
40,1295,1195,1130,1290,1235,1205,1250,1000
41,1285,1185,1120,1280,1235,1205,1240,980
42,1275,1215,1135,1295,1250,1220,1230,995
43,1290,1230,1150,1285,1265,1235,1220,995
44,1305,1245,1165,1300,1280,1225,1235,975
45,1320,1235,1155,1315,1295,1215,1250,990
46,1310,1225,1170,1330,1310,1215,1240,1020
47,1310,1205,1160,1320,1300,1230,1230,1035
48,1300,1220,1160,1310,1315,1245,1220,1035
49,1315,1210,1160,1325,1330,1260,1235,1050
50,1330,1190,1175,1340,1345,1275,1235,1080
51,1345,1205,1175,1355,1335,1290,1250,1060
52,1360,1205,1165,1370,1325,1305,1240,1060
53,1375,1185,1180,1385,1315,1320,1255,1075
54,1365,1175,1195,1375,1330,1310,1245,1065
55,1355,1165,1210,1390,1345,1325,1260,1045
56,1370,1180,1225,1380,1360,1340,1275,1035
57,1385,1210,1215,1395,1360,1330,1265,1035
58,1400,1210,1215,1410,1350,1345,1280,1050
59,1415,1210,1205,1425,1340,1360,1280,1065
60,1430,1210,1195,1415,1330,1375,1295,1065
61,1430,1200,1210,1430,1345,1390,1310,1080
62,1420,1200,1225,1420,1335,1380,1300,1060
63,1420,1180,1240,1410,1325,1395,1290,1050
64,1435,1170,1240,1400,1340,1410,1305,1040
65,1450,1160,1230,1415,1355,1400,1320,1040
66,1450,1160,1245,1430,1345,1415,1335,1030
67,1465,1175,1235,1430,1360,1430,1325,1020
