,bb,random,hi_lo,ko,zen,ten,halves,uston
0,1.015,1.015,1.015,0.99,0.99,1.0,1.015,0.99
1,1.005,1.03,1.005,0.98,0.99,1.015,1.03,0.99
2,1.005,1.045,1.02,0.97,0.98,1.03,1.045,0.98
3,1.02,1.025,1.01,0.985,0.97,1.02,1.035,0.995
4,1.035,1.015,1.0,0.975,0.985,1.035,1.05,0.985
5,1.035,0.995,0.99,0.975,0.975,1.05,1.065,0.975
6,1.065,0.985,1.005,0.99,0.965,1.065,1.055,1.005
7,1.065,1.0,0.995,1.005,0.955,1.08,1.045,0.995
8,1.055,0.99,1.01,1.02,0.945,1.08,1.06,0.995
9,1.055,1.02,1.0,1.035,0.96,1.095,1.075,0.985
10,1.07,1.02,1.015,1.035,0.96,1.085,1.09,1.0
11,1.085,1.05,1.015,1.05,0.975,1.075,1.08,0.99
12,1.085,1.065,1.005,1.04,1.005,1.075,1.07,1.02
13,1.075,1.045,0.995,1.055,0.995,1.09,1.07,1.01
14,1.105,1.035,1.01,1.07,0.985,1.105,1.06,0.99
15,1.105,1.035,1.025,1.085,1.0,1.095,1.075,1.005
16,1.095,1.065,1.04,1.075,1.015,1.11,1.065,0.995
17,1.085,1.055,1.03,1.065,1.005,1.1,1.055,0.995
18,1.075,1.07,1.045,1.055,1.02,1.09,1.045,0.995
19,1.075,1.06,1.035,1.045,1.035,1.105,1.035,1.01
20,1.065,1.04,1.05,1.06,1.05,1.095,1.05,1.04
21,1.055,1.055,1.065,1.075,1.065,1.11,1.04,1.03
22,1.07,1.045,1.08,1.09,1.055,1.125,1.03,1.01
23,1.085,1.035,1.095,1.08,1.045,1.115,1.02,1.01
24,1.085,1.035,1.11,1.095,1.06,1.13,1.01,1.01
25,1.085,1.05,1.125,1.11,1.06,1.12,1.025,1.0
26,1.1,1.05,1.14,1.1,1.075,1.12,1.015,1.0
27,1.09,1.03,1.155,1.115,1.065,1.11,1.005,0.99
28,1.105,1.045,1.17,1.13,1.08,1.125,0.995,1.005
29,1.095,1.025,1.16,1.12,1.07,1.14,0.985,1.02
30,1.11,1.04,1.15,1.135,1.06,1.13,0.975,1.01
31,1.125,1.03,1.165,1.15,1.075,1.12,0.99,1.01
32,1.14,1.03,1.18,1.165,1.09,1.11,1.005,1.04
33,1.13,1.045,1.17,1.155,1.105,1.1,0.995,1.02
34,1.12,1.075,1.185,1.145,1.12,1.115,1.01,1.035
35,1.135,1.065,1.2,1.16,1.135,1.105,1.0,1.05
36,1.125,1.045,1.19,1.175,1.15,1.095,0.99,1.05
37,1.14,1.06,1.205,1.165,1.14,1.11,1.005,1.04
38,1.155,1.075,1.195,1.18,1.13,1.125,1.02,1.02
39,1.17,1.09,1.21,1.17,1.12,1.115,1.01,1.05
40,1.16,1.105,1.225,1.185,1.135,1.105,1.025,1.08
41,1.16,1.095,1.215,1.2,1.15,1.12,1.015,1.07
42,1.175,1.11,1.205,1.19,1.14,1.135,1.03,1.1
43,1.165,1.125,1.22,1.18,1.155,1.15,1.045,1.09
44,1.18,1.115,1.235,1.17,1.145,1.14,1.06,1.07
45,1.16,1.13,1.225,1.16,1.135,1.13,1.05,1.05
46,1.175,1.12,1.24,1.15,1.15,1.145,1.065,1.08
47,1.19,1.11,1.23,1.14,1.165,1.135,1.055,1.06
48,1.18,1.125,1.22,1.155,1.155,1.125,1.045,1.09
49,1.17,1.14,1.235,1.17,1.17,1.14,1.06,1.07
50,1.185,1.12,1.225,1.16,1.185,1.13,1.05,1.05
51,1.2,1.135,1.24,1.15,1.175,1.145,1.04,1.03
52,1.215,1.125,1.23,1.14,1.19,1.135,1.04,1.045
53,1.23,1.115,1.22,1.13,1.18,1.125,1.03,1.06
54,1.22,1.145,1.235,1.145,1.17,1.125,1.02,1.05
55,1.235,1.16,1.25,1.16,1.16,1.115,1.01,1.065
