,bb,random,hi_lo,ko,zen,ten,halves,uston
0,0.99,0.99,0.99,0.99,0.99,0.99,1.015,0.99
1,0.97,1.005,1.005,1.005,0.98,0.98,1.005,0.99
2,0.985,0.985,0.995,1.02,0.995,0.995,0.995,0.98
3,1.0,0.975,0.985,1.01,1.01,1.01,1.01,0.995
4,1.015,0.975,1.0,1.0,1.025,1.025,1.01,1.01
5,1.03,0.955,0.99,0.99,1.015,1.015,1.0,1.0
6,1.045,0.945,0.98,1.005,1.03,1.03,1.015,0.99
7,1.035,0.945,0.995,1.02,1.02,1.045,1.03,0.99
8,1.05,0.96,0.995,1.035,1.035,1.035,1.02,0.98
9,1.065,0.94,1.01,1.035,1.05,1.05,1.02,0.98
10,1.08,0.92,1.025,1.05,1.065,1.065,1.035,0.96
11,1.07,0.92,1.04,1.04,1.08,1.065,1.025,0.96
12,1.07,0.95,1.055,1.055,1.07,1.055,1.015,0.95
13,1.06,0.95,1.045,1.07,1.085,1.07,1.005,0.94
14,1.075,0.93,1.035,1.06,1.1,1.085,1.02,0.97
15,1.09,0.945,1.05,1.05,1.09,1.075,1.035,1.0
16,1.09,0.935,1.05,1.065,1.105,1.09,1.05,0.99
17,1.105,0.925,1.04,1.055,1.105,1.105,1.065,0.99
18,1.105,0.915,1.055,1.07,1.095,1.12,1.055,0.98
19,1.085,0.905,1.07,1.085,1.085,1.11,1.07,1.01
20,1.075,0.92,1.06,1.1,1.075,1.1,1.085,1.04
21,1.055,0.91,1.06,1.115,1.065,1.115,1.1,1.04
22,1.045,0.91,1.05,1.13,1.055,1.13,1.115,1.03
23,1.035,0.925,1.065,1.145,1.045,1.13,1.105,1.01
24,1.025,0.925,1.055,1.135,1.035,1.12,1.095,1.025
25,1.04,0.955,1.07,1.15,1.05,1.135,1.085,1.04
26,1.055,0.945,1.085,1.14,1.04,1.15,1.085,1.055
27,1.07,0.925,1.1,1.155,1.03,1.14,1.075,1.035
28,1.07,0.925,1.09,1.17,1.045,1.155,1.09,1.065
29,1.07,0.915,1.105,1.17,1.06,1.155,1.08,1.08
30,1.05,0.905,1.12,1.185,1.05,1.17,1.07,1.07
31,1.05,0.905,1.11,1.2,1.065,1.16,1.07,1.085
32,1.08,0.885,1.125,1.19,1.055,1.15,1.085,1.1
33,1.06,0.865,1.14,1.205,1.045,1.14,1.1,1.09
34,1.05,0.845,1.155,1.195,1.035,1.13,1.09,1.07
35,1.04,0.875,1.155,1.185,1.025,1.145,1.08,1.1
36,1.055,0.865,1.17,1.185,1.04,1.135,1.07,1.08
37,1.045,0.865,1.185,1.175,1.04,1.15,1.085,1.11
38,1.045,0.865,1.175,1.19,1.055,1.14,1.075,1.09
39,1.035,0.845,1.19,1.19,1.045,1.155,1.09,1.07
40,1.025,0.825,1.18,1.205,1.06,1.17,1.08,1.085
41,1.04,0.855,1.195,1.195,1.05,1.16,1.095,1.115
42,1.03,0.87,1.21,1.21,1.065,1.15,1.095,1.13
43,1.03,0.85,1.2,1.225,1.08,1.14,1.085,1.16
44,1.045,0.84,1.19,1.24,1.095,1.13,1.085,1.16
45,1.075,0.855,1.205,1.23,1.11,1.145,1.1,1.14
46,1.09,0.87,1.22,1.245,1.125,1.135,1.1,1.12
47,1.105,0.9,1.235,1.26,1.155,1.125,1.115,1.15
48,1.105,0.9,1.235,1.25,1.17,1.14,1.13,1.165
49,1.12,0.89,1.225,1.24,1.185,1.13,1.12,1.155
50,1.135,0.88,1.24,1.23,1.2,1.145,1.135,1.155
51,1.15,0.86,1.23,1.245,1.19,1.145,1.15,1.155
52,1.14,0.84,1.22,1.26,1.18,1.135,1.165,1.155
53,1.155,0.855,1.235,1.25,1.195,1.15,1.18,1.17
54,1.145,0.845,1.225,1.265,1.21,1.165,1.195,1.2
55,1.16,0.875,1.215,1.28,1.225,1.18,1.185,1.23
56,1.175,0.89,1.23,1.27,1.24,1.17,1.185,1.22
57,1.19,0.88,1.245,1.26,1.255,1.16,1.2,1.25
58,1.205,0.86,1.26,1.275,1.27,1.15,1.19,1.23
59,1.195,0.875,1.275,1.265,1.285,1.14,1.205,1.21
60,1.185,0.865,1.29,1.28,1.3,1.155,1.22,1.2
61,1.2,0.88,1.28,1.295,1.3,1.155,1.21,1.215
62,1.215,0.86,1.295,1.31,1.315,1.17,1.2,1.245
63,1.195,0.875,1.285,1.325,1.305,1.16,1.215,1.26
64,1.21,0.855,1.275,1.315,1.32,1.175,1.205,1.26
65,1.225,0.835,1.29,1.305,1.31,1.175,1.195,1.24
66,1.215,0.85,1.305,1.32,1.325,1.19,1.185,1.255
67,1.245,0.83,1.295,1.335,1.315,1.205,1.175,1.27
68,1.26,0.83,1.285,1.35,1.295,1.22,1.165,1.3
69,1.275,0.86,1.3,1.365,1.285,1.21,1.165,1.3
70,1.305,0.85,1.315,1.38,1.3,1.2,1.155,1.315
71,1.305,0.865,1.315,1.395,1.315,1.19,1.17,1.305
72,1.32,0.845,1.305,1.41,1.305,1.205,1.185,1.32
73,1.3,0.835,1.32,1.4,1.295,1.22,1.2,1.32
74,1.315,0.815,1.335,1.415,1.31,1.22,1.19,1.32
75,1.33,0.805,1.35,1.415,1.325,1.22,1.19,1.32
76,1.345,0.835,1.365,1.43,1.315,1.21,1.205,1.31
77,1.335,0.865,1.38,1.42,1.305,1.225,1.22,1.34
78,1.325,0.855,1.395,1.41,1.32,1.215,1.21,1.33
79,1.34,0.845,1.41,1.4,1.31,1.205,1.2,1.345
80,1.32,0.825,1.425,1.415,1.3,1.195,1.19,1.36
81,1.335,0.815,1.44,1.43,1.29,1.185,1.18,1.39
82,1.35,0.795,1.455,1.445,1.28,1.175,1.195,1.39
83,1.365,0.825,1.47,1.46,1.27,1.175,1.185,1.37
84,1.38,0.815,1.46,1.45,1.285,1.175,1.175,1.36
85,1.37,0.83,1.46,1.465,1.275,1.165,1.165,1.35
86,1.385,0.83,1.45,1.48,1.275,1.155,1.18,1.35
87,1.375,0.82,1.44,1.47,1.29,1.17,1.195,1.365
88,1.39,0.85,1.455,1.46,1.305,1.16,1.21,1.355
89,1.38,0.84,1.47,1.475,1.32,1.175,1.2,1.355
90,1.395,0.83,1.485,1.49,1.31,1.19,1.215,1.345
91,1.395,0.82,1.475,1.505,1.3,1.205,1.23,1.375
92,1.385,0.8,1.49,1.495,1.315,1.205,1.245,1.39
93,1.4,0.815,1.48,1.485,1.33,1.22,1.235,1.42
94,1.39,0.845,1.47,1.5,1.32,1.235,1.225,1.4
95,1.405,0.86,1.46,1.49,1.31,1.235,1.215,1.43
96,1.395,0.85,1.45,1.49,1.325,1.25,1.23,1.46
97,1.385,0.85,1.44,1.505,1.325,1.265,1.245,1.44
98,1.375,0.88,1.44,1.495,1.315,1.255,1.245,1.455
99,1.365,0.91,1.455,1.485,1.33,1.27,1.26,1.435
100,0.99,0.99,0.99,0.99,0.99,0.99,1.015,1.03
101,0.98,0.97,1.005,1.005,1.005,0.98,1.005,1.01
102,0.98,0.95,0.995,1.02,0.995,0.995,0.995,1.0
103,0.995,0.98,0.985,1.035,0.985,1.01,1.01,1.03
104,1.01,0.96,0.975,1.05,1.0,1.025,1.025,1.03
105,1.0,0.95,0.99,1.065,0.98,1.04,1.04,1.03
106,1.015,0.98,0.98,1.08,0.97,1.055,1.04,1.02
107,1.03,1.01,0.995,1.095,0.96,1.07,1.03,1.0
108,1.045,1.04,1.01,1.095,0.95,1.085,1.02,1.015
109,1.06,1.055,1.0,1.11,0.965,1.1,1.01,1.005
110,1.05,1.085,1.015,1.1,0.98,1.1,1.0,0.985
111,1.04,1.115,1.005,1.09,0.995,1.1,1.015,0.965
112,1.02,1.13,1.02,1.09,0.985,1.115,1.005,0.955
113,1.035,1.11,1.035,1.105,1.0,1.115,1.005,0.945
114,1.05,1.1,1.025,1.12,0.99,1.105,1.02,0.935
115,1.065,1.115,1.04,1.135,0.98,1.12,1.035,0.965
