,bb,random,hi_lo,ko,zen,ten,halves,uston
0,0.99,0.99,0.99,1.015,1.015,0.99,1.015,0.98
1,1.005,0.98,0.98,1.03,1.03,1.005,1.005,0.98
2,1.02,0.995,0.995,1.045,1.03,1.02,1.02,1.01
3,1.035,1.01,0.985,1.035,1.02,1.035,1.035,1.025
4,1.025,1.0,1.0,1.025,1.01,1.025,1.025,1.005
5,1.015,0.99,1.015,1.04,1.025,1.015,1.04,0.985
6,1.03,0.98,1.03,1.055,1.015,1.03,1.04,1.015
7,1.045,0.995,1.045,1.07,1.005,1.02,1.055,1.03
8,1.045,1.01,1.045,1.085,1.02,1.01,1.045,1.01
9,1.045,1.0,1.035,1.1,1.035,1.025,1.035,1.025
10,1.06,1.015,1.05,1.09,1.025,1.015,1.05,1.04
11,1.06,1.005,1.05,1.08,1.015,1.005,1.065,1.055
12,1.075,1.02,1.065,1.07,1.03,1.02,1.055,1.045
13,1.075,1.01,1.08,1.085,1.045,1.035,1.045,1.075
14,1.065,1.01,1.07,1.075,1.06,1.05,1.06,1.065
15,1.08,1.025,1.06,1.065,1.05,1.04,1.075,1.055
16,1.08,1.015,1.05,1.08,1.065,1.055,1.065,1.085
17,1.07,0.995,1.04,1.095,1.08,1.055,1.08,1.115
18,1.1,1.01,1.03,1.085,1.07,1.07,1.095,1.095
19,1.09,1.0,1.045,1.075,1.085,1.085,1.085,1.085
20,1.105,1.0,1.06,1.09,1.075,1.1,1.1,1.115
21,1.12,1.015,1.05,1.08,1.09,1.09,1.115,1.105
22,1.12,1.005,1.065,1.095,1.105,1.08,1.105,1.095
23,1.135,1.02,1.08,1.11,1.12,1.095,1.12,1.11
24,1.15,1.05,1.095,1.1,1.11,1.11,1.11,1.1
25,1.13,1.04,1.11,1.115,1.125,1.125,1.1,1.08
26,1.145,1.03,1.1,1.13,1.14,1.14,1.115,1.06
27,1.145,1.045,1.115,1.12,1.155,1.13,1.13,1.075
28,1.135,1.045,1.13,1.11,1.145,1.145,1.13,1.055
29,1.125,1.035,1.12,1.125,1.16,1.16,1.145,1.045
30,1.14,1.025,1.135,1.115,1.15,1.175,1.135,1.06
31,1.14,1.04,1.125,1.13,1.165,1.19,1.15,1.075
32,1.13,1.055,1.14,1.145,1.155,1.205,1.14,1.055
33,1.16,1.055,1.13,1.16,1.145,1.205,1.155,1.045
34,1.175,1.07,1.145,1.15,1.16,1.195,1.155,1.075
35,1.19,1.05,1.16,1.14,1.15,1.185,1.145,1.075
36,1.205,1.04,1.175,1.155,1.14,1.175,1.135,1.075
37,1.195,1.055,1.165,1.145,1.13,1.19,1.125,1.09
38,1.21,1.045,1.18,1.135,1.12,1.18,1.14,1.105
39,1.19,1.035,1.195,1.15,1.135,1.17,1.155,1.095
40,1.205,1.05,1.21,1.14,1.15,1.16,1.17,1.085
41,1.195,1.05,1.2,1.13,1.14,1.175,1.185,1.085
42,1.21,1.03,1.215,1.145,1.155,1.19,1.2,1.115
43,1.2,1.045,1.205,1.16,1.145,1.18,1.19,1.145
44,1.215,1.045,1.195,1.16,1.135,1.17,1.18,1.125
45,1.215,1.075,1.21,1.15,1.125,1.185,1.17,1.125
46,1.205,1.105,1.225,1.15,1.14,1.185,1.185,1.14
47,1.22,1.135,1.24,1.14,1.155,1.175,1.2,1.14
48,1.235,1.125,1.23,1.14,1.145,1.165,1.19,1.12
49,1.25,1.14,1.22,1.155,1.135,1.18,1.205,1.1
50,1.265,1.17,1.235,1.17,1.15,1.17,1.205,1.08
51,1.28,1.185,1.225,1.185,1.165,1.17,1.22,1.07
52,1.26,1.175,1.24,1.2,1.155,1.16,1.235,1.06
53,1.275,1.165,1.255,1.19,1.145,1.175,1.25,1.075
54,1.265,1.165,1.255,1.205,1.145,1.175,1.265,1.065
55,1.28,1.165,1.27,1.22,1.145,1.19,1.28,1.095
56,1.27,1.145,1.285,1.22,1.175,1.19,1.27,1.095
57,1.26,1.16,1.3,1.21,1.19,1.18,1.285,1.11
58,1.29,1.14,1.315,1.2,1.18,1.195,1.3,1.09
59,1.305,1.13,1.305,1.19,1.17,1.195,1.29,1.105
60,1.305,1.13,1.305,1.205,1.16,1.185,1.305,1.105
61,1.32,1.13,1.32,1.22,1.15,1.2,1.32,1.135
62,1.335,1.145,1.31,1.21,1.165,1.19,1.335,1.165
63,1.325,1.135,1.3,1.225,1.165,1.19,1.325,1.165
64,1.355,1.125,1.29,1.24,1.155,1.18,1.34,1.18
65,1.37,1.14,1.305,1.255,1.155,1.17,1.33,1.21
66,1.385,1.13,1.32,1.27,1.17,1.185,1.345,1.2
67,1.4,1.13,1.31,1.285,1.16,1.185,1.36,1.2
68,1.415,1.13,1.325,1.275,1.175,1.175,1.35,1.23
69,1.43,1.13,1.325,1.29,1.165,1.19,1.34,1.22
70,1.445,1.12,1.315,1.28,1.18,1.205,1.34,1.21
71,1.425,1.135,1.305,1.295,1.195,1.195,1.33,1.21
72,1.44,1.165,1.32,1.31,1.185,1.21,1.32,1.21
73,1.455,1.165,1.31,1.3,1.175,1.225,1.335,1.24
74,1.47,1.155,1.31,1.29,1.165,1.24,1.325,1.255
75,1.47,1.155,1.325,1.305,1.18,1.23,1.34,1.245
76,1.485,1.145,1.34,1.32,1.17,1.245,1.355,1.26
77,1.515,1.16,1.33,1.335,1.185,1.245,1.37,1.29
78,1.53,1.14,1.32,1.35,1.185,1.26,1.385,1.32
79,1.53,1.155,1.31,1.34,1.185,1.25,1.4,1.3
80,1.545,1.155,1.325,1.355,1.2,1.25,1.39,1.29
81,1.56,1.17,1.34,1.37,1.215,1.265,1.38,1.305
82,1.59,1.15,1.33,1.385,1.23,1.28,1.395,1.335
83,1.605,1.15,1.32,1.4,1.245,1.295,1.41,1.35
84,1.595,1.18,1.335,1.39,1.26,1.31,1.4,1.35
85,1.585,1.195,1.325,1.39,1.25,1.3,1.415,1.34
86,1.575,1.185,1.34,1.38,1.24,1.315,1.43,1.34
87,1.575,1.185,1.33,1.395,1.255,1.33,1.42,1.33
88,1.59,1.2,1.345,1.41,1.27,1.33,1.435,1.32
89,1.605,1.215,1.335,1.425,1.285,1.32,1.425,1.335
90,1.595,1.205,1.35,1.415,1.275,1.31,1.415,1.325
91,1.61,1.22,1.34,1.405,1.29,1.325,1.43,1.325
92,1.625,1.2,1.34,1.395,1.28,1.34,1.42,1.34
93,1.64,1.215,1.355,1.41,1.27,1.355,1.41,1.32
94,1.64,1.205,1.345,1.425,1.27,1.37,1.4,1.3
95,1.655,1.205,1.335,1.44,1.285,1.385,1.415,1.3
96,1.655,1.185,1.335,1.455,1.3,1.4,1.43,1.3
97,1.67,1.2,1.35,1.47,1.315,1.39,1.42,1.315
98,1.66,1.19,1.34,1.485,1.33,1.405,1.435,1.33
99,1.65,1.17,1.355,1.5,1.345,1.42,1.425,1.33
100,0.99,1.015,1.015,0.99,1.015,0.99,1.0,0.98
101,0.98,1.045,1.03,0.98,1.005,1.005,1.015,0.98
102,0.995,1.025,1.02,0.97,1.02,0.995,1.03,0.96
103,0.985,1.04,1.035,0.985,1.02,0.995,1.03,0.95
104,0.985,1.04,1.025,1.0,1.035,0.985,1.02,0.965
