,bb,random,hi_lo,ko,zen,ten,halves,uston
0,1.015,1.015,1.0,0.99,0.99,1.015,0.99,0.98
1,1.005,1.03,1.015,1.005,1.005,1.005,1.005,0.98
2,1.005,1.02,1.005,0.995,0.995,1.02,1.005,0.97
3,1.02,1.01,0.995,0.985,0.985,1.01,1.005,1.0
4,1.035,1.04,0.995,1.0,0.975,1.025,1.02,0.99
5,1.065,1.04,1.01,1.015,0.99,1.04,1.01,1.02
6,1.08,1.04,1.025,1.03,1.005,1.055,1.025,1.035
7,1.095,1.03,1.015,1.045,1.02,1.07,1.04,1.035
8,1.085,1.02,1.005,1.035,1.035,1.06,1.03,1.015
9,1.085,1.01,0.995,1.025,1.05,1.05,1.02,1.015
10,1.1,1.0,0.985,1.015,1.065,1.04,1.035,1.045
11,1.09,1.015,1.0,1.03,1.08,1.055,1.05,1.075
12,1.07,1.005,1.015,1.045,1.07,1.045,1.04,1.075
13,1.07,0.985,1.005,1.06,1.06,1.035,1.04,1.075
14,1.085,0.985,0.995,1.075,1.075,1.05,1.055,1.075
15,1.1,0.975,1.01,1.075,1.09,1.04,1.045,1.09
16,1.09,0.99,1.0,1.065,1.105,1.04,1.035,1.105
17,1.105,1.02,0.99,1.055,1.12,1.055,1.05,1.105
18,1.095,1.01,1.005,1.055,1.11,1.07,1.065,1.095
19,1.11,1.0,0.995,1.045,1.1,1.06,1.08,1.085
20,1.14,1.0,1.01,1.035,1.115,1.075,1.08,1.085
21,1.14,0.98,1.025,1.05,1.13,1.09,1.095,1.075
22,1.155,0.97,1.04,1.065,1.145,1.08,1.11,1.055
23,1.145,0.985,1.055,1.08,1.16,1.095,1.125,1.035
24,1.16,1.0,1.045,1.095,1.175,1.085,1.115,1.05
25,1.15,0.98,1.035,1.11,1.19,1.1,1.115,1.065
26,1.165,0.96,1.05,1.1,1.205,1.115,1.13,1.045
27,1.18,0.975,1.065,1.1,1.22,1.105,1.145,1.075
28,1.17,1.005,1.08,1.09,1.235,1.12,1.135,1.065
29,1.185,0.995,1.07,1.105,1.25,1.135,1.125,1.095
