,bb,random,hi_lo,ko,zen,ten,halves,uston
0,1015,980,990,1015,990,1015,1015,1015
1,1005,995,1005,1030,980,1005,1015,1030
2,995,975,995,1030,995,1020,1030,1020
3,1010,990,1010,1020,985,1010,1045,1000
4,1040,990,1000,1035,975,1000,1035,990
5,1055,1020,990,1050,965,1015,1050,970
6,1055,1035,1005,1065,980,1030,1065,1000
7,1045,1035,1020,1055,970,1020,1080,1000
8,1045,1025,1010,1070,985,1010,1095,1015
9,1060,1055,1000,1060,1000,1025,1085,1015
10,1050,1070,990,1050,1015,1040,1100,995
11,1040,1085,1005,1065,1030,1030,1100,985
12,1030,1065,1020,1055,1010,1045,1115,1015
13,1010,1065,1020,1045,1000,1045,1105,995
14,1000,1065,1035,1035,990,1060,1105,985
15,1015,1045,1050,1025,980,1050,1095,1000
16,1005,1060,1065,1025,970,1040,1110,990
17,1020,1060,1080,1015,960,1055,1125,970
18,1020,1050,1070,1005,950,1045,1140,970
19,1035,1050,1085,995,965,1060,1130,985
20,1050,1065,1100,1010,955,1075,1120,975
21,1065,1080,1115,1025,970,1090,1120,975
22,1055,1070,1130,1015,960,1105,1135,990
23,1070,1060,1120,1005,990,1120,1150,1005
24,1060,1050,1110,1020,980,1120,1165,985
25,1075,1065,1100,1010,970,1135,1155,1015
26,1075,1045,1115,1025,985,1150,1170,1030
27,1065,1060,1105,1040,985,1165,1185,1010
28,1055,1040,1120,1055,975,1180,1175,990
29,1045,1055,1110,1045,990,1195,1190,1005
30,1060,1055,1100,1060,1005,1210,1180,985
31,1075,1035,1115,1050,995,1200,1170,965
32,1065,1065,1105,1040,1010,1190,1160,965
33,1095,1080,1120,1040,1010,1205,1175,955
34,1095,1110,1110,1055,1025,1195,1175,970
35,1085,1100,1110,1070,1025,1195,1165,985
36,1115,1090,1125,1085,1040,1185,1155,975
37,1130,1080,1140,1100,1030,1175,1170,990
38,1120,1080,1155,1090,1045,1175,1170,990
39,1110,1080,1155,1080,1035,1165,1185,990
40,1125,1060,1170,1095,1050,1155,1200,980
41,1125,1060,1185,1085,1065,1145,1190,995
42,1140,1090,1185,1100,1080,1135,1180,985
43,1155,1080,1185,1090,1070,1150,1170,1000
44,1135,1095,1200,1080,1085,1140,1185,980
45,1150,1110,1190,1080,1100,1140,1175,995
46,1165,1100,1180,1070,1090,1155,1165,1025
47,1155,1115,1195,1070,1105,1170,1155,1005
48,1170,1105,1210,1060,1120,1170,1145,1035
49,1170,1135,1200,1075,1110,1185,1160,1025
50,1160,1135,1215,1090,1100,1200,1150,1015
51,1150,1150,1230,1080,1115,1215,1165,1045
52,1150,1165,1220,1070,1130,1215,1180,1045
53,1150,1180,1235,1060,1130,1230,1170,1035
54,1140,1195,1225,1050,1145,1220,1160,1065
55,1130,1210,1215,1050,1145,1235,1150,1065
56,1120,1200,1205,1065,1160,1250,1165,1055
57,1120,1230,1220,1080,1175,1240,1180,1035
58,1110,1245,1210,1095,1190,1230,1195,1025
59,1110,1235,1200,1085,1205,1245,1185,1040
60,1110,1225,1200,1100,1220,1235,1175,1040
61,1100,1215,1215,1115,1235,1225,1190,1030
62,1090,1230,1205,1130,1225,1225,1180,1045
63,1080,1260,1220,1120,1240,1240,1195,1025
64,1080,1250,1210,1135,1255,1230,1185,1040
65,1095,1230,1225,1125,1270,1245,1175,1055
66,1095,1230,1215,1125,1260,1245,1190,1085
67,1085,1220,1230,1140,1290,1235,1180,1085
68,1075,1210,1220,1130,1280,1250,1195,1085
69,1090,1240,1235,1145,1270,1240,1185,1100
70,1080,1270,1250,1135,1260,1240,1200,1090
71,1095,1300,1265,1150,1275,1230,1190,1090
72,1110,1280,1255,1165,1265,1220,1180,1105
73,1110,1270,1270,1180,1255,1235,1195,1135
74,1110,1285,1260,1195,1245,1250,1210,1125
75,1110,1300,1275,1185,1260,1265,1200,1140
76,1125,1315,1290,1200,1250,1255,1190,1170
77,1140,1330,1280,1215,1240,1270,1205,1150
78,1155,1360,1295,1230,1230,1270,1195,1140
79,1135,1360,1285,1245,1245,1285,1210,1140
