,bb,random,hi_lo,ko,zen,ten,halves,uston
0,1015,1015,1000,990,990,1015,990,980
1,1005,1030,1015,1005,1005,1005,1005,980
2,1005,1020,1005,995,995,1020,1005,970
3,1020,1010,995,985,985,1010,1005,1000
4,1035,1040,995,1000,975,1025,1020,990
5,1065,1040,1010,1015,990,1040,1010,1020
6,1080,1040,1025,1030,1005,1055,1025,1035
7,1095,1030,1015,1045,1020,1070,1040,1035
8,1085,1020,1005,1035,1035,1060,1030,1015
9,1085,1010,995,1025,1050,1050,1020,1015
10,1100,1000,985,1015,1065,1040,1035,1045
11,1090,1015,1000,1030,1080,1055,1050,1075
12,1070,1005,1015,1045,1070,1045,1040,1075
13,1070,985,1005,1060,1060,1035,1040,1075
14,1085,985,995,1075,1075,1050,1055,1075
15,1100,975,1010,1075,1090,1040,1045,1090
16,1090,990,1000,1065,1105,1040,1035,1105
17,1105,1020,990,1055,1120,1055,1050,1105
18,1095,1010,1005,1055,1110,1070,1065,1095
19,1110,1000,995,1045,1100,1060,1080,1085
20,1140,1000,1010,1035,1115,1075,1080,1085
21,1140,980,1025,1050,1130,1090,1095,1075
22,1155,970,1040,1065,1145,1080,1110,1055
23,1145,985,1055,1080,1160,1095,1125,1035
24,1160,1000,1045,1095,1175,1085,1115,1050
25,1150,980,1035,1110,1190,1100,1115,1065
26,1165,960,1050,1100,1205,1115,1130,1045
27,1180,975,1065,1100,1220,1105,1145,1075
28,1170,1005,1080,1090,1235,1120,1135,1065
29,1185,995,1070,1105,1250,1135,1125,1095
30,1175,985,1060,1120,1240,1135,1140,1110
31,1190,1000,1075,1120,1230,1150,1130,1140
32,1205,1030,1065,1110,1245,1150,1145,1140
33,1220,1045,1080,1100,1235,1165,1160,1120
34,1235,1035,1095,1115,1225,1180,1150,1135
35,1225,1035,1110,1130,1215,1170,1165,1135
36,1240,1050,1125,1120,1205,1160,1155,1165
37,1240,1080,1140,1110,1220,1150,1170,1145
38,1255,1095,1155,1125,1210,1165,1160,1125
39,1235,1085,1155,1115,1225,1180,1150,1125
40,1250,1065,1145,1105,1215,1195,1165,1105
41,1240,1055,1160,1095,1230,1185,1180,1085
42,1255,1055,1175,1085,1220,1175,1195,1065
43,1270,1035,1165,1100,1220,1190,1185,1055
44,1260,1015,1155,1115,1235,1180,1175,1055
45,1275,1005,1170,1130,1250,1170,1165,1055
46,1290,1020,1160,1120,1265,1185,1165,1055
47,1305,1035,1150,1110,1255,1200,1155,1070
48,1295,1065,1165,1110,1245,1190,1170,1050
49,1285,1080,1180,1100,1235,1205,1185,1065
50,1300,1095,1170,1090,1225,1220,1200,1045
51,1300,1110,1185,1105,1240,1235,1215,1025
52,1315,1100,1185,1095,1230,1225,1205,1015
53,1330,1090,1175,1110,1245,1240,1195,995
54,1320,1070,1190,1100,1235,1230,1210,985
55,1335,1060,1205,1115,1225,1220,1200,985
56,1335,1050,1195,1105,1240,1235,1190,965
57,1335,1080,1210,1095,1255,1235,1205,965
58,1325,1060,1200,1110,1270,1225,1220,980
59,1305,1090,1215,1100,1285,1215,1220,995
60,1295,1105,1230,1090,1275,1230,1220,1010
61,1285,1095,1220,1090,1290,1245,1235,1040
62,1275,1110,1235,1090,1280,1260,1235,1040
63,1290,1100,1225,1080,1295,1250,1225,1070
64,1290,1130,1215,1095,1285,1265,1240,1050
65,1305,1120,1230,1110,1275,1280,1255,1040
66,1320,1110,1220,1125,1265,1295,1270,1040
67,1310,1100,1235,1140,1280,1310,1285,1070
68,1325,1080,1225,1155,1295,1300,1300,1050
69,1315,1095,1240,1145,1310,1300,1290,1040
70,1305,1085,1230,1160,1310,1315,1290,1055
71,1320,1100,1220,1150,1300,1305,1305,1055
72,1335,1090,1210,1140,1315,1305,1295,1085
73,1350,1105,1225,1155,1305,1320,1285,1065
74,1340,1120,1215,1170,1320,1310,1300,1055
75,1355,1135,1230,1185,1335,1325,1315,1035
76,1370,1150,1220,1175,1325,1315,1330,1065
77,1385,1180,1210,1165,1325,1330,1320,1045
78,1375,1210,1225,1155,1315,1345,1310,1025
79,1390,1190,1215,1145,1305,1360,1325,1055
80,1405,1205,1215,1135,1295,1375,1340,1035
81,1420,1205,1205,1125,1310,1365,1330,1015
82,1400,1220,1195,1115,1300,1380,1345,1045
83,1415,1200,1185,1105,1290,1395,1360,1060
84,1430,1180,1175,1095,1280,1410,1375,1050
85,1445,1180,1190,1110,1295,1410,1365,1040
86,1460,1170,1205,1125,1310,1400,1365,1070
87,1490,1200,1195,1125,1300,1390,1380,1085
88,1470,1180,1185,1140,1290,1405,1370,1085
89,1450,1210,1200,1130,1305,1395,1360,1100
90,1440,1225,1190,1120,1305,1410,1375,1090
91,1455,1240,1205,1135,1320,1400,1365,1080
92,1470,1230,1220,1125,1335,1415,1355,1095
93,1460,1220,1235,1140,1350,1430,1345,1085
94,1490,1210,1250,1130,1350,1430,1360,1065
95,1505,1225,1240,1145,1365,1420,1375,1055
96,1495,1215,1230,1135,1380,1410,1390,1070
97,1495,1245,1220,1150,1395,1425,1380,1060
98,1510,1225,1235,1165,1385,1415,1395,1050
99,1500,1240,1250,1180,1400,1430,1410,1080
100,1515,1255,1265,1195,1390,1445,1425,1095
101,1505,1255,1255,1185,1405,1460,1440,1075
102,1520,1235,1245,1200,1420,1475,1455,1075
103,1520,1215,1260,1200,1435,1490,1455,1065
104,1510,1230,1250,1190,1450,1490,1470,1065
105,1525,1210,1240,1180,1465,1505,1485,1065
106,1555,1240,1255,1195,1455,1495,1500,1065
107,1570,1270,1270,1185,1470,1495,1515,1055
108,1585,1260,1285,1200,1470,1510,1530,1085
109,1585,1260,1300,1190,1470,1500,1545,1075
110,1575,1240,1290,1180,1485,1515,1560,1075
111,1565,1220,1305,1170,1500,1530,1575,1090
112,1555,1210,1295,1160,1515,1545,1590,1080
113,1570,1200,1310,1150,1505,1560,1580,1070
114,1585,1215,1310,1165,1495,1550,1595,1050
115,1600,1245,1310,1180,1510,1565,1610,1040
116,1615,1260,1300,1170,1525,1555,1625,1070
117,1630,1290,1300,1185,1515,1545,1640,1060
118,1645,1305,1290,1200,1530,1560,1655,1040
119,1635,1335,1305,1190,1545,1550,1655,1070
120,1650,1325,1320,1205,1535,1540,1645,1100
121,1665,1305,1310,1220,1525,1530,1660,1115
122,1655,1285,1310,1220,1540,1545,1675,1130
123,1670,1275,1325,1210,1555,1535,1690,1120
124,1660,1255,1340,1200,1545,1525,1705,1110
125,1675,1245,1355,1215,1560,1525,1720,1100
126,1690,1245,1370,1215,1550,1540,1710,1080
127,1690,1245,1385,1205,1565,1540,1725,1110
128,1705,1275,1375,1205,1555,1530,1740,1090
129,1705,1265,1365,1195,1570,1520,1755,1105
130,1705,1265,1380,1210,1560,1510,1745,1095
131,1720,1255,1370,1200,1550,1500,1745,1085
132,1735,1270,1385,1190,1565,1490,1760,1100
133,1725,1250,1375,1205,1580,1505,1775,1115
134,1715,1250,1365,1205,1595,1520,1765,1105
135,1730,1280,1355,1220,1595,1510,1780,1120
136,1730,1295,1370,1235,1610,1500,1795,1100
137,1745,1275,1360,1250,1625,1500,1785,1090
138,1760,1265,1350,1250,1640,1490,1775,1090
139,1775,1245,1340,1250,1630,1480,1790,1090
140,1765,1260,1330,1265,1620,1495,1805,1080
141,1765,1275,1320,1280,1610,1485,1820,1095
142,1780,1275,1335,1280,1610,1500,1810,1110
143,1795,1265,1335,1295,1625,1515,1800,1100
144,1810,1280,1325,1310,1625,1505,1815,1090
145,1800,1270,1340,1325,1640,1495,1805,1120
146,1790,1300,1355,1315,1655,1510,1820,1150
147,1780,1330,1370,1305,1670,1500,1810,1140
148,1770,1345,1385,1320,1685,1515,1825,1120
149,1760,1360,1400,1310,1700,1505,1840,1150
150,1775,1375,1390,1300,1690,1495,1855,1130
151,1790,1365,1405,1315,1680,1510,1870,1145
152,1790,1355,1420,1330,1670,1500,1860,1160
153,1790,1345,1435,1320,1685,1500,1875,1175
154,1790,1360,1425,1310,1675,1515,1890,1190
155,1805,1340,1425,1300,1665,1505,1905,1180
156,1795,1330,1415,1315,1680,1495,1920,1195
157,1785,1310,1405,1305,1695,1510,1910,1175
158,1800,1325,1420,1320,1685,1500,1900,1165
159,1790,1305,1435,1335,1700,1515,1915,1145
160,1790,1305,1450,1350,1690,1505,1930,1175
161,1820,1320,1465,1340,1705,1520,1920,1155
162,1810,1335,1480,1355,1695,1535,1935,1145
163,1800,1365,1495,1345,1685,1550,1950,1135
164,1800,1395,1485,1335,1675,1540,1940,1125
165,1800,1375,1500,1350,1655,1530,1930,1125
166,1815,1405,1490,1365,1670,1520,1945,1115
167,1830,1405,1480,1380,1660,1535,1935,1105
168,1820,1395,1495,1395,1675,1525,1950,1085
169,1810,1385,1495,1410,1665,1540,1950,1100
170,1825,1365,1485,1425,1655,1555,1940,1100
171,1825,1355,1500,1440,1645,1570,1930,1130
172,1840,1355,1490,1455,1660,1560,1920,1110
173,1830,1370,1480,1445,1675,1575,1935,1090
174,1820,1385,1495,1460,1690,1590,1950,1070
175,1835,1400,1485,1475,1705,1605,1965,1060
176,1850,1390,1475,1465,1720,1595,1980,1090
177,1865,1370,1465,1480,1720,1585,1995,1120
178,1855,1400,1480,1470,1710,1600,2010,1150
179,1845,1390,1495,1460,1725,1615,2025,1130
180,1835,1370,1510,1475,1715,1605,2015,1120
181,1850,1385,1525,1490,1730,1620,2030,1110
182,1850,1400,1515,1480,1745,1635,2045,1140
183,1840,1415,1530,1495,1735,1635,2035,1130
184,1855,1405,1545,1510,1735,1625,2050,1145
185,1845,1405,1560,1500,1750,1640,2065,1135
186,1835,1395,1550,1515,1740,1655,2055,1115
187,1850,1395,1565,1530,1730,1670,2070,1115
188,1840,1410,1580,1545,1720,1685,2060,1105
189,1855,1400,1595,1535,1735,1685,2075,1095
190,1870,1390,1585,1525,1750,1700,2065,1085
191,1860,1405,1600,1540,1765,1700,2080,1100
192,1850,1405,1590,1555,1755,1690,2080,1080
193,1880,1395,1605,1545,1745,1705,2095,1095
194,1870,1410,1620,1535,1760,1695,2110,1075
195,1860,1400,1610,1550,1775,1710,2100,1065
196,1875,1380,1600,1550,1790,1725,2115,1095
197,1890,1380,1615,1565,1805,1740,2130,1095
198,1905,1380,1630,1555,1795,1755,2120,1095
199,1895,1380,1620,1570,1810,1745,2110,1095
200,1875,1395,1610,1585,1825,1760,2125,1125
201,1890,1395,1625,1575,1840,1750,2140,1115
202,1880,1410,1640,1590,1830,1740,2130,1105
203,1870,1440,1655,1580,1820,1755,2145,1120
204,1900,1430,1670,1595,1810,1745,2135,1110
205,1890,1420,1685,1610,1825,1760,2150,1100
206,1890,1450,1700,1600,1815,1775,2165,1090
207,1890,1430,1715,1590,1830,1790,2155,1105
208,1905,1445,1705,1590,1845,1805,2145,1120
209,1920,1475,1720,1590,1835,1795,2160,1110
210,1910,1490,1735,1580,1825,1810,2175,1125
211,1900,1470,1750,1570,1840,1825,2165,1105
212,1915,1460,1740,1585,1855,1815,2155,1095
213,1905,1475,1730,1585,1870,1830,2155,1110
214,1920,1490,1730,1600,1870,1845,2145,1090
215,1935,1505,1720,1615,1885,1860,2160,1120
216,1950,1495,1735,1630,1875,1875,2150,1100
217,1980,1485,1750,1620,1890,1890,2165,1115
218,1995,1485,1765,1635,1905,1905,2180,1145
219,1985,1475,1780,1625,1920,1920,2195,1145
220,1975,1465,1795,1640,1910,1910,2210,1135
221,2005,1455,1810,1655,1925,1910,2225,1150
222,1995,1445,1800,1645,1940,1900,2215,1140
223,2010,1435,1815,1635,1930,1915,2230,1140
224,2000,1425,1815,1625,1945,1915,2245,1170
225,1980,1455,1805,1615,1945,1930,2235,1150
226,1970,1470,1795,1630,1960,1930,2225,1165
227,1960,1450,1785,1620,1950,1920,2215,1145
228,1950,1480,1775,1635,1965,1910,2215,1125
229,1965,1495,1790,1625,1980,1925,2230,1115
230,1955,1510,1780,1615,1970,1940,2245,1115
231,1945,1525,1795,1630,1950,1930,2260,1105
232,1960,1505,1785,1645,1940,1945,2250,1095
233,1950,1520,1775,1635,1955,1960,2240,1095
234,1965,1500,1765,1650,1945,1950,2255,1095
235,1980,1515,1755,1665,1935,1965,2245,1125
236,2010,1530,1745,1665,1935,1955,2235,1115
237,2010,1510,1735,1655,1965,1955,2250,1130
238,2025,1500,1750,1645,1955,1945,2265,1160
239,2040,1500,1750,1635,1945,1935,2265,1150
240,2020,1490,1765,1625,1960,1950,2280,1140
241,2010,1490,1755,1640,1950,1965,2295,1120
242,2040,1505,1770,1630,1965,1980,2310,1100
243,2030,1520,1760,1645,1980,1970,2310,1115
244,2045,1550,1775,1660,1995,1985,2325,1095
245,2060,1540,1765,1675,2010,2000,2315,1085
246,2050,1540,1755,1665,2025,1990,2305,1065
247,2065,1570,1745,1680,2015,1980,2295,1095
248,2080,1550,1745,1695,2030,1970,2310,1085
249,2095,1565,1735,1685,2020,1985,2325,1065
250,2110,1545,1750,1700,2010,2000,2315,1080
251,2125,1535,1765,1715,2025,2015,2315,1110
252,2140,1565,1765,1705,2015,2030,2330,1110
253,2130,1555,1780,1695,2030,2030,2345,1110
254,2130,1570,1795,1710,2030,2030,2360,1110
255,2145,1585,1810,1725,2045,2045,2375,1110
256,2160,1615,1800,1740,2060,2060,2365,1110
257,2175,1630,1815,1755,2050,2050,2380,1090
258,2175,1645,1830,1770,2040,2040,2370,1080
259,2165,1625,1830,1785,2030,2055,2385,1080
260,2180,1605,1820,1775,2045,2070,2400,1110
261,2170,1605,1835,1790,2060,2085,2415,1125
262,2170,1585,1850,1790,2050,2100,2405,1125
263,2170,1600,1865,1780,2065,2115,2420,1115
264,2200,1590,1880,1795,2055,2130,2435,1130
265,2200,1620,1895,1810,2045,2145,2425,1120
266,2215,1650,1885,1825,2060,2135,2425,1100
267,2215,1630,1900,1840,2075,2125,2440,1080
268,2230,1610,1915,1830,2065,2140,2440,1110
269,2220,1640,1905,1845,2055,2130,2430,1110
270,2235,1640,1920,1860,2070,2130,2420,1090
271,2225,1630,1935,1875,2085,2145,2410,1090
272,2205,1620,1925,1890,2100,2135,2410,1090
273,2220,1610,1940,1880,2115,2150,2400,1120
274,2235,1600,1955,1895,2130,2140,2415,1150
275,2250,1630,1970,1885,2145,2155,2430,1130
276,2240,1610,1960,1875,2160,2145,2420,1130
277,2255,1610,1950,1865,2175,2135,2410,1110
278,2245,1625,1965,1855,2190,2150,2425,1090
279,2260,1640,1965,1845,2180,2140,2415,1105
280,2275,1655,1980,1860,2170,2155,2430,1085
281,2265,1645,1995,1875,2185,2155,2420,1075
282,2255,1635,1985,1865,2175,2170,2410,1105
283,2270,1625,1975,1855,2190,2185,2425,1135
284,2285,1625,1965,1870,2180,2175,2415,1135
285,2275,1625,1965,1885,2170,2165,2430,1165
286,2290,1655,1965,1875,2160,2180,2420,1165
287,2280,1655,1955,1865,2175,2195,2435,1155
288,2295,1685,1970,1880,2165,2210,2450,1145
289,2310,1700,1985,1870,2180,2200,2440,1160
290,2325,1715,1975,1885,2170,2215,2430,1150
291,2315,1745,1965,1900,2160,2230,2420,1130
292,2305,1760,1980,1915,2150,2220,2435,1120
293,2320,1750,1995,1930,2140,2210,2425,1150
294,2335,1765,2010,1930,2130,2225,2440,1165
295,2335,1780,2025,1945,2145,2215,2455,1180
296,2325,1770,2025,1960,2160,2205,2445,1210
297,2325,1800,2040,1960,2175,2195,2460,1225
298,2340,1800,2055,1975,2165,2185,2450,1225
299,2340,1830,2045,1990,2180,2200,2465,1255
300,2370,1820,2045,1980,2195,2215,2480,1235
301,2385,1835,2035,1995,2195,2230,2495,1235
302,2385,1815,2050,1985,2195,2220,2485,1250
303,2400,1805,2040,2000,2210,2210,2500,1265
304,2390,1835,2040,2000,2225,2225,2515,1255
305,2380,1865,2055,2015,2215,2240,2530,1235
306,2395,1880,2070,2030,2230,2230,2545,1225
307,2410,1870,2060,2020,2245,2245,2560,1240
308,2400,1850,2050,2035,2235,2235,2550,1230
309,2430,1850,2065,2025,2250,2225,2565,1220
310,2430,1865,2080,2040,2240,2215,2580,1220
311,2430,1880,2080,2030,2255,2230,2570,1235
312,2460,1895,2095,2020,2270,2220,2585,1225
313,2450,1895,2085,2035,2260,2210,2600,1215
314,2480,1875,2100,2050,2250,2200,2590,1205
315,2470,1890,2115,2065,2265,2200,2605,1220
316,2460,1870,2105,2080,2280,2215,2595,1200
317,2460,1900,2095,2095,2295,2205,2610,1230
318,2475,1915,2110,2110,2285,2195,2625,1220
319,2490,1930,2125,2125,2275,2210,2615,1210
320,2480,1920,2115,2140,2290,2200,2630,1210
321,2470,1935,2105,2155,2305,2200,2645,1200
322,2500,1925,2120,2170,2320,2215,2660,1200
323,2515,1940,2135,2185,2335,2230,2675,1200
324,2530,1920,2150,2175,2325,2245,2665,1190
325,2545,1900,2165,2165,2340,2260,2665,1170
326,2560,1930,2180,2155,2330,2275,2655,1185
327,2550,1960,2170,2145,2320,2290,2645,1200
328,2565,1990,2185,2160,2310,2280,2660,1230
329,2580,1980,2175,2150,2325,2295,2650,1220
330,2595,2010,2190,2165,2315,2310,2665,1200
331,2610,2040,2180,2155,2330,2300,2680,1215
332,2590,2040,2195,2145,2345,2290,2695,1195
333,2570,2030,2185,2135,2335,2280,2685,1195
334,2560,2030,2175,2150,2350,2270,2675,1195
335,2575,2045,2190,2165,2340,2285,2665,1185
336,2590,2025,2205,2155,2355,2300,2680,1165
337,2580,2015,2220,2145,2370,2315,2695,1145
338,2560,2030,2235,2160,2360,2305,2710,1125
339,2575,2045,2250,2150,2375,2320,2725,1105
340,2590,2060,2240,2140,2390,2335,2715,1135
341,2580,2060,2255,2155,2390,2350,2730,1150
342,2570,2090,2270,2170,2390,2365,2720,1180
343,2560,2105,2260,2160,2405,2380,2735,1210
344,2550,2120,2275,2150,2420,2380,2725,1240
345,2565,2110,2290,2165,2435,2395,2725,1220
346,2555,2125,2280,2155,2450,2385,2715,1220
347,2545,2105,2295,2145,2440,2400,2715,1220
348,2560,2135,2310,2160,2430,2415,2705,1210
349,2575,2125,2325,2150,2445,2430,2695,1240
350,2555,2115,2340,2165,2460,2445,2685,1255
351,2570,2145,2355,2180,2450,2460,2700,1245
352,2585,2135,2370,2195,2440,2450,2690,1225
353,2600,2150,2360,2210,2455,2440,2680,1205
354,2590,2130,2375,2200,2470,2430,2695,1220
355,2605,2120,2390,2215,2460,2445,2685,1210
356,2620,2135,2380,2230,2450,2435,2675,1225
357,2610,2115,2395,2245,2465,2450,2665,1255
358,2625,2130,2385,2260,2455,2465,2680,1245
359,2640,2120,2375,2250,2445,2480,2695,1245
360,2655,2110,2390,2240,2425,2470,2685,1235
361,2670,2090,2405,2230,2440,2460,2700,1225
362,2670,2070,2395,2245,2430,2450,2715,1225
363,2685,2100,2385,2235,2445,2465,2730,1255
364,2675,2115,2375,2250,2460,2480,2745,1285
365,2665,2105,2390,2250,2475,2470,2760,1275
366,2655,2085,2380,2265,2490,2485,2750,1265
367,2670,2100,2395,2265,2480,2500,2765,1245
368,2685,2090,2410,2280,2495,2500,2755,1225
369,2675,2080,2400,2295,2510,2500,2745,1225
370,2690,2095,2415,2295,2525,2490,2760,1225
371,2705,2075,2405,2310,2555,2480,2775,1225
372,2720,2105,2420,2300,2570,2470,2790,1240
373,2700,2105,2435,2315,2560,2485,2780,1240
374,2715,2095,2450,2305,2575,2500,2795,1240
375,2730,2125,2465,2320,2590,2515,2795,1230
376,2745,2140,2480,2310,2605,2530,2785,1260
377,2760,2120,2495,2300,2620,2545,2775,1260
378,2760,2110,2510,2290,2635,2545,2765,1290
379,2740,2100,2500,2305,2650,2535,2780,1305
380,2730,2090,2515,2295,2640,2550,2795,1320
381,2745,2105,2505,2285,2655,2540,2785,1310
382,2775,2120,2495,2275,2645,2555,2800,1290
383,2765,2135,2510,2265,2660,2545,2790,1305
384,2755,2150,2525,2280,2650,2535,2780,1335
385,2745,2140,2525,2270,2640,2535,2770,1350
386,2760,2120,2540,2285,2655,2550,2760,1365
387,2775,2100,2555,2300,2645,2565,2775,1365
388,2790,2115,2545,2290,2635,2555,2765,1345
389,2780,2105,2545,2280,2625,2570,2780,1360
390,2770,2120,2535,2270,2640,2560,2795,1390
391,2785,2135,2525,2285,2655,2550,2785,1420
392,2775,2125,2525,2300,2645,2540,2800,1420
393,2775,2115,2540,2315,2660,2555,2790,1450
394,2790,2115,2530,2330,2660,2570,2780,1430
395,2805,2105,2530,2345,2650,2585,2795,1420
396,2795,2085,2520,2360,2665,2575,2785,1410
397,2810,2115,2510,2375,2655,2565,2775,1410
398,2800,2095,2500,2390,2670,2555,2765,1400
399,2815,2075,2515,2380,2685,2555,2780,1380
400,2830,2065,2530,2370,2700,2545,2795,1395
401,2845,2080,2545,2360,2715,2560,2785,1375
402,2860,2070,2560,2360,2730,2550,2800,1355
403,2875,2100,2575,2350,2720,2540,2790,1345
404,2890,2100,2575,2340,2720,2530,2805,1335
405,2905,2090,2565,2355,2710,2545,2795,1325
406,2920,2105,2580,2370,2710,2560,2785,1355
407,2910,2135,2570,2360,2710,2575,2800,1385
408,2900,2150,2585,2375,2725,2590,2790,1365
409,2915,2150,2575,2390,2715,2605,2805,1365
410,2905,2165,2590,2405,2715,2595,2795,1355
411,2920,2180,2605,2395,2705,2585,2810,1335
412,2910,2195,2620,2385,2720,2600,2800,1315
413,2910,2175,2635,2400,2710,2615,2815,1295
414,2900,2190,2625,2390,2710,2605,2830,1275
415,2880,2190,2640,2380,2725,2595,2845,1265
416,2895,2205,2630,2370,2715,2610,2860,1255
417,2910,2235,2620,2385,2730,2625,2850,1270
418,2925,2250,2610,2375,2730,2640,2840,1270
419,2940,2240,2625,2365,2720,2630,2830,1285
420,2930,2255,2615,2365,2735,2620,2830,1275
421,2910,2285,2605,2380,2750,2635,2820,1290
422,2925,2300,2620,2395,2765,2625,2835,1270
423,2940,2315,2610,2410,2780,2615,2825,1270
424,2930,2330,2625,2400,2770,2630,2840,1250
425,2930,2360,2640,2390,2785,2620,2855,1265
426,2930,2375,2630,2380,2800,2610,2870,1245
427,2920,2390,2620,2370,2815,2600,2885,1235
428,2910,2405,2635,2370,2805,2590,2875,1225
429,2890,2385,2625,2360,2795,2605,2865,1255
430,2905,2385,2615,2350,2785,2595,2880,1285
431,2895,2385,2630,2340,2775,2610,2895,1300
432,2895,2365,2620,2355,2790,2625,2910,1290
433,2875,2395,2635,2370,2790,2640,2925,1290
434,2890,2410,2625,2385,2780,2655,2915,1320
435,2880,2425,2615,2375,2795,2645,2930,1335
436,2860,2415,2605,2365,2810,2635,2920,1325
437,2875,2395,2595,2355,2800,2650,2935,1340
438,2855,2385,2610,2345,2790,2665,2950,1320
439,2870,2385,2625,2335,2780,2655,2940,1350
440,2860,2400,2615,2325,2770,2645,2955,1380
441,2875,2415,2615,2340,2785,2660,2970,1395
442,2890,2430,2630,2330,2800,2650,2985,1385
443,2905,2445,2645,2345,2815,2665,2975,1385
444,2895,2425,2660,2335,2830,2680,2990,1415
445,2885,2415,2650,2350,2845,2695,3005,1430
446,2875,2415,2640,2365,2860,2710,3005,1410
447,2905,2445,2630,2355,2875,2725,2995,1390
448,2895,2435,2645,2370,2890,2725,3010,1390
449,2885,2425,2635,2385,2880,2715,3000,1370
450,2900,2440,2625,2375,2870,2705,3000,1350
451,2915,2430,2615,2390,2885,2695,3015,1350
452,2930,2420,2630,2380,2900,2710,3005,1380
453,2945,2420,2630,2380,2915,2700,2995,1410
454,2960,2420,2620,2370,2905,2690,3010,1390
455,2975,2410,2635,2370,2920,2705,3025,1380
456,2990,2400,2650,2385,2935,2695,3040,1360
457,2990,2380,2665,2375,2925,2685,3030,1375
458,3005,2370,2680,2375,2940,2700,3030,1390
459,3020,2385,2680,2375,2955,2690,3020,1405
460,3010,2400,2695,2365,2970,2705,3035,1395
461,3000,2415,2710,2355,2970,2695,3050,1425
462,2990,2405,2725,2345,2960,2685,3065,1455
463,3005,2385,2740,2360,2975,2700,3065,1435
464,2985,2375,2755,2350,2990,2715,3080,1415
465,2975,2405,2755,2350,2980,2730,3070,1430
466,2990,2435,2745,2340,2970,2720,3085,1410
467,2980,2465,2760,2330,2985,2710,3075,1400
468,2970,2480,2775,2330,2975,2700,3065,1390
469,2960,2510,2765,2320,2990,2690,3080,1405
470,2975,2490,2755,2335,3005,2680,3095,1395
471,2990,2480,2745,2350,2995,2670,3110,1385
472,2990,2480,2735,2365,2985,2685,3125,1400
473,3005,2495,2750,2355,2975,2685,3140,1415
474,2995,2510,2765,2370,2990,2700,3155,1415
475,3010,2525,2780,2385,3005,2715,3145,1445
476,3000,2525,2795,2400,2995,2730,3135,1425
477,3015,2555,2810,2415,3010,2745,3150,1425
478,3030,2535,2825,2405,3025,2735,3165,1425
479,3020,2565,2815,2395,3015,2750,3180,1455
480,3035,2555,2805,2410,3030,2750,3195,1445
481,3025,2545,2820,2400,3045,2765,3210,1435
482,3015,2525,2835,2415,3060,2755,3200,1425
483,3045,2515,2825,2430,3075,2770,3190,1425
484,3060,2530,2815,2430,3090,2785,3190,1455
485,3060,2530,2805,2445,3105,2775,3205,1435
486,3060,2510,2820,2435,3095,2790,3220,1425
487,3050,2490,2810,2450,3085,2780,3210,1415
488,3040,2470,2810,2465,3075,2795,3200,1430
489,3030,2460,2825,2455,3065,2810,3215,1430
490,3030,2450,2815,2445,3055,2825,3230,1445
491,3030,2480,2805,2445,3070,2840,3220,1475
492,3045,2480,2805,2435,3060,2855,3235,1505
493,3060,2510,2820,2425,3075,2845,3250,1505
494,3075,2540,2810,2440,3065,2860,3240,1535
495,3090,2540,2800,2430,3080,2875,3230,1535
496,3105,2540,2790,2420,3110,2890,3230,1550
497,3095,2530,2805,2435,3110,2880,3245,1565
498,3110,2545,2795,2425,3100,2870,3260,1580
499,3125,2545,2785,2425,3115,2885,3275,1570
500,3140,2560,2800,2440,3130,2885,3290,1585
501,3140,2540,2790,2455,3145,2900,3290,1565
502,3130,2520,2805,2470,3125,2890,3280,1545
503,3120,2535,2795,2470,3140,2905,3295,1525
504,3110,2550,2785,2460,3130,2920,3285,1505
505,3100,2565,2775,2475,3145,2935,3300,1520
506,3090,2555,2775,2490,3160,2950,3315,1500
507,3105,2545,2790,2480,3150,2965,3330,1530
508,3120,2535,2805,2495,3140,2980,3320,1510
509,3120,2550,2820,2510,3130,2995,3335,1500
510,3110,2550,2810,2525,3120,3010,3350,1515
511,3110,2540,2825,2515,3150,3000,3340,1530
512,3100,2570,2815,2530,3150,2990,3355,1520
513,3090,2560,2805,2530,3165,3005,3370,1535
514,3105,2575,2795,2520,3180,3020,3370,1525
515,3095,2575,2785,2510,3195,3010,3360,1555
516,3110,2605,2800,2510,3210,3000,3375,1545
517,3125,2620,2790,2525,3225,2990,3390,1545
518,3155,2610,2805,2515,3215,3005,3380,1525
519,3170,2610,2820,2530,3230,2995,3380,1540
520,3185,2600,2835,2545,3220,2985,3380,1540
521,3200,2600,2850,2560,3235,2975,3395,1540
522,3215,2590,2865,2550,3235,2990,3395,1530
523,3205,2590,2880,2565,3225,2990,3410,1545
524,3195,2580,2895,2555,3215,3005,3410,1535
525,3210,2580,2910,2570,3230,3020,3400,1550
526,3225,2595,2925,2585,3220,3035,3415,1530
527,3215,2575,2915,2600,3210,3025,3405,1530
528,3205,2590,2905,2615,3225,3015,3395,1520
