,bb,random,hi_lo,ko,zen,ten,halves,uston
0,1.03,0.98,1.015,1.015,1.015,1.015,1.015,1.03
1,1.045,0.97,1.005,1.005,1.005,1.005,1.015,1.02
2,1.06,0.96,1.02,0.995,1.02,1.02,1.03,1.035
3,1.075,0.94,1.035,0.995,1.035,1.035,1.03,1.05
4,1.065,0.93,1.025,0.985,1.025,1.05,1.02,1.03
5,1.08,0.92,1.015,0.975,1.04,1.04,1.035,1.01
6,1.06,0.935,1.03,0.99,1.055,1.03,1.05,1.04
7,1.09,0.925,1.045,1.005,1.045,1.045,1.04,1.03
8,1.09,0.955,1.06,0.995,1.06,1.035,1.055,1.06
9,1.105,0.945,1.05,1.01,1.075,1.025,1.07,1.09
10,1.095,0.945,1.04,1.025,1.09,1.04,1.07,1.08
11,1.085,0.96,1.03,1.025,1.08,1.055,1.06,1.095
12,1.085,0.975,1.03,1.04,1.07,1.045,1.075,1.11
13,1.075,0.965,1.02,1.055,1.085,1.06,1.09,1.125
14,1.09,0.995,1.01,1.045,1.1,1.05,1.105,1.14
15,1.08,1.01,1.0,1.06,1.09,1.065,1.12,1.14
16,1.06,1.0,1.015,1.075,1.09,1.055,1.135,1.13
17,1.075,0.99,1.03,1.09,1.105,1.07,1.125,1.16
18,1.065,1.005,1.03,1.08,1.12,1.06,1.115,1.14
19,1.095,0.995,1.045,1.07,1.135,1.05,1.13,1.13
20,1.085,0.995,1.06,1.06,1.125,1.065,1.145,1.12
21,1.075,1.01,1.075,1.06,1.14,1.08,1.135,1.1
22,1.075,1.0,1.09,1.075,1.13,1.095,1.135,1.13
23,1.09,1.0,1.105,1.09,1.12,1.085,1.125,1.12
24,1.105,1.015,1.12,1.105,1.135,1.075,1.115,1.11
25,1.135,0.995,1.135,1.12,1.15,1.09,1.13,1.11
26,1.15,0.995,1.15,1.12,1.14,1.08,1.12,1.09
27,1.165,0.975,1.165,1.135,1.13,1.095,1.135,1.07
28,1.165,0.965,1.155,1.125,1.145,1.11,1.15,1.06
29,1.155,0.995,1.145,1.14,1.125,1.1,1.14,1.06
30,1.17,0.975,1.16,1.14,1.115,1.09,1.155,1.09
31,1.16,0.99,1.175,1.13,1.115,1.08,1.17,1.07
32,1.175,1.02,1.19,1.145,1.105,1.07,1.16,1.07
33,1.175,1.035,1.18,1.16,1.12,1.085,1.175,1.05
34,1.19,1.035,1.17,1.175,1.135,1.1,1.165,1.05
