,bb,random,hi_lo,ko,zen,ten,halves,uston
0,990,990,990,990,990,990,1015,990
1,970,1005,1005,1005,980,980,1005,990
2,985,985,995,1020,995,995,995,980
3,1000,975,985,1010,1010,1010,1010,995
4,1015,975,1000,1000,1025,1025,1010,1010
5,1030,955,990,990,1015,1015,1000,1000
6,1045,945,980,1005,1030,1030,1015,990
7,1035,945,995,1020,1020,1045,1030,990
8,1050,960,995,1035,1035,1035,1020,980
9,1065,940,1010,1035,1050,1050,1020,980
10,1080,920,1025,1050,1065,1065,1035,960
11,1070,920,1040,1040,1080,1065,1025,960
12,1070,950,1055,1055,1070,1055,1015,950
13,1060,950,1045,1070,1085,1070,1005,940
14,1075,930,1035,1060,1100,1085,1020,970
15,1090,945,1050,1050,1090,1075,1035,1000
16,1090,935,1050,1065,1105,1090,1050,990
17,1105,925,1040,1055,1105,1105,1065,990
18,1105,915,1055,1070,1095,1120,1055,980
19,1085,905,1070,1085,1085,1110,1070,1010
20,1075,920,1060,1100,1075,1100,1085,1040
21,1055,910,1060,1115,1065,1115,1100,1040
22,1045,910,1050,1130,1055,1130,1115,1030
23,1035,925,1065,1145,1045,1130,1105,1010
24,1025,925,1055,1135,1035,1120,1095,1025
25,1040,955,1070,1150,1050,1135,1085,1040
26,1055,945,1085,1140,1040,1150,1085,1055
27,1070,925,1100,1155,1030,1140,1075,1035
28,1070,925,1090,1170,1045,1155,1090,1065
29,1070,915,1105,1170,1060,1155,1080,1080
30,1050,905,1120,1185,1050,1170,1070,1070
31,1050,905,1110,1200,1065,1160,1070,1085
32,1080,885,1125,1190,1055,1150,1085,1100
33,1060,865,1140,1205,1045,1140,1100,1090
34,1050,845,1155,1195,1035,1130,1090,1070
35,1040,875,1155,1185,1025,1145,1080,1100
36,1055,865,1170,1185,1040,1135,1070,1080
37,1045,865,1185,1175,1040,1150,1085,1110
38,1045,865,1175,1190,1055,1140,1075,1090
39,1035,845,1190,1190,1045,1155,1090,1070
40,1025,825,1180,1205,1060,1170,1080,1085
41,1040,855,1195,1195,1050,1160,1095,1115
42,1030,870,1210,1210,1065,1150,1095,1130
43,1030,850,1200,1225,1080,1140,1085,1160
44,1045,840,1190,1240,1095,1130,1085,1160
45,1075,855,1205,1230,1110,1145,1100,1140
46,1090,870,1220,1245,1125,1135,1100,1120
47,1105,900,1235,1260,1155,1125,1115,1150
48,1105,900,1235,1250,1170,1140,1130,1165
49,1120,890,1225,1240,1185,1130,1120,1155
50,1135,880,1240,1230,1200,1145,1135,1155
51,1150,860,1230,1245,1190,1145,1150,1155
52,1140,840,1220,1260,1180,1135,1165,1155
53,1155,855,1235,1250,1195,1150,1180,1170
54,1145,845,1225,1265,1210,1165,1195,1200
55,1160,875,1215,1280,1225,1180,1185,1230
56,1175,890,1230,1270,1240,1170,1185,1220
57,1190,880,1245,1260,1255,1160,1200,1250
58,1205,860,1260,1275,1270,1150,1190,1230
59,1195,875,1275,1265,1285,1140,1205,1210
60,1185,865,1290,1280,1300,1155,1220,1200
61,1200,880,1280,1295,1300,1155,1210,1215
62,1215,860,1295,1310,1315,1170,1200,1245
63,1195,875,1285,1325,1305,1160,1215,1260
64,1210,855,1275,1315,1320,1175,1205,1260
65,1225,835,1290,1305,1310,1175,1195,1240
66,1215,850,1305,1320,1325,1190,1185,1255
67,1245,830,1295,1335,1315,1205,1175,1270
68,1260,830,1285,1350,1295,1220,1165,1300
69,1275,860,1300,1365,1285,1210,1165,1300
70,1305,850,1315,1380,1300,1200,1155,1315
71,1305,865,1315,1395,1315,1190,1170,1305
72,1320,845,1305,1410,1305,1205,1185,1320
73,1300,835,1320,1400,1295,1220,1200,1320
74,1315,815,1335,1415,1310,1220,1190,1320
75,1330,805,1350,1415,1325,1220,1190,1320
76,1345,835,1365,1430,1315,1210,1205,1310
77,1335,865,1380,1420,1305,1225,1220,1340
78,1325,855,1395,1410,1320,1215,1210,1330
79,1340,845,1410,1400,1310,1205,1200,1345
80,1320,825,1425,1415,1300,1195,1190,1360
81,1335,815,1440,1430,1290,1185,1180,1390
82,1350,795,1455,1445,1280,1175,1195,1390
83,1365,825,1470,1460,1270,1175,1185,1370
84,1380,815,1460,1450,1285,1175,1175,1360
85,1370,830,1460,1465,1275,1165,1165,1350
86,1385,830,1450,1480,1275,1155,1180,1350
87,1375,820,1440,1470,1290,1170,1195,1365
88,1390,850,1455,1460,1305,1160,1210,1355
89,1380,840,1470,1475,1320,1175,1200,1355
90,1395,830,1485,1490,1310,1190,1215,1345
91,1395,820,1475,1505,1300,1205,1230,1375
92,1385,800,1490,1495,1315,1205,1245,1390
93,1400,815,1480,1485,1330,1220,1235,1420
94,1390,845,1470,1500,1320,1235,1225,1400
95,1405,860,1460,1490,1310,1235,1215,1430
96,1395,850,1450,1490,1325,1250,1230,1460
97,1385,850,1440,1505,1325,1265,1245,1440
98,1375,880,1440,1495,1315,1255,1245,1455
99,1365,910,1455,1485,1330,1270,1260,1435
100,1355,900,1445,1475,1320,1260,1275,1465
101,1345,880,1460,1490,1335,1250,1265,1445
102,1345,860,1450,1505,1325,1265,1255,1435
103,1360,890,1440,1520,1315,1280,1270,1465
104,1375,870,1430,1535,1330,1295,1285,1465
105,1365,860,1445,1550,1310,1310,1300,1465
106,1380,890,1435,1565,1300,1325,1300,1455
107,1395,920,1450,1580,1290,1340,1290,1435
108,1410,950,1465,1580,1280,1355,1280,1450
109,1425,965,1455,1595,1295,1370,1270,1440
110,1415,995,1470,1585,1310,1370,1260,1420
111,1405,1025,1460,1575,1325,1370,1275,1400
112,1385,1040,1475,1575,1315,1385,1265,1390
113,1400,1020,1490,1590,1330,1385,1265,1380
114,1415,1010,1480,1605,1320,1375,1280,1370
115,1430,1025,1495,1620,1310,1390,1295,1400
116,1420,1015,1510,1635,1325,1405,1295,1380
117,1420,1045,1525,1635,1340,1420,1310,1370
118,1435,1035,1540,1625,1330,1435,1325,1360
119,1450,1050,1555,1640,1320,1450,1325,1375
120,1465,1030,1570,1655,1335,1440,1340,1365
121,1455,1020,1560,1670,1325,1430,1355,1395
122,1470,1010,1575,1685,1340,1445,1370,1375
123,1485,1025,1565,1700,1330,1460,1360,1365
124,1475,1005,1555,1715,1320,1450,1350,1395
125,1490,985,1545,1705,1335,1465,1365,1375
126,1480,975,1560,1720,1350,1480,1355,1405
127,1470,1005,1575,1710,1365,1495,1345,1420
128,1485,1035,1565,1700,1355,1510,1360,1435
129,1475,1015,1555,1690,1345,1525,1375,1465
130,1490,1005,1570,1705,1335,1540,1390,1465
131,1505,1035,1560,1695,1325,1555,1380,1495
132,1520,1025,1575,1710,1325,1545,1380,1510
133,1535,1040,1565,1725,1315,1560,1370,1510
134,1525,1030,1565,1715,1330,1575,1385,1525
135,1540,1045,1555,1715,1345,1565,1375,1555
136,1555,1060,1545,1730,1345,1555,1365,1570
137,1570,1075,1535,1720,1335,1545,1355,1550
138,1600,1075,1525,1735,1325,1535,1370,1550
139,1600,1065,1540,1725,1340,1525,1370,1565
140,1615,1055,1530,1715,1330,1515,1360,1555
141,1630,1035,1520,1730,1320,1530,1375,1555
142,1630,1035,1520,1745,1310,1545,1365,1545
143,1645,1035,1510,1735,1325,1535,1355,1525
144,1660,1035,1525,1750,1315,1525,1370,1540
145,1650,1025,1540,1740,1330,1515,1360,1570
146,1665,1025,1555,1755,1320,1515,1375,1550
147,1680,1015,1570,1770,1335,1530,1375,1550
148,1670,1005,1585,1785,1350,1520,1365,1550
149,1685,995,1585,1775,1365,1510,1380,1540
150,1675,985,1575,1790,1365,1525,1370,1555
151,1705,975,1565,1805,1380,1515,1385,1555
152,1695,965,1580,1805,1395,1530,1375,1545
153,1710,980,1595,1795,1410,1520,1365,1560
154,1690,995,1595,1810,1425,1510,1365,1560
155,1705,995,1585,1825,1415,1525,1355,1590
156,1735,985,1600,1815,1405,1525,1370,1620
157,1750,1000,1590,1805,1420,1515,1360,1620
158,1740,990,1590,1820,1435,1530,1375,1620
159,1720,980,1605,1835,1425,1545,1390,1620
160,1700,995,1620,1850,1415,1535,1405,1635
161,1690,1010,1610,1865,1430,1525,1405,1665
162,1680,1000,1625,1855,1445,1540,1395,1680
163,1680,1000,1640,1845,1460,1555,1385,1660
164,1670,1030,1655,1860,1475,1570,1400,1660
165,1685,1030,1670,1850,1490,1570,1390,1675
166,1685,1020,1685,1840,1480,1585,1405,1655
167,1675,1000,1675,1855,1495,1575,1420,1685
168,1690,990,1665,1855,1485,1575,1435,1665
169,1705,1020,1655,1845,1500,1590,1425,1665
170,1695,1020,1670,1860,1490,1605,1415,1645
171,1710,1035,1685,1875,1480,1620,1405,1675
172,1710,1035,1700,1865,1470,1635,1395,1665
173,1725,1065,1690,1855,1460,1625,1385,1655
174,1725,1095,1705,1870,1475,1640,1375,1670
175,1740,1085,1720,1860,1490,1655,1390,1685
176,1730,1085,1735,1850,1480,1645,1380,1685
177,1720,1115,1725,1865,1470,1660,1395,1700
178,1710,1105,1725,1865,1460,1675,1385,1680
179,1725,1105,1740,1855,1475,1665,1400,1710
180,1725,1105,1755,1855,1465,1680,1415,1700
181,1740,1135,1770,1870,1480,1695,1430,1680
182,1730,1115,1785,1885,1470,1695,1430,1670
183,1720,1130,1775,1875,1485,1710,1420,1650
184,1710,1130,1790,1890,1500,1700,1410,1640
185,1725,1110,1780,1905,1515,1715,1400,1630
186,1715,1125,1795,1920,1530,1730,1390,1630
187,1705,1115,1785,1935,1545,1745,1405,1610
188,1720,1105,1800,1950,1535,1760,1420,1590
189,1735,1120,1790,1965,1550,1775,1410,1580
190,1750,1110,1780,1980,1540,1765,1400,1595
191,1740,1140,1770,1970,1530,1755,1415,1585
192,1755,1170,1785,1960,1520,1770,1405,1585
193,1745,1170,1775,1950,1535,1785,1420,1585
194,1745,1170,1765,1965,1550,1800,1410,1615
195,1760,1170,1755,1980,1540,1790,1425,1645
196,1750,1160,1770,1970,1530,1805,1440,1660
197,1765,1175,1785,1985,1545,1795,1455,1690
198,1765,1165,1800,2000,1535,1810,1470,1690
199,1780,1195,1790,2015,1550,1800,1485,1690
200,1795,1185,1805,2005,1565,1815,1485,1705
201,1785,1200,1820,2020,1555,1830,1475,1735
202,1800,1180,1810,2010,1570,1845,1490,1765
203,1800,1195,1800,2025,1585,1835,1480,1780
204,1815,1210,1790,2040,1575,1835,1495,1795
205,1815,1240,1805,2030,1590,1825,1510,1785
206,1805,1270,1795,2045,1605,1840,1510,1775
207,1820,1300,1795,2035,1605,1840,1500,1755
208,1820,1330,1785,2025,1595,1830,1515,1770
209,1810,1330,1775,2040,1610,1820,1530,1760
210,1825,1345,1765,2055,1625,1835,1545,1775
211,1815,1325,1780,2070,1640,1825,1560,1790
212,1830,1325,1770,2085,1630,1840,1550,1780
213,1820,1340,1760,2100,1645,1855,1565,1770
214,1835,1340,1750,2090,1635,1870,1555,1760
215,1825,1355,1765,2105,1625,1860,1570,1790
216,1840,1355,1765,2120,1640,1860,1585,1805
217,1840,1385,1780,2135,1630,1875,1600,1785
218,1830,1375,1770,2150,1620,1890,1590,1800
219,1830,1355,1760,2140,1635,1880,1605,1815
220,1830,1335,1775,2130,1625,1895,1620,1805
221,1820,1335,1790,2145,1640,1910,1610,1785
222,1835,1325,1805,2160,1630,1900,1610,1800
223,1850,1305,1820,2175,1620,1915,1600,1830
224,1840,1320,1835,2165,1635,1905,1600,1810
225,1855,1335,1850,2155,1625,1920,1615,1825
226,1870,1325,1865,2155,1615,1935,1630,1825
227,1885,1325,1855,2170,1615,1935,1645,1840
228,1875,1315,1845,2160,1630,1935,1635,1855
229,1865,1330,1860,2175,1620,1950,1650,1885
230,1845,1320,1875,2190,1635,1965,1665,1875
231,1860,1320,1865,2180,1650,1955,1655,1865
232,1850,1320,1880,2195,1665,1970,1645,1880
233,1865,1310,1870,2185,1680,1985,1635,1895
234,1880,1310,1860,2185,1670,2000,1625,1910
235,1895,1325,1850,2200,1685,2000,1640,1925
236,1910,1315,1865,2190,1675,2015,1630,1915
237,1910,1295,1880,2180,1665,2015,1645,1930
238,1925,1325,1880,2180,1680,2015,1645,1910
239,1940,1340,1895,2195,1695,2005,1660,1940
240,1930,1330,1885,2210,1685,1995,1675,1955
241,1945,1310,1900,2210,1675,1985,1675,1935
242,1935,1290,1915,2225,1690,2000,1690,1915
243,1950,1305,1930,2240,1680,2015,1705,1905
244,1965,1305,1930,2255,1670,2030,1720,1895
245,1980,1295,1920,2270,1685,2030,1735,1875
246,1995,1295,1935,2285,1675,2045,1725,1875
247,2010,1325,1935,2275,1665,2035,1740,1905
248,2025,1340,1925,2290,1655,2050,1755,1895
249,2005,1355,1940,2305,1655,2040,1745,1925
250,1995,1385,1955,2320,1670,2030,1760,1940
251,1995,1415,1970,2335,1685,2020,1750,1970
252,1995,1395,1960,2335,1700,2035,1765,1960
253,1985,1410,1950,2325,1715,2050,1780,1940
254,2000,1400,1940,2325,1730,2050,1770,1955
255,2015,1380,1955,2340,1720,2065,1760,1985
256,2030,1395,1970,2330,1710,2080,1750,1965
257,2045,1375,1960,2320,1700,2070,1765,1965
258,2060,1365,1960,2310,1690,2085,1755,1995
259,2075,1355,1950,2325,1690,2100,1745,1975
260,2065,1370,1940,2340,1690,2090,1760,1955
261,2055,1350,1955,2355,1705,2080,1750,1945
262,2045,1340,1970,2370,1705,2095,1765,1935
263,2035,1340,1960,2360,1720,2110,1755,1915
264,2050,1355,1975,2375,1735,2125,1745,1895
265,2065,1385,1990,2390,1725,2115,1760,1875
266,2080,1400,1980,2405,1740,2130,1750,1865
267,2095,1400,1995,2395,1730,2120,1765,1880
268,2110,1430,2010,2395,1745,2110,1755,1895
269,2100,1410,2000,2410,1760,2100,1770,1875
270,2090,1440,1990,2425,1775,2115,1760,1905
271,2105,1430,2005,2440,1765,2130,1775,1895
272,2095,1445,2005,2430,1780,2145,1790,1925
273,2085,1460,2020,2445,1770,2145,1805,1915
274,2115,1490,2010,2460,1785,2135,1820,1945
275,2130,1505,2025,2475,1800,2125,1810,1945
276,2160,1495,2015,2465,1790,2115,1800,1935
277,2175,1485,2030,2480,1805,2130,1790,1965
278,2165,1475,2020,2495,1795,2120,1805,1965
279,2180,1505,2010,2510,1810,2110,1795,1955
280,2170,1495,2000,2525,1825,2100,1810,1945
281,2160,1495,2000,2515,1840,2100,1800,1935
282,2150,1510,2015,2505,1855,2115,1790,1965
283,2150,1500,2005,2495,1870,2130,1805,1995
284,2165,1515,1995,2485,1870,2145,1795,1985
285,2180,1545,1985,2475,1860,2135,1810,1975
286,2195,1575,2000,2465,1875,2125,1825,1965
287,2185,1565,2015,2455,1865,2115,1815,1980
288,2200,1595,2030,2445,1880,2115,1805,1960
289,2215,1585,2020,2460,1895,2130,1820,1975
290,2195,1565,2010,2475,1885,2145,1810,1990
291,2185,1580,2025,2465,1900,2160,1800,1990
292,2200,1570,2015,2480,1890,2175,1815,1970
293,2190,1585,2030,2495,1905,2175,1830,1985
294,2180,1575,2045,2485,1920,2165,1820,2000
295,2195,1590,2035,2485,1935,2155,1810,2030
296,2210,1570,2050,2475,1925,2170,1800,2030
