,bb,random,hi_lo,ko,zen,ten,halves,uston
0,1.015,1.0,0.99,0.99,1.015,0.99,1.015,1.015
1,1.005,1.015,0.98,0.98,1.005,0.98,1.03,0.995
2,0.995,1.03,0.995,0.995,1.02,0.995,1.02,0.985
3,0.995,1.03,0.985,1.01,1.035,1.01,1.035,0.975
4,0.985,1.02,0.985,1.0,1.05,1.025,1.025,0.975
5,1.0,1.035,1.0,1.015,1.04,1.04,1.015,0.99
6,1.015,1.015,1.0,1.03,1.055,1.03,1.03,1.005
7,1.015,1.03,0.99,1.02,1.07,1.045,1.045,1.035
8,1.03,1.06,0.98,1.01,1.085,1.06,1.06,1.05
9,1.045,1.04,0.995,1.025,1.1,1.075,1.05,1.03
10,1.025,1.07,0.985,1.025,1.1,1.065,1.065,1.045
11,1.04,1.085,0.975,1.04,1.09,1.055,1.08,1.035
12,1.055,1.1,0.99,1.04,1.105,1.07,1.07,1.05
13,1.07,1.1,1.005,1.055,1.095,1.06,1.085,1.05
14,1.085,1.08,1.02,1.045,1.11,1.05,1.1,1.08
15,1.1,1.095,1.035,1.06,1.1,1.065,1.115,1.06
16,1.08,1.085,1.05,1.05,1.115,1.08,1.13,1.09
17,1.095,1.115,1.04,1.04,1.13,1.07,1.145,1.09
18,1.085,1.145,1.055,1.055,1.145,1.085,1.135,1.105
19,1.075,1.135,1.07,1.045,1.16,1.075,1.15,1.12
20,1.055,1.15,1.085,1.045,1.16,1.09,1.165,1.12
21,1.07,1.15,1.1,1.035,1.175,1.105,1.155,1.135
22,1.1,1.165,1.115,1.05,1.165,1.12,1.145,1.115
23,1.115,1.18,1.13,1.04,1.18,1.135,1.135,1.13
24,1.105,1.16,1.145,1.03,1.195,1.125,1.15,1.11
25,1.12,1.15,1.135,1.03,1.185,1.14,1.165,1.09
26,1.135,1.18,1.125,1.045,1.185,1.155,1.155,1.09
27,1.15,1.16,1.14,1.06,1.2,1.17,1.17,1.09
28,1.14,1.15,1.14,1.06,1.215,1.16,1.185,1.105
29,1.13,1.15,1.13,1.05,1.205,1.15,1.175,1.085
30,1.145,1.15,1.12,1.04,1.22,1.165,1.19,1.1
31,1.135,1.165,1.135,1.03,1.235,1.18,1.18,1.08
32,1.15,1.145,1.15,1.02,1.225,1.195,1.195,1.06
33,1.165,1.16,1.14,1.01,1.24,1.185,1.21,1.05
34,1.165,1.16,1.155,1.0,1.255,1.175,1.225,1.03
35,1.18,1.16,1.17,0.99,1.27,1.165,1.24,1.02
36,1.195,1.19,1.16,0.98,1.285,1.165,1.255,1.01
37,1.21,1.18,1.15,0.995,1.3,1.155,1.255,1.025
38,1.225,1.21,1.165,1.01,1.315,1.145,1.27,1.025
39,1.24,1.24,1.155,1.0,1.33,1.16,1.285,1.015
40,1.255,1.255,1.17,1.015,1.32,1.175,1.3,1.03
41,1.27,1.255,1.16,1.03,1.31,1.19,1.29,1.01
42,1.25,1.245,1.175,1.03,1.325,1.205,1.29,1.04
43,1.265,1.225,1.165,1.045,1.305,1.22,1.29,1.04
44,1.245,1.215,1.155,1.06,1.32,1.22,1.305,1.07
45,1.26,1.23,1.17,1.075,1.335,1.22,1.32,1.07
46,1.25,1.21,1.16,1.09,1.35,1.235,1.335,1.07
47,1.265,1.2,1.15,1.105,1.34,1.225,1.325,1.07
48,1.28,1.19,1.165,1.12,1.33,1.24,1.315,1.05
49,1.27,1.18,1.18,1.135,1.32,1.255,1.305,1.05
50,1.285,1.195,1.195,1.15,1.335,1.255,1.32,1.065
51,1.3,1.21,1.195,1.15,1.35,1.27,1.31,1.055
52,1.29,1.225,1.21,1.165,1.365,1.26,1.325,1.07
53,1.28,1.205,1.225,1.155,1.38,1.26,1.34,1.085
54,1.31,1.22,1.215,1.145,1.37,1.275,1.355,1.075
55,1.34,1.235,1.23,1.16,1.385,1.265,1.345,1.055
56,1.33,1.25,1.22,1.175,1.4,1.255,1.36,1.045
57,1.32,1.25,1.235,1.165,1.4,1.245,1.375,1.035
58,1.3,1.265,1.225,1.18,1.39,1.235,1.365,1.025
59,1.315,1.255,1.24,1.17,1.38,1.225,1.365,1.04
60,1.33,1.255,1.23,1.185,1.395,1.215,1.38,1.03
61,1.32,1.245,1.245,1.2,1.395,1.23,1.38,1.03
62,1.3,1.275,1.26,1.19,1.385,1.22,1.395,1.01
63,1.315,1.255,1.275,1.205,1.4,1.235,1.395,0.99
64,1.33,1.245,1.265,1.195,1.415,1.25,1.385,0.98
65,1.345,1.225,1.265,1.185,1.43,1.24,1.4,1.01
66,1.36,1.24,1.28,1.2,1.42,1.255,1.415,1.0
67,1.375,1.24,1.295,1.215,1.41,1.27,1.43,0.98
68,1.375,1.23,1.31,1.23,1.425,1.26,1.445,0.97
69,1.365,1.22,1.325,1.245,1.44,1.275,1.46,0.95
70,1.38,1.235,1.34,1.26,1.455,1.29,1.475,0.93
71,1.395,1.25,1.355,1.275,1.47,1.28,1.465,0.96
72,1.41,1.28,1.37,1.29,1.485,1.295,1.455,0.94
73,1.44,1.295,1.385,1.305,1.5,1.285,1.445,0.97
74,1.455,1.325,1.4,1.32,1.515,1.3,1.435,0.96
75,1.445,1.315,1.415,1.32,1.53,1.29,1.425,0.99
76,1.475,1.33,1.43,1.31,1.545,1.305,1.415,0.99
77,1.49,1.345,1.42,1.3,1.56,1.32,1.405,1.02
78,1.52,1.36,1.435,1.3,1.55,1.31,1.42,1.01
79,1.52,1.39,1.435,1.315,1.565,1.325,1.435,1.025
80,1.5,1.39,1.45,1.305,1.58,1.315,1.45,1.005
81,1.53,1.405,1.465,1.32,1.595,1.33,1.45,1.02
82,1.52,1.435,1.48,1.31,1.61,1.345,1.465,1.02
83,1.535,1.45,1.48,1.325,1.625,1.36,1.48,1.02
84,1.55,1.48,1.47,1.34,1.64,1.375,1.495,1.01
85,1.565,1.495,1.46,1.33,1.64,1.375,1.51,1.01
86,1.555,1.51,1.45,1.345,1.63,1.365,1.525,0.99
87,1.585,1.54,1.44,1.335,1.645,1.38,1.54,0.97
88,1.6,1.53,1.455,1.35,1.66,1.395,1.54,0.96
89,1.615,1.51,1.47,1.34,1.675,1.41,1.555,0.96
90,1.63,1.51,1.46,1.34,1.69,1.425,1.57,0.94
91,1.66,1.51,1.45,1.355,1.705,1.44,1.585,0.92
92,1.675,1.5,1.44,1.345,1.72,1.43,1.6,0.92
93,1.655,1.49,1.455,1.36,1.71,1.42,1.615,0.92
