,bb,random,hi_lo,ko,zen,ten,halves,uston
0,1015,1000,990,990,1015,990,1015,1015
1,1005,1015,980,980,1005,980,1030,995
2,995,1030,995,995,1020,995,1020,985
3,995,1030,985,1010,1035,1010,1035,975
4,985,1020,985,1000,1050,1025,1025,975
5,1000,1035,1000,1015,1040,1040,1015,990
6,1015,1015,1000,1030,1055,1030,1030,1005
7,1015,1030,990,1020,1070,1045,1045,1035
8,1030,1060,980,1010,1085,1060,1060,1050
9,1045,1040,995,1025,1100,1075,1050,1030
10,1025,1070,985,1025,1100,1065,1065,1045
11,1040,1085,975,1040,1090,1055,1080,1035
12,1055,1100,990,1040,1105,1070,1070,1050
13,1070,1100,1005,1055,1095,1060,1085,1050
14,1085,1080,1020,1045,1110,1050,1100,1080
15,1100,1095,1035,1060,1100,1065,1115,1060
16,1080,1085,1050,1050,1115,1080,1130,1090
17,1095,1115,1040,1040,1130,1070,1145,1090
18,1085,1145,1055,1055,1145,1085,1135,1105
19,1075,1135,1070,1045,1160,1075,1150,1120
20,1055,1150,1085,1045,1160,1090,1165,1120
21,1070,1150,1100,1035,1175,1105,1155,1135
22,1100,1165,1115,1050,1165,1120,1145,1115
23,1115,1180,1130,1040,1180,1135,1135,1130
24,1105,1160,1145,1030,1195,1125,1150,1110
25,1120,1150,1135,1030,1185,1140,1165,1090
26,1135,1180,1125,1045,1185,1155,1155,1090
27,1150,1160,1140,1060,1200,1170,1170,1090
28,1140,1150,1140,1060,1215,1160,1185,1105
29,1130,1150,1130,1050,1205,1150,1175,1085
30,1145,1150,1120,1040,1220,1165,1190,1100
31,1135,1165,1135,1030,1235,1180,1180,1080
32,1150,1145,1150,1020,1225,1195,1195,1060
33,1165,1160,1140,1010,1240,1185,1210,1050
34,1165,1160,1155,1000,1255,1175,1225,1030
35,1180,1160,1170,990,1270,1165,1240,1020
36,1195,1190,1160,980,1285,1165,1255,1010
37,1210,1180,1150,995,1300,1155,1255,1025
38,1225,1210,1165,1010,1315,1145,1270,1025
39,1240,1240,1155,1000,1330,1160,1285,1015
40,1255,1255,1170,1015,1320,1175,1300,1030
41,1270,1255,1160,1030,1310,1190,1290,1010
42,1250,1245,1175,1030,1325,1205,1290,1040
43,1265,1225,1165,1045,1305,1220,1290,1040
44,1245,1215,1155,1060,1320,1220,1305,1070
45,1260,1230,1170,1075,1335,1220,1320,1070
46,1250,1210,1160,1090,1350,1235,1335,1070
47,1265,1200,1150,1105,1340,1225,1325,1070
48,1280,1190,1165,1120,1330,1240,1315,1050
49,1270,1180,1180,1135,1320,1255,1305,1050
50,1285,1195,1195,1150,1335,1255,1320,1065
51,1300,1210,1195,1150,1350,1270,1310,1055
52,1290,1225,1210,1165,1365,1260,1325,1070
53,1280,1205,1225,1155,1380,1260,1340,1085
54,1310,1220,1215,1145,1370,1275,1355,1075
55,1340,1235,1230,1160,1385,1265,1345,1055
56,1330,1250,1220,1175,1400,1255,1360,1045
57,1320,1250,1235,1165,1400,1245,1375,1035
58,1300,1265,1225,1180,1390,1235,1365,1025
59,1315,1255,1240,1170,1380,1225,1365,1040
60,1330,1255,1230,1185,1395,1215,1380,1030
61,1320,1245,1245,1200,1395,1230,1380,1030
62,1300,1275,1260,1190,1385,1220,1395,1010
63,1315,1255,1275,1205,1400,1235,1395,990
64,1330,1245,1265,1195,1415,1250,1385,980
65,1345,1225,1265,1185,1430,1240,1400,1010
66,1360,1240,1280,1200,1420,1255,1415,1000
67,1375,1240,1295,1215,1410,1270,1430,980
68,1375,1230,1310,1230,1425,1260,1445,970
69,1365,1220,1325,1245,1440,1275,1460,950
70,1380,1235,1340,1260,1455,1290,1475,930
71,1395,1250,1355,1275,1470,1280,1465,960
72,1410,1280,1370,1290,1485,1295,1455,940
73,1440,1295,1385,1305,1500,1285,1445,970
74,1455,1325,1400,1320,1515,1300,1435,960
75,1445,1315,1415,1320,1530,1290,1425,990
76,1475,1330,1430,1310,1545,1305,1415,990
77,1490,1345,1420,1300,1560,1320,1405,1020
78,1520,1360,1435,1300,1550,1310,1420,1010
79,1520,1390,1435,1315,1565,1325,1435,1025
80,1500,1390,1450,1305,1580,1315,1450,1005
81,1530,1405,1465,1320,1595,1330,1450,1020
82,1520,1435,1480,1310,1610,1345,1465,1020
83,1535,1450,1480,1325,1625,1360,1480,1020
84,1550,1480,1470,1340,1640,1375,1495,1010
85,1565,1495,1460,1330,1640,1375,1510,1010
86,1555,1510,1450,1345,1630,1365,1525,990
87,1585,1540,1440,1335,1645,1380,1540,970
88,1600,1530,1455,1350,1660,1395,1540,960
89,1615,1510,1470,1340,1675,1410,1555,960
90,1630,1510,1460,1340,1690,1425,1570,940
91,1660,1510,1450,1355,1705,1440,1585,920
92,1675,1500,1440,1345,1720,1430,1600,920
93,1655,1490,1455,1360,1710,1420,1615,920
94,1645,1520,1445,1350,1725,1410,1605,935
95,1645,1535,1435,1365,1740,1400,1595,950
96,1660,1550,1450,1380,1755,1415,1610,930
97,1675,1530,1465,1370,1770,1405,1600,910
98,1655,1510,1455,1360,1760,1420,1590,900
99,1655,1510,1455,1375,1750,1435,1605,900
100,1670,1525,1470,1390,1740,1450,1605,890
101,1670,1540,1485,1405,1740,1465,1620,905
102,1685,1570,1500,1420,1755,1455,1610,895
103,1715,1560,1515,1410,1755,1470,1625,875
104,1730,1540,1530,1425,1770,1485,1615,855
105,1745,1555,1545,1440,1785,1475,1630,845
106,1760,1555,1535,1455,1775,1465,1645,835
107,1760,1545,1525,1470,1790,1480,1660,865
108,1750,1560,1515,1485,1805,1495,1660,855
109,1765,1590,1530,1475,1820,1510,1660,885
110,1780,1590,1545,1465,1810,1500,1675,915
111,1760,1620,1560,1480,1825,1515,1690,895
112,1790,1610,1575,1495,1815,1530,1680,875
113,1770,1610,1590,1485,1805,1520,1670,855
114,1750,1610,1590,1500,1820,1510,1670,845
115,1765,1625,1605,1490,1810,1510,1685,835
116,1780,1625,1620,1505,1800,1510,1700,850
117,1795,1640,1635,1520,1790,1500,1690,865
118,1785,1655,1650,1535,1805,1490,1705,855
119,1815,1670,1665,1525,1805,1480,1720,845
120,1830,1670,1655,1515,1820,1470,1735,860
121,1845,1660,1670,1505,1810,1485,1750,860
122,1860,1660,1685,1495,1825,1500,1740,875
123,1890,1675,1675,1485,1840,1500,1730,865
124,1905,1690,1690,1485,1830,1490,1745,845
125,1935,1680,1680,1475,1820,1480,1760,860
126,1950,1710,1695,1465,1810,1495,1775,875
127,1980,1725,1695,1455,1800,1510,1765,905
128,2010,1705,1710,1470,1815,1500,1765,885
129,2025,1735,1725,1485,1830,1515,1780,885
130,2025,1715,1715,1475,1845,1505,1795,900
131,2040,1705,1705,1465,1860,1520,1810,880
132,2055,1695,1695,1480,1875,1535,1800,895
133,2085,1675,1685,1495,1890,1535,1790,910
134,2085,1675,1675,1495,1905,1550,1780,900
135,2075,1675,1690,1485,1895,1540,1795,915
136,2090,1655,1705,1475,1910,1530,1785,915
137,2105,1670,1720,1490,1925,1520,1800,930
138,2095,1685,1735,1505,1915,1535,1800,960
139,2110,1685,1735,1520,1930,1550,1790,950
140,2100,1700,1725,1535,1920,1540,1780,965
141,2090,1730,1740,1550,1935,1555,1770,980
142,2105,1745,1755,1565,1925,1570,1760,995
143,2120,1735,1770,1580,1915,1560,1775,975
144,2135,1725,1785,1595,1930,1575,1790,990
145,2125,1715,1800,1585,1945,1590,1805,980
146,2115,1730,1815,1600,1960,1580,1820,1010
147,2115,1710,1805,1615,1975,1595,1835,1000
148,2095,1700,1795,1615,1965,1610,1850,990
149,2110,1680,1785,1605,1980,1600,1865,1020
150,2125,1695,1800,1620,1995,1600,1880,1020
151,2140,1685,1815,1610,1985,1590,1895,1035
152,2155,1715,1830,1625,2000,1605,1910,1050
153,2185,1730,1845,1640,1990,1605,1925,1080
154,2185,1730,1835,1640,2005,1620,1915,1095
155,2200,1745,1835,1655,2020,1610,1905,1085
156,2180,1725,1850,1645,2035,1600,1920,1075
157,2195,1740,1865,1660,2050,1590,1910,1090
158,2210,1755,1855,1675,2040,1605,1900,1090
159,2225,1785,1870,1690,2030,1605,1915,1080
160,2240,1775,1885,1680,2045,1620,1930,1110
161,2255,1805,1900,1695,2045,1635,1920,1090
162,2285,1805,1915,1685,2035,1625,1935,1070
163,2300,1795,1930,1700,2025,1640,1925,1085
164,2315,1785,1920,1690,2015,1655,1925,1100
165,2330,1785,1910,1705,2030,1655,1940,1115
166,2360,1800,1925,1720,2045,1670,1955,1145
167,2390,1815,1940,1710,2035,1685,1970,1145
168,2420,1830,1955,1725,2050,1675,1985,1135
169,2435,1820,1970,1740,2065,1690,1975,1125
170,2465,1810,1985,1755,2065,1680,1965,1125
171,2480,1825,2000,1770,2055,1670,1965,1105
172,2495,1840,1990,1770,2070,1660,1980,1120
173,2485,1830,1980,1760,2060,1675,1980,1135
174,2500,1810,1970,1775,2075,1690,1995,1115
175,2490,1840,1985,1765,2065,1705,2010,1145
176,2520,1830,1975,1755,2055,1720,2025,1175
177,2535,1845,1965,1770,2045,1735,2040,1205
178,2515,1825,1980,1760,2060,1725,2055,1235
179,2545,1825,1995,1750,2050,1740,2070,1250
180,2545,1815,2010,1765,2050,1755,2085,1250
181,2545,1830,2025,1765,2040,1745,2075,1250
182,2545,1810,2040,1780,2055,1760,2065,1265
183,2545,1825,2055,1770,2070,1750,2055,1265
184,2545,1805,2045,1760,2085,1750,2070,1265
185,2535,1820,2060,1760,2100,1765,2070,1295
186,2550,1820,2075,1775,2090,1765,2060,1295
187,2540,1835,2065,1765,2105,1755,2075,1310
188,2555,1865,2080,1780,2085,1745,2090,1310
189,2545,1880,2095,1770,2075,1735,2105,1340
190,2560,1860,2085,1785,2090,1750,2120,1330
191,2560,1860,2075,1800,2090,1740,2120,1360
192,2590,1850,2090,1800,2105,1730,2110,1375
193,2605,1850,2105,1790,2120,1730,2100,1365
194,2620,1840,2105,1790,2135,1745,2115,1355
195,2635,1855,2120,1805,2125,1735,2130,1370
196,2650,1835,2135,1820,2115,1750,2145,1370
197,2665,1835,2150,1810,2105,1765,2160,1370
198,2680,1825,2165,1825,2120,1780,2175,1385
199,2695,1840,2180,1815,2135,1770,2165,1385
200,2710,1855,2170,1830,2125,1760,2180,1400
201,2700,1870,2185,1820,2115,1760,2195,1390
202,2715,1860,2200,1820,2105,1775,2185,1370
203,2730,1875,2215,1810,2120,1775,2175,1360
204,2745,1905,2205,1825,2110,1790,2190,1340
205,2760,1920,2220,1840,2125,1805,2205,1355
206,2750,1950,2235,1830,2115,1820,2220,1345
207,2780,1980,2250,1845,2130,1810,2210,1335
208,2795,1995,2250,1835,2120,1825,2225,1315
209,2810,1985,2265,1850,2135,1840,2215,1305
210,2790,1985,2255,1865,2125,1840,2205,1305
