,bb,random,hi_lo,ko,zen,ten,halves,uston
0,990,1015,990,990,1015,990,1015,990
1,1020,1030,980,1005,1015,1005,1030,980
2,1050,1045,995,1005,1030,1020,1045,970
3,1040,1075,1010,995,1020,1035,1035,960
4,1055,1090,1000,1010,1010,1035,1050,960
5,1070,1070,990,1025,1025,1025,1065,975
6,1050,1050,980,1040,1040,1040,1080,955
7,1065,1030,995,1055,1055,1040,1095,935
8,1095,1030,985,1045,1070,1055,1085,915
9,1110,1045,975,1035,1060,1070,1085,930
10,1110,1060,965,1050,1050,1085,1075,920
11,1140,1050,965,1065,1065,1075,1065,920
12,1130,1065,980,1080,1065,1065,1065,910
13,1145,1045,970,1070,1080,1080,1055,925
14,1175,1025,985,1060,1095,1095,1045,905
15,1190,1055,1000,1075,1085,1110,1060,905
16,1205,1070,1000,1065,1075,1110,1075,905
17,1220,1085,1015,1080,1090,1125,1090,895
18,1235,1085,1030,1095,1090,1140,1105,910
19,1225,1115,1020,1085,1080,1155,1120,900
20,1240,1115,1010,1100,1095,1170,1110,890
21,1255,1115,1000,1115,1110,1185,1100,870
22,1235,1130,1015,1115,1125,1200,1090,870
23,1215,1145,1030,1105,1115,1190,1105,900
24,1230,1145,1020,1120,1130,1205,1120,900
25,1245,1145,1020,1135,1145,1195,1135,880
26,1275,1175,1035,1150,1135,1210,1150,870
27,1290,1165,1050,1165,1125,1225,1140,870
28,1270,1165,1050,1180,1140,1240,1130,885
29,1260,1195,1065,1195,1155,1230,1120,915
30,1275,1195,1080,1210,1145,1220,1135,905
31,1255,1185,1070,1225,1160,1210,1150,895
32,1245,1200,1085,1215,1160,1200,1140,925
33,1235,1200,1075,1205,1175,1215,1130,925
34,1250,1190,1090,1205,1190,1230,1145,940
35,1265,1205,1105,1220,1180,1230,1135,970
36,1280,1185,1120,1210,1170,1245,1150,960
37,1295,1165,1135,1225,1160,1260,1165,950
38,1285,1145,1150,1215,1175,1250,1165,965
39,1315,1135,1140,1230,1165,1240,1155,965
40,1330,1150,1130,1245,1155,1255,1145,965
41,1360,1180,1130,1260,1170,1245,1145,980
42,1375,1170,1145,1250,1160,1260,1135,995
43,1405,1170,1135,1240,1175,1275,1135,1010
44,1395,1160,1150,1255,1175,1290,1150,1000
45,1385,1150,1140,1270,1190,1305,1165,990
46,1385,1130,1155,1270,1205,1320,1155,990
47,1375,1160,1145,1260,1205,1335,1145,970
48,1390,1160,1135,1260,1195,1350,1145,960
49,1380,1140,1150,1250,1210,1365,1160,975
50,1410,1155,1165,1240,1225,1380,1175,1005
51,1400,1155,1180,1255,1240,1395,1165,1035
52,1415,1185,1195,1270,1255,1385,1180,1015
53,1445,1175,1210,1285,1270,1375,1170,1030
54,1460,1190,1225,1300,1285,1390,1185,1045
55,1460,1205,1215,1290,1275,1405,1200,1035
56,1490,1205,1205,1290,1290,1395,1190,1050
57,1505,1205,1195,1280,1280,1410,1205,1065
58,1485,1220,1210,1295,1295,1425,1220,1080
59,1500,1235,1225,1310,1310,1415,1235,1080
60,1515,1250,1215,1325,1300,1405,1250,1070
61,1530,1265,1205,1340,1315,1420,1265,1100
62,1560,1245,1220,1355,1330,1435,1255,1100
63,1575,1260,1210,1370,1320,1450,1255,1100
64,1590,1250,1225,1385,1320,1465,1270,1090
65,1605,1240,1215,1400,1335,1480,1285,1120
66,1620,1255,1230,1415,1335,1470,1300,1110
67,1635,1270,1220,1430,1325,1460,1300,1100
68,1650,1260,1235,1445,1340,1475,1300,1115
69,1665,1275,1250,1460,1355,1490,1315,1130
70,1680,1275,1265,1475,1345,1505,1330,1110
71,1695,1290,1265,1490,1360,1495,1320,1125
72,1710,1280,1255,1480,1375,1510,1310,1140
73,1710,1295,1245,1470,1390,1525,1300,1130
74,1690,1275,1260,1460,1380,1540,1290,1120
75,1705,1290,1250,1450,1395,1530,1280,1150
76,1695,1270,1240,1465,1410,1545,1295,1140
77,1710,1250,1255,1455,1425,1535,1310,1140
78,1725,1240,1270,1445,1440,1550,1325,1140
79,1740,1230,1270,1435,1455,1540,1340,1130
80,1730,1230,1260,1450,1470,1555,1355,1110
81,1745,1230,1250,1440,1460,1570,1370,1125
82,1760,1245,1240,1455,1475,1585,1360,1140
83,1775,1275,1240,1470,1465,1575,1375,1130
84,1755,1305,1230,1485,1480,1590,1390,1120
85,1785,1305,1220,1475,1470,1605,1405,1110
86,1765,1295,1235,1475,1485,1620,1420,1140
87,1795,1310,1250,1490,1500,1610,1435,1170
88,1825,1310,1240,1480,1515,1625,1450,1170
89,1815,1325,1255,1495,1530,1640,1465,1185
90,1805,1325,1270,1485,1520,1630,1480,1200
91,1835,1315,1285,1475,1510,1620,1495,1190
92,1825,1345,1300,1465,1525,1610,1510,1170
93,1805,1360,1315,1480,1515,1625,1525,1160
94,1795,1375,1305,1495,1530,1640,1515,1150
95,1810,1405,1320,1510,1520,1655,1505,1140
96,1825,1405,1310,1525,1510,1670,1520,1155
97,1840,1385,1325,1515,1500,1685,1510,1170
98,1840,1375,1340,1530,1500,1675,1500,1160
99,1855,1365,1355,1520,1490,1675,1490,1150
100,1870,1355,1370,1535,1480,1665,1480,1150
101,1860,1345,1385,1525,1495,1680,1495,1150
102,1875,1325,1400,1540,1485,1695,1510,1140
103,1865,1340,1390,1555,1475,1685,1525,1130
104,1845,1320,1380,1570,1465,1700,1540,1110
105,1860,1310,1395,1560,1480,1715,1555,1125
106,1875,1325,1385,1575,1470,1730,1570,1140
107,1905,1355,1375,1575,1485,1745,1585,1140
108,1920,1335,1365,1565,1500,1735,1600,1130
109,1900,1325,1380,1565,1490,1725,1615,1130
110,1880,1340,1395,1580,1480,1740,1630,1120
111,1895,1355,1410,1595,1495,1755,1645,1110
112,1910,1370,1400,1610,1485,1770,1660,1140
113,1940,1350,1390,1625,1500,1785,1675,1130
114,1955,1380,1380,1615,1490,1800,1690,1120
115,1970,1410,1370,1630,1505,1815,1680,1100
116,1970,1425,1360,1620,1520,1805,1695,1090
117,1985,1440,1350,1635,1520,1820,1710,1090
118,1965,1420,1340,1625,1535,1810,1725,1105
119,1980,1435,1355,1615,1525,1810,1725,1135
120,1970,1425,1370,1630,1540,1825,1740,1125
121,1985,1440,1360,1620,1530,1840,1755,1125
122,2000,1470,1375,1610,1545,1855,1770,1140
123,1990,1470,1390,1600,1560,1870,1785,1140
124,2005,1460,1380,1600,1550,1860,1800,1170
125,1995,1475,1395,1615,1565,1875,1815,1160
