,bb,random,hi_lo,ko,zen,ten,halves,uston
0,1.015,1.015,1.015,1.015,0.99,1.015,0.99,0.99
1,1.03,1.03,1.005,1.005,0.98,1.03,1.005,0.98
2,1.045,1.03,0.995,1.02,1.01,1.045,1.02,0.96
3,1.06,1.045,0.985,1.01,1.025,1.045,1.01,0.96
4,1.075,1.06,1.0,1.025,1.04,1.06,1.0,0.94
5,1.09,1.04,1.015,1.04,1.03,1.06,0.99,0.93
6,1.08,1.055,1.015,1.055,1.02,1.05,1.005,0.91
7,1.095,1.055,1.03,1.07,1.035,1.065,1.02,0.9
8,1.11,1.085,1.045,1.06,1.05,1.055,1.035,0.915
9,1.125,1.085,1.035,1.05,1.065,1.055,1.025,0.93
10,1.155,1.1,1.05,1.04,1.08,1.045,1.025,0.93
11,1.17,1.09,1.04,1.03,1.07,1.06,1.025,0.96
12,1.17,1.07,1.055,1.03,1.06,1.05,1.04,0.99
13,1.185,1.06,1.045,1.045,1.04,1.065,1.055,0.99
14,1.175,1.06,1.045,1.035,1.03,1.055,1.07,1.02
15,1.19,1.075,1.06,1.025,1.02,1.07,1.085,1.035
16,1.17,1.055,1.075,1.04,1.035,1.085,1.1,1.035
17,1.16,1.045,1.09,1.04,1.05,1.075,1.115,1.015
18,1.175,1.075,1.08,1.03,1.065,1.09,1.13,0.995
19,1.165,1.105,1.095,1.045,1.08,1.09,1.145,0.995
20,1.18,1.12,1.085,1.06,1.07,1.105,1.135,0.975
21,1.195,1.12,1.1,1.075,1.085,1.095,1.125,1.005
22,1.185,1.1,1.09,1.065,1.1,1.085,1.14,1.02
23,1.175,1.13,1.08,1.055,1.115,1.075,1.13,1.01
24,1.19,1.145,1.07,1.045,1.13,1.09,1.12,1.0
25,1.205,1.125,1.085,1.06,1.12,1.08,1.12,1.015
26,1.22,1.125,1.075,1.075,1.135,1.095,1.135,1.015
27,1.22,1.125,1.09,1.075,1.125,1.085,1.125,1.005
28,1.235,1.155,1.105,1.065,1.14,1.1,1.14,1.005
29,1.25,1.145,1.105,1.08,1.13,1.115,1.155,1.02
30,1.24,1.125,1.12,1.095,1.12,1.13,1.145,1.01
31,1.23,1.115,1.135,1.095,1.11,1.145,1.135,1.0
32,1.245,1.095,1.15,1.085,1.1,1.135,1.15,0.99
33,1.26,1.11,1.165,1.075,1.09,1.15,1.165,0.97
34,1.275,1.125,1.18,1.09,1.105,1.165,1.18,0.985
35,1.29,1.14,1.17,1.08,1.12,1.155,1.18,1.015
36,1.28,1.13,1.185,1.095,1.135,1.17,1.195,1.005
37,1.27,1.12,1.2,1.095,1.15,1.16,1.21,1.005
38,1.27,1.12,1.19,1.11,1.15,1.175,1.2,1.035
39,1.26,1.1,1.205,1.125,1.165,1.19,1.19,1.05
40,1.29,1.09,1.22,1.14,1.18,1.18,1.205,1.03
41,1.305,1.07,1.21,1.155,1.17,1.17,1.22,1.01
42,1.32,1.085,1.2,1.17,1.185,1.16,1.235,1.01
43,1.335,1.065,1.215,1.16,1.2,1.175,1.25,0.99
44,1.325,1.055,1.23,1.175,1.215,1.19,1.265,1.005
45,1.34,1.07,1.245,1.19,1.23,1.205,1.255,0.995
46,1.355,1.06,1.235,1.205,1.22,1.22,1.27,0.995
47,1.345,1.09,1.25,1.22,1.235,1.235,1.26,1.01
48,1.36,1.105,1.24,1.235,1.25,1.235,1.275,1.0
49,1.36,1.095,1.23,1.25,1.265,1.225,1.29,1.03
50,1.375,1.095,1.245,1.265,1.265,1.215,1.305,1.045
51,1.39,1.11,1.26,1.28,1.28,1.215,1.32,1.06
