,bb,random,hi_lo,ko,zen,ten,halves,uston
0,1015,980,1015,1015,1015,1015,990,990
1,1005,1010,1005,1030,1005,1030,990,990
2,995,1040,995,1045,995,1020,1005,980
3,1010,1030,985,1060,1010,1035,1005,1010
4,1025,1020,975,1075,1000,1050,995,1025
5,1040,1035,990,1090,990,1065,1010,1040
6,1055,1050,1005,1105,1005,1080,1025,1055
7,1055,1050,1020,1095,995,1095,1015,1085
8,1045,1040,1020,1085,995,1110,1005,1085
9,1060,1055,1020,1100,1010,1100,995,1085
10,1050,1055,1035,1115,1025,1090,985,1075
11,1065,1085,1050,1130,1025,1105,1000,1065
12,1080,1100,1040,1145,1015,1095,990,1095
13,1095,1115,1055,1160,1030,1110,980,1110
14,1095,1105,1070,1175,1020,1125,995,1110
15,1095,1120,1060,1175,1010,1140,985,1110
16,1110,1135,1075,1165,1000,1130,1000,1125
17,1125,1125,1090,1180,1015,1120,1015,1140
18,1140,1105,1080,1195,1005,1110,1005,1155
19,1155,1105,1070,1185,995,1100,995,1145
20,1155,1105,1060,1175,985,1115,1010,1125
21,1155,1095,1050,1190,1000,1130,1025,1140
22,1170,1110,1065,1180,1015,1130,1015,1155
23,1185,1100,1080,1195,1030,1120,1015,1145
24,1165,1090,1070,1185,1045,1110,1030,1135
25,1180,1080,1060,1175,1060,1100,1020,1135
26,1195,1080,1050,1190,1050,1115,1035,1135
27,1210,1080,1050,1180,1065,1130,1050,1115
28,1225,1070,1040,1170,1080,1145,1065,1095
29,1240,1070,1030,1185,1095,1135,1080,1085
30,1230,1060,1020,1200,1110,1125,1095,1085
31,1245,1075,1035,1200,1125,1115,1110,1115
32,1235,1075,1025,1215,1140,1130,1125,1145
33,1225,1075,1015,1230,1130,1130,1140,1135
34,1240,1055,1030,1245,1145,1120,1140,1115
35,1230,1070,1030,1260,1135,1110,1130,1095
36,1220,1060,1045,1250,1125,1125,1145,1085
37,1220,1040,1035,1265,1140,1140,1160,1065
38,1235,1020,1050,1255,1155,1155,1175,1095
39,1250,1020,1065,1270,1170,1170,1190,1110
40,1265,1020,1080,1260,1200,1185,1180,1125
41,1265,1010,1095,1275,1215,1175,1195,1115
42,1280,1010,1085,1290,1230,1165,1185,1115
43,1295,1025,1075,1305,1220,1155,1200,1095
44,1310,1040,1090,1320,1235,1170,1215,1075
45,1325,1070,1080,1335,1250,1185,1230,1090
46,1315,1085,1095,1325,1250,1200,1245,1070
47,1315,1100,1085,1340,1240,1215,1235,1070
48,1330,1115,1075,1355,1230,1205,1250,1085
49,1345,1115,1090,1345,1245,1220,1265,1085
50,1335,1105,1090,1335,1235,1210,1280,1085
51,1335,1105,1080,1350,1235,1200,1295,1085
52,1350,1085,1070,1365,1225,1190,1310,1085
53,1365,1100,1085,1355,1240,1205,1325,1115
54,1355,1115,1100,1370,1255,1220,1340,1095
55,1370,1130,1115,1360,1245,1210,1355,1095
56,1385,1120,1105,1375,1235,1225,1370,1085
57,1400,1110,1095,1375,1250,1215,1385,1100
58,1390,1100,1085,1390,1240,1230,1375,1090
59,1405,1100,1100,1405,1255,1245,1375,1090
60,1420,1080,1115,1420,1270,1235,1390,1120
61,1435,1060,1130,1435,1285,1250,1380,1100
62,1425,1075,1145,1425,1275,1265,1395,1115
63,1440,1075,1160,1425,1290,1255,1410,1145
64,1470,1090,1175,1415,1305,1270,1425,1145
65,1485,1080,1165,1430,1320,1260,1440,1125
66,1500,1080,1180,1420,1310,1275,1430,1115
67,1480,1080,1195,1410,1325,1265,1420,1105
68,1480,1060,1195,1425,1340,1255,1410,1085
69,1495,1050,1210,1440,1355,1245,1425,1115
70,1510,1065,1225,1455,1370,1235,1425,1095
71,1510,1080,1215,1455,1385,1225,1415,1095
72,1510,1070,1230,1470,1400,1240,1430,1075
73,1525,1085,1220,1485,1380,1230,1420,1055
74,1515,1115,1235,1485,1395,1220,1435,1035
75,1505,1115,1225,1500,1385,1210,1450,1065
76,1485,1145,1240,1515,1400,1200,1440,1045
77,1500,1175,1230,1530,1390,1215,1430,1045
78,1490,1190,1220,1520,1405,1230,1430,1025
79,1505,1205,1210,1520,1420,1220,1420,1025
80,1520,1185,1200,1510,1435,1220,1435,1055
81,1520,1200,1190,1525,1435,1210,1450,1045
82,1535,1180,1205,1515,1435,1225,1465,1035
83,1550,1210,1220,1505,1450,1215,1480,1050
84,1565,1225,1235,1495,1450,1205,1470,1080
85,1580,1240,1250,1510,1440,1220,1485,1080
86,1580,1255,1265,1525,1455,1235,1475,1110
87,1595,1285,1280,1515,1445,1250,1475,1100
88,1595,1275,1280,1515,1435,1240,1490,1130
89,1610,1275,1295,1505,1450,1255,1505,1110
90,1625,1265,1310,1520,1440,1255,1495,1140
91,1640,1280,1300,1535,1455,1270,1510,1130
92,1630,1270,1315,1550,1470,1285,1525,1120
93,1630,1285,1330,1540,1460,1300,1540,1150
94,1620,1300,1345,1555,1475,1315,1555,1180
95,1635,1315,1345,1570,1490,1305,1555,1210
96,1650,1330,1360,1585,1480,1295,1570,1200
97,1640,1330,1360,1600,1495,1310,1560,1200
98,1655,1310,1350,1590,1510,1300,1575,1215
99,1670,1325,1365,1590,1500,1290,1565,1230
100,1660,1340,1380,1605,1515,1305,1580,1245
101,1675,1340,1395,1620,1530,1320,1570,1260
102,1690,1370,1385,1635,1520,1335,1585,1240
103,1680,1385,1375,1625,1520,1335,1575,1220
104,1680,1375,1390,1640,1535,1350,1575,1250
