,bb,random,hi_lo,ko,zen,ten,halves,uston
0,1.0,1.015,0.99,1.015,0.99,1.0,0.99,1.03
1,0.99,1.015,1.005,1.005,0.98,1.015,0.98,1.06
2,1.005,1.045,0.995,1.02,0.995,1.03,0.97,1.075
3,1.02,1.035,1.01,1.01,1.01,1.045,0.96,1.065
4,1.01,1.065,1.025,1.025,1.0,1.06,0.95,1.055
5,1.01,1.08,1.04,1.04,0.99,1.075,0.94,1.085
6,1.025,1.08,1.055,1.03,1.005,1.075,0.93,1.075
7,1.04,1.095,1.055,1.045,1.02,1.065,0.92,1.09
8,1.03,1.11,1.07,1.045,1.01,1.055,0.91,1.08
9,1.03,1.125,1.085,1.045,1.025,1.045,0.925,1.11
10,1.045,1.115,1.1,1.035,1.04,1.045,0.94,1.14
11,1.06,1.145,1.1,1.05,1.03,1.035,0.955,1.155
12,1.05,1.125,1.115,1.065,1.03,1.035,0.97,1.155
13,1.065,1.115,1.13,1.055,1.02,1.05,0.985,1.185
14,1.065,1.13,1.145,1.045,1.01,1.04,1.0,1.2
15,1.08,1.11,1.135,1.06,1.025,1.055,1.015,1.2
16,1.08,1.11,1.15,1.05,1.04,1.045,1.03,1.18
17,1.08,1.11,1.165,1.04,1.055,1.035,1.045,1.17
18,1.095,1.1,1.155,1.055,1.055,1.05,1.045,1.16
19,1.11,1.08,1.17,1.07,1.045,1.04,1.06,1.19
20,1.1,1.095,1.185,1.06,1.06,1.055,1.06,1.205
21,1.115,1.085,1.175,1.075,1.075,1.045,1.06,1.235
22,1.13,1.065,1.165,1.075,1.065,1.06,1.075,1.25
23,1.145,1.045,1.18,1.09,1.045,1.05,1.09,1.265
24,1.135,1.06,1.195,1.105,1.06,1.04,1.08,1.255
25,1.15,1.075,1.21,1.12,1.05,1.055,1.095,1.255
26,1.14,1.055,1.2,1.135,1.04,1.07,1.11,1.245
27,1.155,1.045,1.215,1.125,1.055,1.06,1.125,1.26
28,1.155,1.025,1.23,1.14,1.045,1.06,1.14,1.24
29,1.17,1.04,1.22,1.13,1.06,1.075,1.13,1.27
30,1.185,1.04,1.235,1.12,1.075,1.065,1.145,1.285
31,1.2,1.055,1.25,1.135,1.065,1.08,1.135,1.285
32,1.215,1.045,1.265,1.15,1.055,1.07,1.135,1.3
33,1.205,1.025,1.28,1.165,1.07,1.06,1.15,1.3
34,1.205,1.015,1.27,1.155,1.085,1.06,1.14,1.29
35,1.22,1.015,1.285,1.17,1.075,1.075,1.155,1.305
36,1.235,1.03,1.3,1.185,1.09,1.065,1.145,1.285
37,1.25,1.045,1.315,1.2,1.08,1.055,1.135,1.3
38,1.265,1.045,1.33,1.19,1.095,1.07,1.15,1.315
39,1.255,1.06,1.345,1.205,1.11,1.085,1.165,1.295
40,1.245,1.075,1.36,1.22,1.1,1.075,1.18,1.31
41,1.235,1.09,1.35,1.235,1.115,1.075,1.17,1.34
42,1.225,1.105,1.34,1.25,1.13,1.075,1.16,1.355
