,bb,random,hi_lo,ko,zen,ten,halves,uston
0,1000,1015,990,1015,990,1000,990,1030
1,990,1015,1005,1005,980,1015,980,1060
2,1005,1045,995,1020,995,1030,970,1075
3,1020,1035,1010,1010,1010,1045,960,1065
4,1010,1065,1025,1025,1000,1060,950,1055
5,1010,1080,1040,1040,990,1075,940,1085
6,1025,1080,1055,1030,1005,1075,930,1075
7,1040,1095,1055,1045,1020,1065,920,1090
8,1030,1110,1070,1045,1010,1055,910,1080
9,1030,1125,1085,1045,1025,1045,925,1110
10,1045,1115,1100,1035,1040,1045,940,1140
11,1060,1145,1100,1050,1030,1035,955,1155
12,1050,1125,1115,1065,1030,1035,970,1155
13,1065,1115,1130,1055,1020,1050,985,1185
14,1065,1130,1145,1045,1010,1040,1000,1200
15,1080,1110,1135,1060,1025,1055,1015,1200
16,1080,1110,1150,1050,1040,1045,1030,1180
17,1080,1110,1165,1040,1055,1035,1045,1170
18,1095,1100,1155,1055,1055,1050,1045,1160
19,1110,1080,1170,1070,1045,1040,1060,1190
20,1100,1095,1185,1060,1060,1055,1060,1205
21,1115,1085,1175,1075,1075,1045,1060,1235
22,1130,1065,1165,1075,1065,1060,1075,1250
23,1145,1045,1180,1090,1045,1050,1090,1265
24,1135,1060,1195,1105,1060,1040,1080,1255
25,1150,1075,1210,1120,1050,1055,1095,1255
26,1140,1055,1200,1135,1040,1070,1110,1245
27,1155,1045,1215,1125,1055,1060,1125,1260
28,1155,1025,1230,1140,1045,1060,1140,1240
29,1170,1040,1220,1130,1060,1075,1130,1270
30,1185,1040,1235,1120,1075,1065,1145,1285
31,1200,1055,1250,1135,1065,1080,1135,1285
32,1215,1045,1265,1150,1055,1070,1135,1300
33,1205,1025,1280,1165,1070,1060,1150,1300
34,1205,1015,1270,1155,1085,1060,1140,1290
35,1220,1015,1285,1170,1075,1075,1155,1305
36,1235,1030,1300,1185,1090,1065,1145,1285
37,1250,1045,1315,1200,1080,1055,1135,1300
38,1265,1045,1330,1190,1095,1070,1150,1315
39,1255,1060,1345,1205,1110,1085,1165,1295
40,1245,1075,1360,1220,1100,1075,1180,1310
41,1235,1090,1350,1235,1115,1075,1170,1340
42,1225,1105,1340,1250,1130,1075,1160,1355
43,1240,1120,1330,1265,1145,1075,1175,1370
44,1255,1135,1345,1280,1135,1090,1190,1350
45,1245,1150,1360,1295,1150,1080,1205,1365
46,1235,1130,1360,1295,1165,1095,1220,1365
47,1250,1145,1375,1310,1155,1110,1235,1395
48,1265,1135,1390,1325,1170,1125,1250,1375
49,1280,1165,1405,1315,1185,1140,1250,1390
50,1270,1155,1405,1315,1200,1155,1240,1420
51,1260,1145,1420,1305,1190,1170,1255,1410
52,1250,1125,1435,1320,1180,1185,1270,1410
