,bb,random,hi_lo,ko,zen,ten,halves,uston
0,0.99,1.41,1.87,2.125,2.615,3.17,3.54,3.97
1,0.98,1.39,1.86,2.115,2.63,3.16,3.555,3.96
2,0.98,1.405,1.875,2.13,2.645,3.15,3.57,3.975
3,0.97,1.395,1.89,2.145,2.635,3.14,3.585,3.955
4,0.97,1.41,1.905,2.135,2.65,3.155,3.6,3.935
5,0.97,1.425,1.895,2.125,2.665,3.145,3.615,3.95
6,0.96,1.425,1.91,2.14,2.655,3.16,3.605,3.94
7,0.95,1.405,1.925,2.155,2.645,3.15,3.62,3.92
8,0.965,1.395,1.94,2.145,2.66,3.165,3.61,3.92
9,0.955,1.385,1.93,2.135,2.675,3.18,3.6,3.92
10,0.945,1.375,1.92,2.15,2.665,3.195,3.615,3.95
11,0.96,1.39,1.935,2.165,2.68,3.185,3.615,3.965
12,0.96,1.405,1.95,2.18,2.67,3.175,3.63,3.955
13,0.975,1.435,1.965,2.17,2.66,3.19,3.62,3.985
14,1.005,1.425,1.98,2.16,2.675,3.205,3.61,4.0
15,0.995,1.44,1.97,2.175,2.69,3.22,3.625,4.03
16,0.985,1.44,1.96,2.19,2.68,3.21,3.615,4.06
17,1.0,1.47,1.975,2.205,2.67,3.225,3.63,4.05
18,1.015,1.5,1.965,2.22,2.685,3.24,3.645,4.05
19,1.03,1.49,1.98,2.21,2.7,3.23,3.66,4.04
20,1.045,1.52,1.995,2.2,2.715,3.245,3.66,4.055
21,1.06,1.535,2.01,2.215,2.705,3.235,3.675,4.085
22,1.05,1.515,2.025,2.205,2.72,3.25,3.665,4.065
23,1.04,1.495,2.015,2.22,2.735,3.24,3.655,4.055
24,1.055,1.51,2.005,2.235,2.725,3.23,3.655,4.07
25,1.07,1.5,2.02,2.225,2.74,3.245,3.67,4.07
26,1.085,1.53,2.01,2.24,2.73,3.26,3.685,4.06
27,1.1,1.545,2.025,2.23,2.73,3.25,3.675,4.06
28,1.09,1.575,2.015,2.23,2.72,3.24,3.69,4.06
29,1.105,1.605,2.005,2.245,2.735,3.23,3.68,4.09
30,1.12,1.595,2.02,2.26,2.75,3.245,3.695,4.105
31,1.11,1.61,2.01,2.275,2.75,3.235,3.71,4.12
32,1.1,1.64,2.0,2.29,2.74,3.225,3.725,4.15
33,1.09,1.67,1.99,2.305,2.72,3.24,3.715,4.14
34,1.105,1.67,1.98,2.32,2.71,3.255,3.705,4.155
35,1.12,1.66,1.995,2.31,2.725,3.27,3.695,4.135
36,1.135,1.66,2.01,2.3,2.74,3.285,3.71,4.165
37,1.125,1.64,2.0,2.29,2.755,3.3,3.725,4.165
38,1.115,1.63,1.99,2.28,2.77,3.315,3.715,4.18
39,1.13,1.61,2.005,2.295,2.785,3.305,3.705,4.195
40,1.12,1.625,2.02,2.285,2.775,3.295,3.695,4.21
41,1.135,1.615,2.035,2.275,2.79,3.31,3.71,4.19
42,1.15,1.595,2.05,2.29,2.805,3.3,3.7,4.18
43,1.165,1.61,2.05,2.305,2.805,3.315,3.69,4.17
44,1.155,1.625,2.04,2.295,2.795,3.33,3.705,4.17
45,1.155,1.64,2.055,2.31,2.81,3.345,3.72,4.15
46,1.145,1.67,2.07,2.3,2.8,3.345,3.71,4.13
47,1.16,1.7,2.085,2.315,2.815,3.335,3.7,4.13
48,1.175,1.715,2.075,2.305,2.83,3.35,3.69,4.12
49,1.175,1.73,2.09,2.32,2.845,3.34,3.705,4.11
50,1.165,1.76,2.08,2.32,2.86,3.355,3.72,4.1
51,1.165,1.75,2.07,2.31,2.875,3.37,3.71,4.09
52,1.155,1.74,2.06,2.325,2.89,3.36,3.7,4.08
53,1.17,1.755,2.05,2.34,2.905,3.375,3.715,4.07
54,1.185,1.77,2.04,2.355,2.92,3.365,3.73,4.1
55,1.2,1.77,2.03,2.37,2.935,3.355,3.745,4.115
56,1.19,1.75,2.045,2.36,2.925,3.345,3.735,4.105
57,1.205,1.75,2.035,2.375,2.94,3.36,3.75,4.085
58,1.22,1.74,2.025,2.365,2.955,3.375,3.74,4.075
59,1.21,1.72,2.015,2.355,2.97,3.39,3.755,4.055
60,1.2,1.75,2.03,2.345,2.96,3.38,3.77,4.045
61,1.2,1.765,2.02,2.36,2.975,3.395,3.76,4.035
62,1.215,1.795,2.035,2.375,2.99,3.41,3.775,4.035
63,1.205,1.785,2.05,2.365,2.98,3.41,3.79,4.065
64,1.195,1.765,2.04,2.355,2.995,3.425,3.805,4.095
65,1.21,1.78,2.03,2.37,3.01,3.415,3.82,4.125
66,1.2,1.76,2.045,2.385,3.025,3.415,3.81,4.125
67,1.215,1.76,2.035,2.4,3.04,3.43,3.8,4.105
68,1.205,1.75,2.05,2.39,3.03,3.42,3.815,4.12
69,1.195,1.765,2.04,2.38,3.045,3.42,3.83,4.12
70,1.21,1.755,2.03,2.395,3.06,3.435,3.82,4.11
71,1.225,1.755,2.045,2.395,3.075,3.425,3.835,4.11
72,1.24,1.755,2.035,2.385,3.09,3.44,3.85,4.09
73,1.255,1.735,2.05,2.4,3.08,3.455,3.865,4.09
74,1.255,1.75,2.05,2.415,3.095,3.455,3.855,4.105
75,1.27,1.73,2.04,2.43,3.125,3.445,3.87,4.12
76,1.27,1.745,2.055,2.445,3.105,3.46,3.885,4.1
77,1.285,1.775,2.07,2.46,3.12,3.475,3.875,4.09
78,1.275,1.79,2.085,2.475,3.135,3.465,3.865,4.08
79,1.29,1.805,2.075,2.475,3.135,3.48,3.88,4.11
80,1.305,1.82,2.065,2.465,3.15,3.495,3.895,4.1
81,1.32,1.81,2.08,2.455,3.15,3.485,3.91,4.09
82,1.31,1.81,2.095,2.445,3.165,3.5,3.925,4.08
83,1.325,1.8,2.085,2.46,3.18,3.515,3.94,4.095
