,bb,random,hi_lo,ko,zen,ten,halves,uston
0,990,990,990,1015,1015,990,1015,980
1,1005,980,980,1030,1030,1005,1005,980
2,1020,995,995,1045,1030,1020,1020,1010
3,1035,1010,985,1035,1020,1035,1035,1025
4,1025,1000,1000,1025,1010,1025,1025,1005
5,1015,990,1015,1040,1025,1015,1040,985
6,1030,980,1030,1055,1015,1030,1040,1015
7,1045,995,1045,1070,1005,1020,1055,1030
8,1045,1010,1045,1085,1020,1010,1045,1010
9,1045,1000,1035,1100,1035,1025,1035,1025
10,1060,1015,1050,1090,1025,1015,1050,1040
11,1060,1005,1050,1080,1015,1005,1065,1055
12,1075,1020,1065,1070,1030,1020,1055,1045
13,1075,1010,1080,1085,1045,1035,1045,1075
14,1065,1010,1070,1075,1060,1050,1060,1065
15,1080,1025,1060,1065,1050,1040,1075,1055
16,1080,1015,1050,1080,1065,1055,1065,1085
17,1070,995,1040,1095,1080,1055,1080,1115
18,1100,1010,1030,1085,1070,1070,1095,1095
19,1090,1000,1045,1075,1085,1085,1085,1085
20,1105,1000,1060,1090,1075,1100,1100,1115
21,1120,1015,1050,1080,1090,1090,1115,1105
22,1120,1005,1065,1095,1105,1080,1105,1095
23,1135,1020,1080,1110,1120,1095,1120,1110
24,1150,1050,1095,1100,1110,1110,1110,1100
25,1130,1040,1110,1115,1125,1125,1100,1080
26,1145,1030,1100,1130,1140,1140,1115,1060
27,1145,1045,1115,1120,1155,1130,1130,1075
28,1135,1045,1130,1110,1145,1145,1130,1055
29,1125,1035,1120,1125,1160,1160,1145,1045
30,1140,1025,1135,1115,1150,1175,1135,1060
31,1140,1040,1125,1130,1165,1190,1150,1075
32,1130,1055,1140,1145,1155,1205,1140,1055
33,1160,1055,1130,1160,1145,1205,1155,1045
34,1175,1070,1145,1150,1160,1195,1155,1075
35,1190,1050,1160,1140,1150,1185,1145,1075
36,1205,1040,1175,1155,1140,1175,1135,1075
37,1195,1055,1165,1145,1130,1190,1125,1090
38,1210,1045,1180,1135,1120,1180,1140,1105
39,1190,1035,1195,1150,1135,1170,1155,1095
40,1205,1050,1210,1140,1150,1160,1170,1085
41,1195,1050,1200,1130,1140,1175,1185,1085
42,1210,1030,1215,1145,1155,1190,1200,1115
43,1200,1045,1205,1160,1145,1180,1190,1145
44,1215,1045,1195,1160,1135,1170,1180,1125
45,1215,1075,1210,1150,1125,1185,1170,1125
46,1205,1105,1225,1150,1140,1185,1185,1140
47,1220,1135,1240,1140,1155,1175,1200,1140
48,1235,1125,1230,1140,1145,1165,1190,1120
49,1250,1140,1220,1155,1135,1180,1205,1100
50,1265,1170,1235,1170,1150,1170,1205,1080
51,1280,1185,1225,1185,1165,1170,1220,1070
52,1260,1175,1240,1200,1155,1160,1235,1060
53,1275,1165,1255,1190,1145,1175,1250,1075
54,1265,1165,1255,1205,1145,1175,1265,1065
55,1280,1165,1270,1220,1145,1190,1280,1095
56,1270,1145,1285,1220,1175,1190,1270,1095
57,1260,1160,1300,1210,1190,1180,1285,1110
58,1290,1140,1315,1200,1180,1195,1300,1090
59,1305,1130,1305,1190,1170,1195,1290,1105
60,1305,1130,1305,1205,1160,1185,1305,1105
61,1320,1130,1320,1220,1150,1200,1320,1135
62,1335,1145,1310,1210,1165,1190,1335,1165
63,1325,1135,1300,1225,1165,1190,1325,1165
64,1355,1125,1290,1240,1155,1180,1340,1180
65,1370,1140,1305,1255,1155,1170,1330,1210
66,1385,1130,1320,1270,1170,1185,1345,1200
67,1400,1130,1310,1285,1160,1185,1360,1200
68,1415,1130,1325,1275,1175,1175,1350,1230
69,1430,1130,1325,1290,1165,1190,1340,1220
70,1445,1120,1315,1280,1180,1205,1340,1210
71,1425,1135,1305,1295,1195,1195,1330,1210
72,1440,1165,1320,1310,1185,1210,1320,1210
73,1455,1165,1310,1300,1175,1225,1335,1240
74,1470,1155,1310,1290,1165,1240,1325,1255
75,1470,1155,1325,1305,1180,1230,1340,1245
76,1485,1145,1340,1320,1170,1245,1355,1260
77,1515,1160,1330,1335,1185,1245,1370,1290
78,1530,1140,1320,1350,1185,1260,1385,1320
79,1530,1155,1310,1340,1185,1250,1400,1300
80,1545,1155,1325,1355,1200,1250,1390,1290
81,1560,1170,1340,1370,1215,1265,1380,1305
82,1590,1150,1330,1385,1230,1280,1395,1335
83,1605,1150,1320,1400,1245,1295,1410,1350
84,1595,1180,1335,1390,1260,1310,1400,1350
85,1585,1195,1325,1390,1250,1300,1415,1340
86,1575,1185,1340,1380,1240,1315,1430,1340
87,1575,1185,1330,1395,1255,1330,1420,1330
88,1590,1200,1345,1410,1270,1330,1435,1320
89,1605,1215,1335,1425,1285,1320,1425,1335
90,1595,1205,1350,1415,1275,1310,1415,1325
91,1610,1220,1340,1405,1290,1325,1430,1325
92,1625,1200,1340,1395,1280,1340,1420,1340
93,1640,1215,1355,1410,1270,1355,1410,1320
94,1640,1205,1345,1425,1270,1370,1400,1300
95,1655,1205,1335,1440,1285,1385,1415,1300
96,1655,1185,1335,1455,1300,1400,1430,1300
97,1670,1200,1350,1470,1315,1390,1420,1315
98,1660,1190,1340,1485,1330,1405,1435,1330
99,1650,1170,1355,1500,1345,1420,1425,1330
100,1640,1185,1370,1490,1360,1410,1425,1310
101,1630,1215,1385,1480,1350,1425,1440,1310
102,1645,1195,1375,1470,1365,1415,1455,1290
103,1635,1210,1390,1485,1365,1415,1455,1280
104,1635,1210,1380,1500,1380,1405,1445,1295
105,1650,1225,1370,1515,1370,1405,1435,1310
106,1665,1215,1385,1505,1385,1420,1425,1290
107,1680,1205,1375,1495,1375,1410,1440,1305
108,1695,1220,1365,1510,1375,1400,1440,1285
109,1695,1220,1380,1500,1365,1415,1440,1265
110,1710,1235,1370,1515,1365,1405,1455,1255
111,1710,1215,1360,1530,1355,1395,1455,1255
