,bb,random,hi_lo,ko,zen,ten,halves,uston
0,0.98,0.99,1.0,0.99,0.99,0.99,1.0,0.99
1,1.0,1.0,0.99,0.98,0.98,0.98,0.99,0.98
2,1.02,0.99,0.98,0.99,0.97,0.97,0.98,0.97
3,1.04,0.98,0.97,0.98,0.96,0.96,0.97,0.96
4,1.03,0.97,0.98,0.97,0.95,0.95,0.96,0.94
5,1.01,0.96,0.97,0.97,0.96,0.94,0.95,0.93
6,0.99,0.95,0.96,0.98,0.95,0.93,0.94,0.92
7,0.99,0.94,0.95,0.97,0.95,0.93,0.93,0.91
8,0.97,0.93,0.94,0.96,0.94,0.92,0.92,0.9
9,0.95,0.92,0.93,0.95,0.93,0.93,0.92,0.92
10,0.99,0.99,0.99,0.99,0.99,1.0,0.99,0.99
11,0.98,0.98,0.98,0.99,0.99,0.99,0.98,0.97
12,0.98,0.97,0.97,0.98,0.98,0.98,0.97,0.95
13,0.97,0.96,0.98,0.97,0.97,0.99,0.96,0.93
14,0.96,0.95,0.97,0.96,0.98,0.98,0.95,0.92
15,0.95,0.94,0.96,0.95,0.97,0.97,0.94,0.91
16,0.95,0.93,0.95,0.94,0.96,0.96,0.93,0.91
17,0.96,0.92,0.95,0.93,0.96,0.95,0.93,0.92
18,0.94,0.91,0.94,0.92,0.95,0.94,0.92,0.9
19,0.93,0.89,0.93,0.91,0.94,0.94,0.91,0.89
20,1.01,0.99,0.99,0.99,0.99,0.99,0.99,0.99
21,1.0,0.98,0.98,0.98,0.98,0.98,0.98,0.97
22,0.98,0.97,0.97,0.97,0.97,0.98,0.97,0.95
23,0.97,0.95,0.96,0.96,0.96,0.97,0.96,0.94
24,0.96,0.94,0.95,0.95,0.95,0.96,0.95,0.93
25,0.95,0.96,0.94,0.94,0.94,0.95,0.94,0.92
26,0.94,0.94,0.93,0.93,0.93,0.94,0.93,0.91
27,0.93,0.93,0.92,0.92,0.92,0.93,0.92,0.9
28,0.94,0.95,0.91,0.91,0.91,0.92,0.92,0.92
29,0.95,0.94,0.92,0.9,0.9,0.91,0.91,0.91
30,1.01,0.99,0.99,0.99,0.99,0.99,0.99,0.99
31,0.99,0.98,0.98,0.98,0.98,0.98,0.98,0.97
32,0.98,0.97,0.99,0.99,0.97,0.98,0.97,0.98
33,0.97,0.96,0.98,0.98,0.96,0.97,0.96,0.97
34,0.96,0.94,0.97,0.97,0.96,0.96,0.95,0.95
35,0.97,0.93,0.96,0.96,0.95,0.95,0.96,0.94
36,0.95,0.92,0.95,0.95,0.94,0.94,0.95,0.93
37,0.94,0.9,0.95,0.96,0.93,0.93,0.95,0.92
38,0.93,0.89,0.94,0.97,0.92,0.92,0.94,0.94
39,0.92,0.87,0.93,0.96,0.91,0.91,0.93,0.93
40,0.99,0.98,0.99,0.99,0.99,0.99,0.99,1.01
41,1.0,0.97,0.98,0.98,0.98,0.98,0.98,0.99
42,0.98,0.96,0.97,0.99,0.97,0.97,0.97,0.97
43,0.97,0.98,0.96,0.98,0.96,0.96,0.96,0.96
44,0.98,1.0,0.97,0.97,0.95,0.95,0.95,0.95
45,0.98,0.99,0.96,0.96,0.96,0.94,0.94,0.94
46,0.97,0.97,0.97,0.95,0.95,0.94,0.95,0.93
47,0.95,0.96,0.96,0.94,0.95,0.93,0.94,0.92
48,0.94,0.95,0.95,0.93,0.94,0.92,0.93,0.93
49,0.93,0.93,0.94,0.92,0.93,0.91,0.92,0.92
50,1.0,0.98,0.99,0.99,0.99,1.01,0.99,0.98
51,1.02,0.96,0.98,0.99,0.98,1.0,0.98,0.98
52,1.0,0.97,0.97,0.98,0.97,0.99,0.97,0.99
53,0.98,0.96,0.96,0.97,0.96,0.98,0.96,0.98
54,0.97,0.94,0.97,0.96,0.95,0.97,0.97,0.97
55,0.96,0.95,0.96,0.95,0.94,0.96,0.96,0.96
56,0.95,0.97,0.95,0.96,0.95,0.97,0.95,0.95
57,0.96,0.96,0.94,0.95,0.94,0.96,0.94,0.94
58,0.95,0.97,0.93,0.94,0.95,0.95,0.93,0.93
59,0.94,0.96,0.92,0.93,0.94,0.96,0.94,0.92
60,0.99,0.99,0.99,1.0,0.99,0.99,0.99,0.99
61,0.98,0.97,0.99,0.99,0.98,1.0,0.98,0.98
62,0.97,0.95,0.98,0.98,0.97,0.99,0.99,0.97
63,0.95,0.94,0.97,0.97,0.96,0.98,0.98,0.96
64,0.93,0.92,0.96,0.96,0.95,0.97,0.97,0.95
65,0.92,0.91,0.95,0.95,0.96,0.96,0.96,0.93
66,0.93,0.9,0.94,0.94,0.95,0.95,0.97,0.91
67,0.91,0.89,0.93,0.93,0.94,0.95,0.96,0.91
68,0.91,0.88,0.92,0.92,0.93,0.94,0.96,0.89
69,0.89,0.86,0.91,0.91,0.93,0.93,0.95,0.87
70,1.01,0.99,0.99,0.99,0.99,1.01,0.99,0.98
71,1.0,0.98,0.98,0.98,0.98,1.0,1.0,0.97
72,0.98,0.97,0.97,0.97,0.97,0.99,0.99,0.95
73,0.96,0.96,0.96,0.98,0.96,1.0,0.98,0.94
74,0.97,0.95,0.95,0.97,0.95,0.99,0.99,0.93
75,0.95,0.96,0.94,0.96,0.94,0.98,0.98,0.95
76,0.94,0.98,0.93,0.97,0.95,0.97,0.97,0.94
77,0.93,0.96,0.92,0.96,0.94,0.96,0.98,0.93
78,0.92,0.95,0.91,0.95,0.93,0.95,0.99,0.92
79,0.92,0.93,0.9,0.94,0.92,0.95,0.98,0.91
80,0.99,0.98,0.99,0.99,0.99,0.99,0.99,0.98
81,0.98,0.97,0.98,0.98,0.98,0.98,0.98,0.97
82,1.0,0.98,0.97,0.97,0.97,0.97,0.97,0.96
83,1.02,0.97,0.96,0.96,0.96,0.96,0.96,0.94
84,1.01,0.95,0.95,0.95,0.95,0.97,0.95,0.93
85,0.99,0.93,0.94,0.95,0.94,0.96,0.95,0.91
86,0.98,0.92,0.95,0.94,0.93,0.97,0.94,0.9
87,0.97,0.9,0.96,0.93,0.92,0.97,0.93,0.89
88,0.96,0.88,0.95,0.92,0.91,0.96,0.92,0.91
89,0.94,0.87,0.94,0.91,0.9,0.96,0.91,0.9
90,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.98
91,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.96
92,0.97,0.96,0.97,0.98,0.97,0.97,0.97,0.95
93,0.96,0.94,0.96,0.98,0.97,0.96,0.96,0.94
94,0.94,0.93,0.95,0.97,0.96,0.97,0.95,0.92
95,0.93,0.92,0.94,0.96,0.95,0.98,0.94,0.91
96,0.93,0.9,0.93,0.95,0.94,0.99,0.93,0.9
97,0.92,0.88,0.92,0.94,0.93,0.98,0.92,0.89
98,0.91,0.87,0.92,0.95,0.92,0.97,0.91,0.87
99,0.89,0.86,0.91,0.96,0.91,0.96,0.9,0.85
