,bb,random,hi_lo,ko,zen,ten,halves,uston
0,980,990,1000,990,990,990,1000,990
1,1000,1000,990,980,980,980,990,980
2,1020,990,980,990,970,970,980,970
3,1040,980,970,980,960,960,970,960
4,1030,970,980,970,950,950,960,940
5,1010,960,970,970,960,940,950,930
6,990,950,960,980,950,930,940,920
7,990,940,950,970,950,930,930,910
8,970,930,940,960,940,920,920,900
9,950,920,930,950,930,930,920,920
10,940,910,920,940,920,930,910,910
11,930,900,910,940,920,920,900,890
12,930,890,900,930,910,910,890,870
13,920,880,910,920,900,920,880,850
14,910,870,900,910,910,910,870,840
15,900,860,890,900,900,900,860,830
16,900,850,880,890,890,890,850,830
17,910,840,880,880,890,880,850,840
18,890,830,870,870,880,870,840,820
19,880,810,860,860,870,870,830,810
20,890,800,850,850,860,860,820,800
21,880,790,840,840,850,850,810,780
22,860,780,830,830,840,850,800,760
23,850,760,820,820,830,840,790,750
24,840,750,810,810,820,830,780,740
25,830,770,800,800,810,820,770,730
26,820,750,790,790,800,810,760,720
27,810,740,780,780,790,800,750,710
28,820,760,770,770,780,790,750,730
29,830,750,780,760,770,780,740,720
30,840,740,770,750,760,770,730,710
31,820,730,760,740,750,760,720,690
32,810,720,770,750,740,760,710,700
33,800,710,760,740,730,750,700,690
34,790,690,750,730,730,740,690,670
35,800,680,740,720,720,730,700,660
36,780,670,730,710,710,720,690,650
37,770,650,730,720,700,710,690,640
38,760,640,720,730,690,700,680,660
39,750,620,710,720,680,690,670,650
40,740,600,700,710,670,680,660,660
41,750,590,690,700,660,670,650,640
42,730,580,680,710,650,660,640,620
43,720,600,670,700,640,650,630,610
44,730,620,680,690,630,640,620,600
45,730,610,670,680,640,630,610,590
46,720,590,680,670,630,630,620,580
47,700,580,670,660,630,620,610,570
48,690,570,660,650,620,610,600,580
49,680,550,650,640,610,600,590,570
50,680,530,640,630,600,610,580,550
51,700,510,630,630,590,600,570,550
52,680,520,620,620,580,590,560,560
53,660,510,610,610,570,580,550,550
54,650,490,620,600,560,570,560,540
55,640,500,610,590,550,560,550,530
56,630,520,600,600,560,570,540,520
57,640,510,590,590,550,560,530,510
58,630,520,580,580,560,550,520,500
59,620,510,570,570,550,560,530,490
60,610,500,560,570,540,550,520,480
61,600,480,560,560,530,560,510,470
62,590,460,550,550,520,550,520,460
63,570,450,540,540,510,540,510,450
64,550,430,530,530,500,530,500,440
65,540,420,520,520,510,520,490,420
66,550,410,510,510,500,510,500,400
67,530,400,500,500,490,510,490,400
68,530,390,490,490,480,500,490,380
69,510,370,480,480,480,490,480,360
70,520,360,470,470,470,500,470,340
71,510,350,460,460,460,490,480,330
72,490,340,450,450,450,480,470,310
73,470,330,440,460,440,490,460,300
74,480,320,430,450,430,480,470,290
75,460,330,420,440,420,470,460,310
76,450,350,410,450,430,460,450,300
77,440,330,400,440,420,450,460,290
78,430,320,390,430,410,440,470,280
79,430,300,380,420,400,440,460,270
80,420,280,370,410,390,430,450,250
81,410,270,360,400,380,420,440,240
82,430,280,350,390,370,410,430,230
83,450,270,340,380,360,400,420,210
84,440,250,330,370,350,410,410,200
85,420,230,320,370,340,400,410,180
86,410,220,330,360,330,410,400,170
87,400,200,340,350,320,410,390,160
88,390,180,330,340,310,400,380,180
89,370,170,320,330,300,400,370,170
90,360,160,310,320,290,390,360,150
91,350,150,300,310,280,380,350,130
92,340,130,290,310,270,370,340,120
93,330,110,280,310,270,360,330,110
94,310,100,270,300,260,370,320,90
95,300,90,260,290,250,380,310,80
96,300,70,250,280,240,390,300,70
97,290,50,240,270,230,380,290,60
98,280,40,240,280,220,370,280,40
99,260,30,230,290,210,360,270,20
