,bb,random,hi_lo,ko,zen,ten,halves,uston
0,0.99,0.98,0.99,0.99,0.99,1.0,0.99,0.99
1,0.98,0.96,0.98,0.98,0.98,0.99,0.99,1.0
2,0.97,0.95,0.97,0.97,0.97,0.98,0.98,1.01
3,0.95,0.94,0.96,0.96,0.98,0.97,0.97,1.0
4,0.94,0.93,0.96,0.95,0.97,0.96,0.96,0.99
5,0.93,0.92,0.97,0.94,0.96,0.97,0.95,1.0
6,0.92,0.91,0.96,0.93,0.95,0.98,0.95,0.99
7,0.91,0.9,0.95,0.94,0.94,0.97,0.94,0.97
8,0.89,0.89,0.94,0.93,0.93,0.96,0.93,0.97
9,0.9,0.88,0.93,0.92,0.92,0.97,0.92,0.98
10,1.02,0.99,0.99,0.99,0.99,0.99,0.99,0.99
11,1.01,0.98,1.0,0.98,0.98,1.0,0.98,0.98
12,1.02,0.97,0.99,0.97,0.97,0.99,0.97,0.97
13,1.03,0.96,0.98,0.96,0.98,1.0,0.96,0.96
14,1.04,0.95,0.97,0.95,0.97,1.01,0.97,0.98
15,1.03,0.94,0.96,0.94,0.96,1.0,0.96,0.97
16,1.03,0.92,0.95,0.93,0.95,0.99,0.95,0.96
17,1.02,0.9,0.94,0.92,0.94,0.98,0.94,0.95
18,1.04,0.89,0.93,0.92,0.93,0.97,0.93,0.94
19,1.02,0.87,0.92,0.91,0.92,0.96,0.92,0.92
20,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
21,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98
22,0.97,0.97,0.97,0.97,0.97,0.97,0.98,0.99
23,0.96,0.95,0.97,0.98,0.96,0.96,0.97,0.98
24,0.95,0.94,0.96,0.97,0.95,0.95,0.96,0.97
25,0.93,0.95,0.95,0.98,0.94,0.94,0.95,0.96
26,0.91,0.94,0.94,0.97,0.94,0.93,0.94,0.95
27,0.9,0.93,0.93,0.97,0.93,0.92,0.93,0.96
28,0.88,0.92,0.92,0.96,0.92,0.93,0.92,0.95
29,0.87,0.9,0.91,0.95,0.91,0.94,0.91,0.96
30,1.02,1.02,0.99,1.01,0.99,0.99,0.99,1.02
31,1.01,1.0,0.99,1.0,0.98,0.98,0.98,1.01
32,1.01,0.99,0.98,1.01,0.97,0.97,0.97,1.0
33,1.0,0.98,0.97,1.02,0.96,0.96,0.96,0.98
34,0.99,0.97,0.96,1.01,0.95,0.97,0.95,0.97
35,1.0,0.98,0.95,1.0,0.94,0.96,0.94,0.96
36,1.01,0.97,0.95,0.99,0.93,0.95,0.93,0.95
37,1.0,0.96,0.94,0.98,0.92,0.94,0.92,0.94
38,0.99,0.97,0.93,0.98,0.92,0.95,0.91,0.93
39,0.97,0.96,0.92,0.97,0.91,0.94,0.9,0.91
40,1.01,0.99,1.01,0.99,0.99,0.99,0.99,0.98
41,0.99,1.01,1.0,0.98,0.98,0.98,0.98,0.99
42,0.98,0.99,0.99,0.97,0.97,0.97,0.97,0.97
43,0.97,0.97,0.98,0.96,0.96,0.96,0.96,0.96
44,0.98,0.97,0.97,0.95,0.97,0.95,0.95,0.98
45,0.96,0.96,0.96,0.94,0.96,0.94,0.94,0.97
46,0.98,0.96,0.95,0.93,0.95,0.93,0.95,0.96
47,0.99,0.95,0.94,0.93,0.95,0.92,0.95,0.95
48,0.98,0.94,0.93,0.92,0.94,0.91,0.94,0.94
49,0.97,0.92,0.94,0.91,0.93,0.9,0.93,0.96
50,0.99,0.99,0.99,0.99,0.99,0.99,0.99,1.01
51,0.97,0.98,0.98,0.98,0.98,1.0,0.98,1.01
52,0.95,0.97,0.99,0.97,0.97,0.99,0.97,1.0
53,0.94,0.96,0.98,0.96,0.96,0.98,0.96,0.99
54,0.93,0.95,0.97,0.97,0.95,0.98,0.95,0.98
55,0.92,0.94,0.96,0.96,0.94,0.97,0.94,0.99
56,0.91,0.92,0.95,0.95,0.93,0.96,0.93,1.0
57,0.91,0.91,0.96,0.94,0.92,0.95,0.92,0.99
58,0.92,0.89,0.95,0.93,0.91,0.94,0.91,0.98
59,0.91,0.88,0.96,0.94,0.9,0.93,0.9,0.97
60,1.01,0.99,0.99,0.99,0.99,0.99,0.99,1.01
61,1.0,0.99,0.98,0.98,0.98,0.98,0.98,1.0
62,1.0,0.98,0.97,0.97,0.97,0.97,0.97,0.99
63,0.99,0.97,0.96,0.96,0.96,0.96,0.96,0.97
