,bb,random,hi_lo,ko,zen,ten,halves,uston
0,990,980,990,990,990,1000,990,990
1,980,960,980,980,980,990,990,1000
2,970,950,970,970,970,980,980,1010
3,950,940,960,960,980,970,970,1000
4,940,930,960,950,970,960,960,990
5,930,920,970,940,960,970,950,1000
6,920,910,960,930,950,980,950,990
7,910,900,950,940,940,970,940,970
8,890,890,940,930,930,960,930,970
9,900,880,930,920,920,970,920,980
10,920,870,920,910,910,960,910,970
11,910,860,930,900,900,970,900,960
12,920,850,920,890,890,960,890,950
13,930,840,910,880,900,970,880,940
14,940,830,900,870,890,980,890,960
15,930,820,890,860,880,970,880,950
16,930,800,880,850,870,960,870,940
17,920,780,870,840,860,950,860,930
18,940,770,860,840,850,940,850,920
19,920,750,850,830,840,930,840,900
20,910,740,840,820,830,920,830,890
21,900,730,830,810,820,910,820,880
22,890,720,820,800,810,900,820,890
23,880,700,820,810,800,890,810,880
24,870,690,810,800,790,880,800,870
25,850,700,800,810,780,870,790,860
26,830,690,790,800,780,860,780,850
27,820,680,780,800,770,850,770,860
28,800,670,770,790,760,860,760,850
29,790,650,760,780,750,870,750,860
30,810,670,750,790,740,860,740,880
31,800,650,750,780,730,850,730,870
32,800,640,740,790,720,840,720,860
33,790,630,730,800,710,830,710,840
34,780,620,720,790,700,840,700,830
35,790,630,710,780,690,830,690,820
36,800,620,710,770,680,820,680,810
37,790,610,700,760,670,810,670,800
38,780,620,690,760,670,820,660,790
39,760,610,680,750,660,810,650,770
40,770,600,690,740,650,800,640,750
41,750,620,680,730,640,790,630,760
42,740,600,670,720,630,780,620,740
43,730,580,660,710,620,770,610,730
44,740,580,650,700,630,760,600,750
45,720,570,640,690,620,750,590,740
46,740,570,630,680,610,740,600,730
47,750,560,620,680,610,730,600,720
48,740,550,610,670,600,720,590,710
49,730,530,620,660,590,710,580,730
50,720,520,610,650,580,700,570,740
51,700,510,600,640,570,710,560,740
52,680,500,610,630,560,700,550,730
53,670,490,600,620,550,690,540,720
54,660,480,590,630,540,690,530,710
55,650,470,580,620,530,680,520,720
56,640,450,570,610,520,670,510,730
57,640,440,580,600,510,660,500,720
58,650,420,570,590,500,650,490,710
59,640,410,580,600,490,640,480,700
60,650,400,570,590,480,630,470,710
61,640,400,560,580,470,620,460,700
62,640,390,550,570,460,610,450,690
63,630,380,540,560,450,600,440,670
64,620,370,530,550,440,590,430,660
65,620,350,540,540,430,580,420,650
66,600,340,530,530,420,570,410,640
67,590,330,520,540,410,560,400,630
68,580,320,510,530,400,560,410,620
69,560,310,500,520,390,550,400,610
70,550,300,510,510,380,540,390,590
71,530,280,500,520,390,530,380,580
72,520,260,490,510,380,520,370,590
73,510,250,480,500,370,510,360,580
74,490,230,470,490,360,500,350,580
75,470,220,470,500,350,490,340,570
76,450,210,460,490,360,480,350,560
77,430,190,450,500,350,470,350,550
78,410,180,440,490,340,460,340,540
79,400,160,450,480,330,450,330,530
80,390,140,440,470,320,440,320,510
81,370,130,430,460,310,430,310,490
82,380,120,440,450,300,420,300,480
83,360,100,430,440,290,410,290,490
84,360,90,420,430,280,400,280,500
85,340,110,410,420,270,390,270,480
86,330,100,400,410,260,380,260,470
87,320,90,410,400,250,370,250,450
88,310,100,400,390,240,360,260,430
89,290,100,390,400,230,370,250,420
90,270,90,380,390,220,360,240,430
91,260,90,370,380,210,350,230,410
92,250,100,360,370,200,340,220,390
93,240,80,350,360,190,330,210,410
94,240,60,340,360,180,320,200,400
95,250,50,330,350,170,320,190,390
96,240,40,320,340,160,310,180,370
97,230,50,310,330,150,300,190,360
98,220,40,310,320,140,290,180,350
99,200,20,320,310,130,300,170,340
