,bb,random,hi_lo,ko,zen,ten,halves,uston
0,0.98,0.98,0.99,0.99,0.99,0.99,0.99,0.99
1,0.97,0.96,0.98,0.98,0.98,0.98,0.98,1.0
2,0.96,0.97,0.97,0.97,0.97,0.97,0.99,0.99
3,0.97,0.98,0.96,0.96,0.97,0.96,0.98,1.0
4,0.96,0.97,0.95,0.95,0.96,0.95,0.97,1.01
5,0.95,0.96,0.94,0.94,0.95,0.94,0.96,1.0
6,0.94,0.94,0.93,0.93,0.96,0.95,0.97,0.99
7,0.95,0.93,0.92,0.92,0.97,0.94,0.96,0.98
8,0.94,0.92,0.91,0.91,0.98,0.95,0.95,0.96
9,0.93,0.91,0.92,0.9,0.98,0.94,0.94,0.95
10,0.99,0.99,1.01,0.99,0.99,0.99,1.01,0.99
11,0.99,0.97,1.02,0.98,0.98,0.98,1.01,1.0
12,0.97,0.96,1.02,0.97,0.97,0.97,1.0,0.98
13,0.99,0.94,1.01,0.96,0.96,0.96,0.99,0.96
14,0.98,0.96,1.0,0.95,0.95,0.95,0.98,0.95
15,0.97,0.97,0.99,0.94,0.94,0.94,0.97,0.94
16,0.95,0.96,0.98,0.93,0.93,0.93,0.96,0.93
17,0.93,0.95,0.99,0.92,0.92,0.92,0.95,0.91
18,0.93,0.93,0.98,0.91,0.93,0.93,0.94,0.9
19,0.92,0.95,0.97,0.9,0.92,0.92,0.93,0.89
20,0.98,0.99,1.0,1.0,0.99,0.99,0.99,0.98
21,0.98,0.98,0.99,0.99,0.98,0.98,1.0,0.97
22,0.96,0.97,0.98,1.0,0.97,0.97,0.99,0.96
23,0.94,0.96,0.97,1.0,0.96,0.97,0.98,0.95
24,0.93,0.95,0.96,0.99,0.95,0.96,0.97,0.94
25,0.91,0.94,0.95,0.98,0.94,0.95,0.96,0.93
26,0.89,0.92,0.94,0.97,0.93,0.96,0.97,0.92
27,0.88,0.93,0.93,0.96,0.92,0.95,0.96,0.91
28,0.87,0.91,0.92,0.95,0.93,0.94,0.97,0.9
29,0.86,0.89,0.91,0.94,0.92,0.93,0.96,0.88
30,0.98,0.98,0.99,1.01,0.99,0.99,0.99,1.0
31,0.97,0.96,0.98,1.0,0.98,0.98,0.98,1.02
32,0.95,0.94,0.99,0.99,0.97,0.97,0.98,1.01
33,0.94,0.93,0.98,0.98,0.96,0.96,0.97,1.0
34,0.93,0.91,0.97,0.97,0.95,0.95,0.96,0.98
35,0.94,0.9,0.97,0.98,0.94,0.94,0.95,0.96
36,0.93,0.89,0.96,0.98,0.93,0.93,0.94,0.94
37,0.92,0.87,0.95,0.97,0.94,0.92,0.93,0.93
38,0.91,0.89,0.94,0.96,0.93,0.91,0.92,0.91
39,0.9,0.9,0.93,0.95,0.92,0.9,0.91,0.93
