,bb,random,hi_lo,ko,zen,ten,halves,uston
0,980,980,990,990,990,990,990,990
1,970,960,980,980,980,980,980,1000
2,960,970,970,970,970,970,990,990
3,970,980,960,960,970,960,980,1000
4,960,970,950,950,960,950,970,1010
5,950,960,940,940,950,940,960,1000
6,940,940,930,930,960,950,970,990
7,950,930,920,920,970,940,960,980
8,940,920,910,910,980,950,950,960
9,930,910,920,900,980,940,940,950
10,920,900,930,890,970,930,950,940
11,920,880,940,880,960,920,950,950
12,900,870,940,870,950,910,940,930
13,920,850,930,860,940,900,930,910
14,910,870,920,850,930,890,920,900
15,900,880,910,840,920,880,910,890
16,880,870,900,830,910,870,900,880
17,860,860,910,820,900,860,890,860
18,860,840,900,810,910,870,880,850
19,850,860,890,800,900,860,870,840
20,830,850,890,800,890,850,860,820
21,830,840,880,790,880,840,870,810
22,810,830,870,800,870,830,860,800
23,790,820,860,800,860,830,850,790
24,780,810,850,790,850,820,840,780
25,760,800,840,780,840,810,830,770
26,740,780,830,770,830,820,840,760
27,730,790,820,760,820,810,830,750
28,720,770,810,750,830,800,840,740
29,710,750,800,740,820,790,830,720
30,690,730,790,750,810,780,820,720
31,680,710,780,740,800,770,810,740
32,660,690,790,730,790,760,810,730
33,650,680,780,720,780,750,800,720
34,640,660,770,710,770,740,790,700
35,650,650,770,720,760,730,780,680
36,640,640,760,720,750,720,770,660
37,630,620,750,710,760,710,760,650
38,620,640,740,700,750,700,750,630
39,610,650,730,690,740,690,740,650
40,590,640,720,690,730,700,730,640
41,600,630,710,700,740,690,720,620
42,580,610,700,690,730,700,730,610
43,570,600,690,680,720,700,720,600
44,550,590,680,670,710,690,710,580
45,550,570,670,660,700,680,700,570
46,530,550,660,650,710,670,690,560
47,520,530,650,640,700,660,680,550
48,500,520,640,630,690,650,690,540
49,520,530,630,620,680,640,680,530
50,500,520,620,610,680,630,670,530
51,490,500,610,620,670,620,670,520
52,480,490,600,610,660,610,680,510
53,460,480,590,600,650,600,680,500
54,450,470,580,590,660,590,670,510
55,440,450,590,580,650,580,680,500
56,430,430,580,570,640,580,670,490
57,410,410,570,560,630,590,660,480
58,390,420,560,560,620,580,650,470
59,400,410,570,570,610,590,640,480
60,410,400,560,560,600,580,630,470
61,400,380,550,550,590,570,620,450
62,380,390,540,540,580,560,610,440
63,370,370,530,530,570,550,610,430
64,360,350,530,520,560,540,600,420
65,380,370,520,510,560,550,600,410
66,370,360,510,520,550,540,590,400
67,360,350,500,510,540,530,580,380
68,360,350,490,500,530,520,580,360
69,380,330,480,490,540,510,590,340
70,380,320,490,480,550,500,580,330
71,380,310,480,470,540,490,570,320
72,400,300,470,480,530,500,560,300
73,390,290,460,470,520,490,550,290
74,380,280,450,460,510,500,540,280
75,370,270,440,470,500,490,530,270
76,360,260,430,460,490,480,520,250
77,350,250,420,450,480,490,520,240
78,330,240,410,440,470,500,530,230
79,350,230,400,450,460,490,520,220
80,340,210,390,440,450,480,530,230
81,350,190,400,430,440,470,520,220
82,340,200,410,420,450,460,510,210
83,350,190,420,430,440,450,500,200
84,340,170,410,420,430,440,490,190
85,320,160,420,410,420,430,490,180
86,300,140,410,400,430,420,480,170
87,290,130,400,410,420,410,470,150
88,270,120,390,400,430,400,480,150
89,250,110,380,390,420,410,490,140
90,240,100,370,380,420,400,480,150
91,230,100,360,370,410,390,470,130
92,250,110,350,360,400,380,460,120
93,260,100,360,350,400,370,450,130
94,270,90,350,360,390,360,440,120
95,270,70,340,350,380,370,430,110
96,250,60,330,340,390,380,430,110
97,240,50,340,340,380,370,420,90
98,220,40,340,330,370,360,410,80
99,210,30,330,320,360,350,400,70
