,bb,random,hi_lo,ko,zen,ten,halves,uston
0,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.98
1,0.98,0.99,0.98,0.98,0.98,0.98,0.98,0.97
2,0.97,0.98,0.97,0.97,0.97,0.97,0.97,0.97
3,0.95,0.97,0.96,0.96,0.97,0.96,0.96,0.96
4,0.94,0.95,0.95,0.96,0.98,0.95,0.95,0.95
5,0.95,0.94,0.94,0.95,0.97,0.94,0.94,0.94
6,0.96,0.93,0.93,0.94,0.96,0.93,0.93,0.92
7,0.95,0.92,0.92,0.93,0.95,0.92,0.92,0.93
8,0.94,0.91,0.91,0.94,0.95,0.91,0.91,0.93
9,0.96,0.9,0.9,0.95,0.94,0.9,0.92,0.95
10,0.99,1.0,1.0,0.99,0.99,0.99,0.99,0.99
11,0.99,0.99,0.99,0.98,0.98,0.98,0.98,0.98
12,1.0,1.0,0.98,0.97,0.97,0.97,0.97,0.97
13,1.01,0.98,0.99,0.96,0.98,0.96,0.96,0.98
14,1.02,0.96,0.98,0.95,0.98,0.95,0.95,0.99
15,1.01,0.95,0.97,0.94,0.97,0.94,0.95,1.0
16,0.99,0.93,0.96,0.93,0.96,0.93,0.96,0.99
17,0.97,0.92,0.95,0.92,0.96,0.92,0.97,0.97
18,0.98,0.91,0.94,0.93,0.95,0.93,0.96,0.96
19,1.0,0.89,0.93,0.92,0.96,0.92,0.97,0.95
20,0.99,0.99,0.99,1.01,0.99,0.99,0.99,0.99
21,0.99,0.98,0.98,1.0,0.98,0.98,0.98,0.98
22,0.97,0.99,0.97,1.01,0.98,0.97,0.97,0.97
23,0.96,0.98,0.96,1.0,0.97,0.98,0.96,0.96
24,0.94,0.97,0.95,0.99,0.96,0.97,0.95,0.95
25,0.93,0.96,0.95,0.98,0.95,0.97,0.94,0.94
26,0.92,0.95,0.94,0.97,0.94,0.96,0.93,0.93
27,0.91,0.94,0.95,0.96,0.93,0.97,0.92,0.94
28,0.9,0.93,0.95,0.95,0.94,0.98,0.91,0.93
29,0.92,0.91,0.94,0.94,0.93,0.97,0.92,0.93
30,0.99,0.98,0.99,0.99,1.0,0.99,0.99,0.99
31,0.97,0.97,0.98,0.98,0.99,0.98,0.98,0.97
32,0.96,0.96,0.97,0.99,0.98,0.97,0.97,0.96
33,0.95,0.95,0.96,0.98,0.97,0.96,0.96,0.95
34,0.94,0.95,0.95,0.97,0.98,0.95,0.95,0.94
35,0.93,0.93,0.94,0.96,0.97,0.94,0.94,0.93
36,0.91,0.92,0.93,0.95,0.98,0.93,0.93,0.91
37,0.92,0.9,0.92,0.94,0.97,0.92,0.92,0.92
38,0.93,0.89,0.91,0.93,0.96,0.91,0.91,0.93
39,0.92,0.88,0.9,0.92,0.95,0.9,0.9,0.92
40,1.0,0.98,0.99,0.99,0.99,1.01,0.99,0.98
41,1.0,0.97,0.98,0.98,0.98,1.0,0.98,0.99
42,0.98,0.96,0.97,0.99,0.99,0.99,0.97,0.98
43,0.98,0.94,0.98,0.98,0.98,0.98,0.97,0.97
44,0.99,0.92,0.98,0.97,0.97,0.97,0.96,0.96
45,0.97,0.91,0.98,0.96,0.98,0.98,0.95,0.95
46,0.96,0.89,0.97,0.95,0.97,0.97,0.94,0.94
47,0.94,0.87,0.96,0.94,0.96,0.96,0.93,0.93
48,0.96,0.86,0.97,0.95,0.95,0.95,0.92,0.92
49,0.98,0.85,0.96,0.94,0.94,0.96,0.91,0.9
50,0.98,0.99,1.01,1.01,0.99,0.99,0.99,0.98
51,0.99,0.97,1.0,1.02,0.98,0.98,0.98,0.96
52,0.98,0.96,0.99,1.01,0.97,0.99,0.97,0.95
53,1.0,0.95,0.98,1.0,0.98,0.98,0.96,0.94
54,0.99,0.93,0.97,0.99,0.99,0.97,0.95,0.93
55,0.97,0.91,0.96,0.99,0.98,0.96,0.94,0.92
56,0.96,0.9,0.95,0.98,0.99,0.97,0.93,0.91
57,0.95,0.88,0.94,0.98,1.0,0.96,0.92,0.9
58,0.94,0.89,0.93,0.97,0.99,0.95,0.91,0.89
59,0.93,0.88,0.92,0.96,0.98,0.94,0.9,0.87
60,0.99,0.98,0.99,0.99,0.99,0.99,0.99,0.99
61,1.01,0.96,0.98,0.98,0.98,0.98,0.98,0.97
62,1.03,0.95,0.97,0.97,0.97,0.97,0.99,0.97
63,1.02,0.94,0.96,0.96,0.98,0.96,0.98,0.98
64,1.01,0.93,0.97,0.95,0.97,0.95,0.97,1.0
