,bb,random,hi_lo,ko,zen,ten,halves,uston
0,990,990,990,990,990,990,990,980
1,980,990,980,980,980,980,980,970
2,970,980,970,970,970,970,970,970
3,950,970,960,960,970,960,960,960
4,940,950,950,960,980,950,950,950
5,950,940,940,950,970,940,940,940
6,960,930,930,940,960,930,930,920
7,950,920,920,930,950,920,920,930
8,940,910,910,940,950,910,910,930
9,960,900,900,950,940,900,920,950
10,950,900,900,940,930,890,910,940
11,950,890,890,930,920,880,900,930
12,960,900,880,920,910,870,890,920
13,970,880,890,910,920,860,880,930
14,980,860,880,900,920,850,870,940
15,970,850,870,890,910,840,870,950
16,950,830,860,880,900,830,880,940
17,930,820,850,870,900,820,890,920
18,940,810,840,880,890,830,880,910
19,960,790,830,870,900,820,890,900
20,950,780,820,880,890,810,880,890
21,950,770,810,870,880,800,870,880
22,930,780,800,880,880,790,860,870
23,920,770,790,870,870,800,850,860
24,900,760,780,860,860,790,840,850
25,890,750,780,850,850,790,830,840
26,880,740,770,840,840,780,820,830
27,870,730,780,830,830,790,810,840
28,860,720,780,820,840,800,800,830
29,880,700,770,810,830,790,810,830
30,870,680,760,800,830,780,800,820
31,850,670,750,790,820,770,790,800
32,840,660,740,800,810,760,780,790
33,830,650,730,790,800,750,770,780
34,820,650,720,780,810,740,760,770
35,810,630,710,770,800,730,750,760
36,790,620,700,760,810,720,740,740
37,800,600,690,750,800,710,730,750
38,810,590,680,740,790,700,720,760
39,800,580,670,730,780,690,710,750
40,800,560,660,720,770,700,700,730
41,800,550,650,710,760,690,690,740
42,780,540,640,720,770,680,680,730
43,780,520,650,710,760,670,680,720
44,790,500,650,700,750,660,670,710
45,770,490,650,690,760,670,660,700
46,760,470,640,680,750,660,650,690
47,740,450,630,670,740,650,640,680
48,760,440,640,680,730,640,630,670
49,780,430,630,670,720,650,620,650
50,760,420,640,680,710,640,610,630
51,770,400,630,690,700,630,600,610
52,760,390,620,680,690,640,590,600
53,780,380,610,670,700,630,580,590
54,770,360,600,660,710,620,570,580
55,750,340,590,660,700,610,560,570
56,740,330,580,650,710,620,550,560
57,730,310,570,650,720,610,540,550
58,720,320,560,640,710,600,530,540
59,710,310,550,630,700,590,520,520
60,700,290,540,620,690,580,510,510
61,720,270,530,610,680,570,500,490
62,740,260,520,600,670,560,510,490
63,730,250,510,590,680,550,500,500
64,720,240,520,580,670,540,490,520
65,720,230,510,570,660,530,480,510
66,710,220,500,560,650,530,470,510
67,710,240,490,550,650,530,460,490
68,710,230,480,560,640,520,450,480
69,720,220,470,550,630,530,440,470
70,700,200,460,540,640,520,430,480
71,680,190,450,530,630,510,420,470
72,670,200,440,530,620,500,410,460
73,660,210,430,520,610,510,410,450
74,670,200,420,510,600,500,400,470
75,650,190,410,500,590,490,390,460
76,640,180,400,490,580,500,380,440
77,630,190,410,480,570,490,370,450
78,610,170,400,490,560,480,380,440
79,590,160,390,500,550,470,370,430
80,580,140,380,500,540,460,360,420
81,570,160,370,490,530,450,350,410
82,560,140,380,480,520,440,340,400
83,540,130,370,470,510,430,330,380
84,530,110,360,460,520,420,320,390
85,520,100,350,450,530,410,310,380
86,510,90,340,440,520,400,300,400
87,500,100,330,450,510,410,290,390
88,490,90,320,440,500,400,300,380
89,490,70,320,440,490,390,290,360
90,500,60,330,430,480,380,280,350
91,490,40,330,440,490,370,290,340
92,480,60,320,430,480,360,280,330
93,470,50,310,440,470,350,290,310
94,460,60,300,430,460,340,280,290
95,450,50,290,420,470,330,270,280
96,440,30,280,410,460,320,260,280
97,430,10,270,400,470,310,250,270
98,420,0,280,390,480,300,240,290
99,420,10,270,380,470,310,230,280
