,bb,random,hi_lo,ko,zen,ten,halves,uston
0,1.01,0.99,1.01,1.0,1.01,0.99,0.99,1.01
1,1.02,0.98,1.0,0.99,1.0,0.98,0.98,1.0
2,1.01,0.96,0.99,1.0,0.99,0.97,0.97,0.98
3,1.0,0.95,0.98,0.99,0.98,0.96,0.97,0.99
4,0.99,0.94,0.97,0.98,0.97,0.95,0.96,0.98
5,0.99,0.92,0.96,0.97,0.96,0.94,0.95,0.97
6,0.98,0.91,0.95,0.96,0.96,0.95,0.94,0.96
7,0.97,0.9,0.94,0.97,0.95,0.96,0.93,0.95
8,0.95,0.89,0.95,0.96,0.94,0.95,0.92,0.94
9,0.93,0.87,0.94,0.95,0.93,0.94,0.91,0.93
10,0.99,0.99,1.01,0.99,0.99,1.01,1.01,0.98
11,0.98,0.98,1.02,0.99,0.98,1.02,1.0,0.98
12,0.97,0.97,1.01,1.0,0.97,1.03,0.99,0.97
13,0.99,0.95,1.0,0.99,0.96,1.02,1.0,0.98
14,0.97,0.94,0.99,0.98,0.95,1.01,0.99,0.97
15,0.98,0.92,0.98,0.97,0.94,1.0,0.98,0.96
16,0.97,0.9,0.97,0.96,0.95,0.99,0.98,0.94
17,0.96,0.88,0.98,0.97,0.94,0.99,0.98,0.93
18,0.95,0.9,0.97,0.96,0.93,0.98,0.97,0.92
19,0.95,0.89,0.96,0.97,0.92,0.97,0.96,0.93
20,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
21,0.98,0.98,0.98,0.98,0.98,1.0,0.98,1.0
22,1.0,0.97,0.97,0.97,0.98,0.99,0.99,1.0
23,0.99,0.96,0.96,0.96,0.97,0.98,0.98,0.99
24,0.99,0.98,0.97,0.95,0.98,0.97,0.97,0.98
25,0.98,0.99,0.96,0.94,0.99,0.96,0.96,0.97
26,0.98,0.98,0.95,0.93,0.98,0.95,0.95,0.96
27,0.96,0.97,0.94,0.94,0.97,0.94,0.94,0.95
28,0.95,0.96,0.93,0.93,0.97,0.93,0.93,0.93
29,0.94,0.98,0.92,0.94,0.96,0.92,0.92,0.94
30,1.0,0.98,0.99,0.99,0.99,0.99,1.01,0.99
31,0.98,0.97,0.98,0.98,0.98,0.98,1.0,0.98
32,0.97,0.96,0.97,0.97,0.97,0.98,0.99,0.96
33,0.95,0.95,0.96,0.96,0.96,0.97,0.98,0.94
34,0.94,0.94,0.95,0.95,0.97,0.96,0.97,0.93
35,0.93,0.93,0.94,0.96,0.96,0.95,0.98,0.91
36,0.91,0.92,0.93,0.95,0.95,0.94,0.98,0.91
37,0.93,0.91,0.92,0.94,0.94,0.93,0.97,0.92
38,0.92,0.9,0.91,0.93,0.93,0.92,0.96,0.91
39,0.93,0.88,0.9,0.92,0.92,0.91,0.95,0.9
40,0.98,0.98,1.01,0.99,1.01,0.99,0.99,0.99
41,0.97,0.97,1.0,1.0,1.0,0.98,0.98,0.98
42,0.98,0.95,1.01,1.0,0.99,0.97,0.97,0.96
43,0.97,0.95,1.02,0.99,1.0,0.96,0.96,0.94
44,0.96,0.93,1.01,0.98,0.99,0.95,0.95,0.94
45,0.95,0.91,1.0,0.97,0.98,0.94,0.95,0.92
46,0.94,0.92,0.99,0.96,0.97,0.93,0.94,0.91
47,0.92,0.91,0.98,0.97,0.98,0.92,0.93,0.9
48,0.94,0.89,0.99,0.96,0.97,0.91,0.92,0.89
49,0.94,0.91,0.98,0.95,0.98,0.9,0.91,0.87
50,0.99,0.99,0.99,0.99,1.01,0.99,0.99,0.99
51,0.98,0.98,0.98,0.98,1.0,0.98,0.98,1.0
52,0.97,0.96,0.97,0.97,0.99,0.97,0.97,0.99
53,0.95,0.97,0.96,0.98,0.98,0.96,0.96,0.98
54,0.97,0.95,0.97,0.97,0.97,0.95,0.95,0.99
55,0.96,0.93,0.98,0.98,0.98,0.94,0.94,0.98
56,0.95,0.94,0.99,0.97,0.98,0.95,0.93,0.96
57,0.93,0.93,0.98,0.96,0.99,0.96,0.92,0.97
58,0.92,0.91,0.97,0.95,0.99,0.95,0.91,0.95
59,0.9,0.9,0.96,0.94,0.98,0.94,0.9,0.93
60,0.99,0.98,0.99,0.99,0.99,0.99,0.99,1.0
61,0.99,0.97,0.98,0.98,0.98,0.98,0.98,0.99
62,0.98,0.96,0.97,0.99,0.97,0.97,0.97,0.98
63,0.99,0.97,0.96,0.98,0.96,0.96,0.96,0.98
64,0.97,0.95,0.95,0.97,0.95,0.95,0.95,1.0
65,0.96,0.94,0.94,0.96,0.94,0.94,0.94,1.01
66,0.94,0.93,0.93,0.96,0.93,0.93,0.95,1.0
67,0.93,0.91,0.92,0.95,0.92,0.92,0.94,1.01
68,0.94,0.91,0.91,0.94,0.91,0.93,0.93,0.99
69,0.93,0.9,0.9,0.93,0.9,0.92,0.92,0.98
70,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
71,0.97,0.98,0.98,0.98,0.98,0.98,0.98,0.98
72,0.96,0.97,0.97,0.97,0.97,0.97,0.97,0.97
73,0.95,0.96,0.96,0.96,0.96,0.96,0.96,0.96
74,0.94,0.95,0.95,0.95,0.95,0.95,0.95,0.95
75,0.93,0.94,0.94,0.96,0.94,0.96,0.96,0.94
76,0.92,0.92,0.93,0.95,0.93,0.95,0.95,0.93
77,0.93,0.9,0.92,0.94,0.92,0.94,0.94,0.92
78,0.91,0.92,0.91,0.93,0.91,0.93,0.95,0.9
79,0.93,0.9,0.9,0.92,0.9,0.92,0.94,0.89
80,0.99,1.01,0.99,0.99,0.99,0.99,0.99,0.99
81,0.98,0.99,0.98,0.98,0.98,0.98,0.98,0.98
82,0.99,0.98,0.97,0.99,0.97,0.97,0.97,0.99
83,0.98,0.97,0.96,0.98,0.96,0.96,0.96,0.98
84,0.97,0.96,0.97,0.97,0.95,0.95,0.95,0.97
85,0.96,0.95,0.97,0.96,0.94,0.94,0.94,0.96
86,0.95,0.94,0.96,0.95,0.95,0.93,0.95,0.95
87,0.93,0.92,0.95,0.94,0.94,0.92,0.94,0.94
88,0.94,0.91,0.94,0.93,0.93,0.91,0.93,0.93
89,0.92,0.9,0.95,0.92,0.92,0.9,0.92,0.92
90,0.99,0.98,0.99,0.99,0.99,1.0,0.99,0.99
91,0.98,0.97,0.98,0.98,0.98,0.99,0.98,0.98
92,1.0,0.96,0.97,0.97,0.97,0.98,0.97,0.97
93,0.99,0.96,0.96,0.96,0.98,0.97,0.96,0.96
94,0.97,0.95,0.95,0.95,0.97,0.96,0.95,0.95
95,0.96,0.94,0.94,0.94,0.96,0.95,0.94,0.93
96,0.95,0.93,0.93,0.93,0.95,0.94,0.93,0.92
97,0.93,0.91,0.92,0.92,0.96,0.93,0.92,0.9
98,0.92,0.9,0.91,0.92,0.97,0.93,0.91,0.89
99,0.91,0.88,0.91,0.91,0.96,0.92,0.9,0.87
