,bb,random,hi_lo,ko,zen,ten,halves,uston
0,0.98,0.99,0.99,1.0,1.0,0.99,0.99,0.98
1,0.99,0.98,0.98,0.99,0.99,0.98,0.98,0.97
2,1.0,0.96,0.97,0.98,0.99,0.97,0.97,0.96
3,0.98,0.95,0.96,0.97,0.98,0.96,0.96,0.94
4,0.96,0.94,0.95,0.98,0.97,0.95,0.97,0.92
5,0.95,0.92,0.96,0.97,0.96,0.94,0.98,0.9
6,0.96,0.91,0.95,0.96,0.95,0.93,0.97,0.89
7,0.95,0.9,0.94,0.96,0.94,0.94,0.96,0.88
8,0.96,0.89,0.93,0.95,0.93,0.93,0.95,0.89
9,0.95,0.88,0.92,0.94,0.92,0.92,0.94,0.88
10,1.0,0.99,0.99,0.99,0.99,0.99,0.99,0.99
11,0.99,0.97,0.98,1.0,0.98,0.98,0.98,0.97
12,0.98,0.96,0.98,0.99,0.98,0.98,0.97,0.95
13,0.96,0.96,0.97,1.0,0.97,0.97,0.96,0.96
14,0.96,0.95,0.96,0.99,0.96,0.96,0.95,0.95
15,0.95,0.93,0.95,0.98,0.95,0.95,0.94,0.94
16,0.94,0.92,0.94,0.98,0.96,0.94,0.93,0.95
17,0.96,0.9,0.93,0.97,0.95,0.93,0.92,0.94
18,0.94,0.92,0.92,0.96,0.94,0.94,0.91,0.94
19,0.93,0.91,0.91,0.95,0.93,0.93,0.9,0.95
20,1.01,0.98,1.01,0.99,0.99,1.01,0.99,0.99
21,0.99,0.97,1.02,0.98,0.98,1.0,0.98,0.99
22,0.98,0.96,1.01,0.97,0.97,0.99,0.99,0.98
23,0.96,0.95,1.0,0.96,0.96,0.98,0.98,0.97
24,0.94,0.94,0.99,0.96,0.95,0.99,0.97,0.96
25,0.92,0.92,0.99,0.95,0.94,0.98,0.96,0.94
26,0.9,0.9,0.98,0.94,0.93,0.99,0.95,0.92
27,0.9,0.89,0.97,0.93,0.92,0.98,0.94,0.92
28,0.9,0.88,0.96,0.92,0.91,0.97,0.95,0.94
29,0.91,0.87,0.95,0.91,0.9,0.96,0.94,0.93
30,0.98,1.01,1.01,0.99,0.99,0.99,0.99,1.01
31,0.98,1.0,1.02,0.98,0.98,1.0,1.0,1.0
32,0.97,0.99,1.03,0.97,0.99,0.99,0.99,0.99
33,0.96,0.97,1.02,0.97,0.98,0.98,0.98,0.98
34,0.95,0.96,1.01,0.96,0.97,0.99,0.97,0.97
35,0.94,0.97,1.0,0.95,0.97,1.0,0.98,0.96
36,0.93,0.96,1.01,0.96,0.96,1.0,0.97,0.95
37,0.94,0.97,1.0,0.97,0.95,0.99,0.96,0.97
38,0.92,0.98,0.99,0.96,0.94,0.98,0.95,0.96
39,0.93,0.97,0.98,0.95,0.93,0.97,0.94,0.95
40,1.01,0.99,0.99,0.99,0.99,0.99,0.99,0.99
41,1.0,0.99,0.99,0.98,0.98,0.98,0.98,1.01
42,0.98,0.98,0.98,0.99,0.97,0.97,0.97,0.99
43,1.0,0.99,0.97,0.98,0.96,0.98,0.98,0.97
44,1.0,0.97,0.96,0.97,0.95,0.97,0.97,0.96
45,0.99,0.96,0.95,0.96,0.94,0.96,0.98,0.95
46,0.97,0.95,0.94,0.95,0.93,0.95,0.97,0.93
47,0.96,0.96,0.93,0.94,0.93,0.94,0.96,0.92
48,0.97,0.94,0.92,0.93,0.92,0.93,0.95,0.91
49,0.95,0.93,0.91,0.92,0.93,0.92,0.94,0.93
