,bb,random,hi_lo,ko,zen,ten,halves,uston
0,980,990,990,1000,1000,990,990,980
1,990,980,980,990,990,980,980,970
2,1000,960,970,980,990,970,970,960
3,980,950,960,970,980,960,960,940
4,960,940,950,980,970,950,970,920
5,950,920,960,970,960,940,980,900
6,960,910,950,960,950,930,970,890
7,950,900,940,960,940,940,960,880
8,960,890,930,950,930,930,950,890
9,950,880,920,940,920,920,940,880
10,950,870,910,930,910,910,930,870
11,940,850,900,940,900,900,920,850
12,930,840,900,930,900,900,910,830
13,910,840,890,940,890,890,900,840
14,910,830,880,930,880,880,890,830
15,900,810,870,920,870,870,880,820
16,890,800,860,920,880,860,870,830
17,910,780,850,910,870,850,860,820
18,890,800,840,900,860,860,850,820
19,880,790,830,890,850,850,840,830
20,890,770,840,880,840,860,830,820
21,870,760,850,870,830,850,820,820
22,860,750,840,860,820,840,830,810
23,840,740,830,850,810,830,820,800
24,820,730,820,850,800,840,810,790
25,800,710,820,840,790,830,800,770
26,780,690,810,830,780,840,790,750
27,780,680,800,820,770,830,780,750
28,780,670,790,810,760,820,790,770
29,790,660,780,800,750,810,780,760
30,770,670,790,790,740,800,770,770
31,770,660,800,780,730,810,780,760
32,760,650,810,770,740,800,770,750
33,750,630,800,770,730,790,760,740
34,740,620,790,760,720,800,750,730
35,730,630,780,750,720,810,760,720
36,720,620,790,760,710,810,750,710
37,730,630,780,770,700,800,740,730
38,710,640,770,760,690,790,730,720
39,720,630,760,750,680,780,720,710
40,730,620,750,740,670,770,710,700
41,720,620,750,730,660,760,700,720
42,700,610,740,740,650,750,690,700
43,720,620,730,730,640,760,700,680
44,720,600,720,720,630,750,690,670
45,710,590,710,710,620,740,700,660
46,690,580,700,700,610,730,690,640
47,680,590,690,690,610,720,680,630
48,690,570,680,680,600,710,670,620
49,670,560,670,670,610,700,660,640
50,670,570,660,660,600,690,650,620
51,660,560,670,670,590,700,640,630
52,670,540,660,670,580,690,640,610
53,650,520,650,660,570,680,630,600
54,630,500,640,650,560,670,640,590
55,620,500,630,660,550,660,650,580
56,630,480,620,650,540,650,640,570
57,630,470,610,640,530,640,630,580
58,620,460,600,630,520,630,620,570
59,630,440,590,620,510,620,610,560
60,620,460,580,610,500,610,600,550
61,630,450,570,600,490,600,590,540
62,640,430,580,610,480,590,580,530
63,620,430,570,600,470,580,570,520
64,610,420,560,590,460,570,580,510
65,590,410,550,580,450,560,590,500
66,600,420,540,570,440,550,580,490
67,590,410,550,560,430,540,570,480
68,570,390,540,550,440,530,560,470
69,560,370,550,540,430,540,550,460
70,550,360,540,530,420,550,540,450
71,540,350,530,520,430,540,530,460
72,530,330,520,510,420,530,520,470
73,520,320,510,500,410,520,510,460
74,510,310,500,490,400,510,500,450
75,530,300,490,480,390,500,490,450
76,520,290,480,470,380,490,480,430
77,510,280,470,460,370,500,490,420
78,510,260,460,460,360,490,480,410
79,520,280,450,450,350,480,490,390
80,510,270,460,440,340,470,480,380
81,510,280,460,430,330,460,470,370
82,490,290,450,420,320,460,460,360
83,490,270,440,430,310,450,450,370
84,500,250,430,440,310,440,440,360
85,510,230,430,430,300,430,430,340
86,490,210,420,420,290,430,420,330
87,470,230,410,410,300,420,410,320
88,460,220,410,400,290,410,410,310
89,460,210,400,400,280,400,400,300
90,450,220,390,400,270,410,390,290
91,440,210,400,390,260,420,380,280
92,430,200,390,400,250,410,370,270
93,440,190,380,410,240,400,360,260
94,430,180,370,400,230,390,350,240
95,450,160,360,390,220,380,360,230
96,440,180,370,380,210,380,350,210
97,420,170,360,390,200,370,360,190
98,410,160,350,380,190,380,370,180
99,390,140,340,380,180,370,360,190
