,bb,random,hi_lo,ko,zen,ten,halves,uston
0,1015,1030,990,990,1015,990,990,1000
1,1030,1045,1005,980,1005,1005,980,990
2,1020,1075,1020,970,1020,1020,995,980
3,1035,1075,1035,960,1010,1035,985,980
4,1025,1055,1050,975,1025,1025,1000,970
5,1025,1070,1040,965,1040,1040,1015,960
6,1015,1060,1030,980,1055,1055,1005,960
7,1030,1075,1045,970,1070,1045,1005,940
8,1045,1090,1060,985,1085,1060,1020,955
9,1060,1070,1050,975,1075,1050,1035,935
10,1075,1060,1065,990,1090,1050,1025,950
11,1065,1040,1080,1005,1070,1065,1040,980
12,1080,1055,1095,1020,1070,1065,1055,970
13,1070,1085,1095,1010,1085,1080,1045,950
14,1060,1075,1095,1000,1100,1095,1035,940
15,1075,1075,1110,990,1090,1085,1050,920
16,1090,1055,1100,1005,1080,1075,1040,935
17,1105,1070,1090,1020,1095,1090,1055,950
18,1105,1070,1105,1035,1095,1105,1070,980
19,1095,1085,1120,1025,1110,1120,1060,1010
20,1095,1100,1135,1040,1125,1110,1075,1040
21,1110,1090,1150,1055,1115,1125,1090,1070
22,1100,1070,1150,1070,1130,1140,1090,1085
23,1100,1050,1165,1060,1145,1155,1080,1065
24,1100,1050,1180,1075,1160,1155,1095,1055
25,1090,1065,1195,1090,1175,1145,1095,1070
26,1105,1065,1185,1105,1165,1160,1110,1070
27,1095,1080,1200,1120,1165,1150,1100,1085
28,1085,1080,1215,1135,1180,1150,1100,1100
29,1100,1080,1215,1150,1170,1165,1100,1080
30,1115,1070,1230,1140,1185,1180,1115,1070
31,1130,1050,1245,1155,1175,1195,1130,1050
32,1145,1065,1235,1170,1190,1185,1120,1030
33,1160,1055,1225,1160,1205,1175,1135,1045
34,1140,1085,1240,1150,1220,1165,1135,1025
35,1155,1100,1230,1165,1235,1180,1125,1055
36,1170,1090,1220,1180,1225,1195,1140,1085
37,1185,1080,1210,1180,1240,1210,1130,1065
38,1165,1110,1225,1170,1270,1200,1145,1045
39,1155,1100,1215,1185,1260,1190,1135,1035
40,1170,1115,1230,1175,1275,1180,1150,1050
41,1150,1130,1245,1190,1265,1195,1140,1040
42,1165,1160,1260,1180,1265,1210,1155,1030
43,1165,1140,1250,1170,1280,1200,1170,1045
44,1180,1130,1240,1160,1295,1215,1170,1075
45,1210,1120,1255,1150,1285,1230,1170,1065
46,1225,1135,1270,1165,1300,1220,1160,1095
47,1240,1115,1260,1165,1315,1210,1160,1085
48,1240,1095,1275,1180,1305,1225,1175,1100
49,1220,1075,1265,1195,1320,1240,1165,1090
50,1200,1090,1265,1185,1310,1255,1155,1090
51,1215,1105,1255,1200,1325,1270,1170,1070
52,1230,1120,1255,1190,1340,1285,1160,1060
53,1220,1135,1270,1205,1355,1300,1160,1060
54,1210,1125,1285,1220,1345,1315,1160,1075
55,1225,1140,1300,1235,1335,1305,1175,1105
56,1240,1130,1290,1250,1325,1320,1190,1105
57,1230,1145,1305,1250,1315,1335,1205,1095
58,1245,1125,1320,1240,1330,1350,1205,1110
59,1260,1115,1335,1230,1345,1365,1195,1100
60,1275,1130,1325,1245,1345,1380,1210,1115
