,bb,random,hi_lo,ko,zen,ten,halves,uston
0,1.03,0.99,0.99,0.99,1.0,0.99,1.015,1.03
1,1.02,1.005,1.005,1.005,0.99,0.99,1.03,1.045
2,1.035,1.02,0.995,1.02,1.005,1.005,1.045,1.025
3,1.025,1.01,0.985,1.02,0.995,1.02,1.045,1.04
4,1.015,1.025,1.0,1.035,1.01,1.035,1.06,1.055
5,1.005,1.04,1.015,1.05,1.025,1.05,1.05,1.045
6,1.02,1.055,1.03,1.04,1.015,1.04,1.065,1.06
7,1.035,1.07,1.045,1.055,1.005,1.055,1.055,1.075
8,1.025,1.05,1.06,1.07,1.02,1.045,1.07,1.09
9,1.005,1.065,1.06,1.06,1.01,1.035,1.085,1.105
10,0.985,1.08,1.05,1.05,1.025,1.05,1.1,1.12
11,0.985,1.08,1.04,1.04,1.04,1.05,1.115,1.135
12,1.0,1.11,1.055,1.055,1.03,1.065,1.13,1.115
13,1.015,1.14,1.07,1.07,1.02,1.055,1.145,1.105
14,1.005,1.155,1.06,1.085,1.01,1.055,1.135,1.135
15,0.995,1.17,1.075,1.075,1.0,1.07,1.15,1.115
16,1.01,1.185,1.09,1.065,1.015,1.06,1.165,1.115
17,1.025,1.175,1.08,1.055,1.005,1.075,1.155,1.105
18,1.04,1.165,1.095,1.07,1.02,1.09,1.145,1.085
19,1.055,1.155,1.085,1.085,1.01,1.08,1.135,1.085
20,1.045,1.17,1.1,1.1,1.025,1.095,1.125,1.085
21,1.035,1.16,1.09,1.1,1.04,1.11,1.14,1.1
22,1.025,1.19,1.09,1.1,1.04,1.1,1.13,1.08
23,1.015,1.18,1.105,1.115,1.055,1.09,1.145,1.06
24,1.03,1.17,1.12,1.105,1.045,1.08,1.16,1.05
25,1.02,1.17,1.135,1.095,1.035,1.095,1.175,1.04
26,1.035,1.16,1.125,1.11,1.05,1.085,1.19,1.055
27,1.05,1.19,1.125,1.1,1.065,1.1,1.18,1.035
28,1.05,1.205,1.14,1.115,1.065,1.115,1.195,1.05
29,1.065,1.22,1.155,1.13,1.08,1.13,1.185,1.03
30,1.055,1.2,1.17,1.12,1.095,1.12,1.175,1.045
31,1.055,1.215,1.16,1.11,1.11,1.11,1.19,1.035
32,1.035,1.245,1.15,1.1,1.125,1.11,1.205,1.05
33,1.05,1.275,1.15,1.1,1.14,1.125,1.22,1.05
34,1.05,1.29,1.15,1.1,1.155,1.14,1.235,1.065
35,1.04,1.28,1.15,1.1,1.145,1.13,1.25,1.055
36,1.03,1.27,1.14,1.09,1.135,1.145,1.265,1.055
37,1.045,1.3,1.13,1.105,1.125,1.135,1.28,1.055
38,1.035,1.315,1.12,1.12,1.115,1.15,1.27,1.07
39,1.05,1.315,1.11,1.11,1.13,1.165,1.285,1.06
40,1.03,1.33,1.125,1.1,1.12,1.18,1.3,1.05
41,1.02,1.32,1.14,1.09,1.135,1.195,1.315,1.05
42,1.01,1.32,1.155,1.08,1.125,1.185,1.33,1.05
43,1.0,1.335,1.17,1.095,1.115,1.2,1.345,1.04
44,0.99,1.335,1.16,1.11,1.13,1.19,1.36,1.07
45,0.99,1.35,1.15,1.1,1.145,1.18,1.375,1.085
46,0.99,1.38,1.14,1.115,1.16,1.17,1.39,1.085
47,1.005,1.37,1.13,1.105,1.175,1.185,1.405,1.075
48,1.035,1.4,1.145,1.095,1.205,1.2,1.395,1.055
49,1.05,1.415,1.135,1.095,1.195,1.19,1.385,1.045
50,1.065,1.405,1.15,1.085,1.195,1.18,1.4,1.035
51,1.08,1.42,1.15,1.1,1.21,1.195,1.39,1.025
52,1.095,1.435,1.165,1.115,1.2,1.21,1.38,1.005
53,1.085,1.425,1.155,1.13,1.215,1.225,1.38,1.035
54,1.1,1.415,1.17,1.12,1.205,1.225,1.37,1.035
55,1.115,1.405,1.16,1.11,1.22,1.24,1.36,1.025
56,1.13,1.435,1.175,1.1,1.25,1.255,1.35,1.015
57,1.145,1.45,1.19,1.1,1.265,1.27,1.34,0.995
58,1.16,1.44,1.18,1.09,1.28,1.285,1.355,0.975
59,1.15,1.455,1.17,1.105,1.27,1.275,1.37,0.99
60,1.165,1.445,1.185,1.12,1.285,1.265,1.385,0.97
61,1.195,1.46,1.175,1.135,1.3,1.28,1.4,1.0
62,1.21,1.45,1.19,1.125,1.315,1.27,1.415,1.015
63,1.21,1.44,1.18,1.14,1.305,1.285,1.405,0.995
64,1.225,1.42,1.195,1.155,1.32,1.275,1.395,0.985
65,1.215,1.41,1.21,1.17,1.31,1.29,1.385,0.975
66,1.195,1.425,1.2,1.17,1.325,1.305,1.375,0.965
67,1.21,1.415,1.215,1.16,1.315,1.32,1.365,0.965
68,1.2,1.43,1.205,1.175,1.305,1.31,1.355,0.955
