,bb,random,hi_lo,ko,zen,ten,halves,uston
0,1010,990,1010,1000,1010,990,990,1010
1,1020,980,1000,990,1000,980,980,1000
2,1010,960,990,1000,990,970,970,980
3,1000,950,980,990,980,960,970,990
4,990,940,970,980,970,950,960,980
5,990,920,960,970,960,940,950,970
6,980,910,950,960,960,950,940,960
7,970,900,940,970,950,960,930,950
8,950,890,950,960,940,950,920,940
9,930,870,940,950,930,940,910,930
10,920,860,950,940,920,950,920,910
11,910,850,960,940,910,960,910,910
12,900,840,950,950,900,970,900,900
13,920,820,940,940,890,960,910,910
14,900,810,930,930,880,950,900,900
15,910,790,920,920,870,940,890,890
16,900,770,910,910,880,930,890,870
17,890,750,920,920,870,930,890,860
18,880,770,910,910,860,920,880,850
19,880,760,900,920,850,910,870,860
20,870,750,890,910,840,900,860,850
21,860,740,880,900,830,910,850,860
22,880,730,870,890,830,900,860,860
23,870,720,860,880,820,890,850,850
24,870,740,870,870,830,880,840,840
25,860,750,860,860,840,870,830,830
26,860,740,850,850,830,860,820,820
27,840,730,840,860,820,850,810,810
28,830,720,830,850,820,840,800,790
29,820,740,820,860,810,830,790,800
30,820,720,810,850,800,820,800,790
31,800,710,800,840,790,810,790,780
32,790,700,790,830,780,810,780,760
33,770,690,780,820,770,800,770,740
34,760,680,770,810,780,790,760,730
35,750,670,760,820,770,780,770,710
36,730,660,750,810,760,770,770,710
37,750,650,740,800,750,760,760,720
38,740,640,730,790,740,750,750,710
39,750,620,720,780,730,740,740,700
40,730,600,730,770,740,730,730,690
41,720,590,720,780,730,720,720,680
42,730,570,730,780,720,710,710,660
43,720,570,740,770,730,700,700,640
44,710,550,730,760,720,690,690,640
45,700,530,720,750,710,680,690,620
46,690,540,710,740,700,670,680,610
47,670,530,700,750,710,660,670,600
48,690,510,710,740,700,650,660,590
49,690,530,700,730,710,640,650,570
50,680,520,690,720,720,630,640,560
51,670,510,680,710,710,620,630,570
52,660,490,670,700,700,610,620,560
53,640,500,660,710,690,600,610,550
54,660,480,670,700,680,590,600,560
55,650,460,680,710,690,580,590,550
56,640,470,690,700,690,590,580,530
57,620,460,680,690,700,600,570,540
58,610,440,670,680,700,590,560,520
59,590,430,660,670,690,580,550,500
60,580,410,650,660,680,570,540,500
61,580,400,640,650,670,560,530,490
62,570,390,630,660,660,550,520,480
63,580,400,620,650,650,540,510,480
64,560,380,610,640,640,530,500,500
65,550,370,600,630,630,520,490,510
66,530,360,590,630,620,510,500,500
67,520,340,580,620,610,500,490,510
68,530,340,570,610,600,510,480,490
69,520,330,560,600,590,500,470,480
70,510,320,550,590,580,490,460,470
71,490,310,540,580,570,480,450,460
72,480,300,530,570,560,470,440,450
73,470,290,520,560,550,460,430,440
74,460,280,510,550,540,450,420,430
75,450,270,500,560,530,460,430,420
76,440,250,490,550,520,450,420,410
77,450,230,480,540,510,440,410,400
78,430,250,470,530,500,430,420,380
79,450,230,460,520,490,420,410,370
80,440,240,450,510,480,410,400,360
81,430,220,440,500,470,400,390,350
82,440,210,430,510,460,390,380,360
83,430,200,420,500,450,380,370,350
84,420,190,430,490,440,370,360,340
85,410,180,430,480,430,360,350,330
86,400,170,420,470,440,350,360,320
87,380,150,410,460,430,340,350,310
88,390,140,400,450,420,330,340,300
89,370,130,410,440,410,320,330,290
90,360,110,400,430,400,320,320,280
91,350,100,390,420,390,310,310,270
92,370,90,380,410,380,300,300,260
93,360,90,370,400,390,290,290,250
94,340,80,360,390,380,280,280,240
95,330,70,350,380,370,270,270,220
96,320,60,340,370,360,260,260,210
97,300,40,330,360,370,250,250,190
98,290,30,320,360,380,250,240,180
99,280,10,320,350,370,240,230,160
