,bb,random,hi_lo,ko,zen,ten,halves,uston
0,990,990,990,990,990,990,990,990
1,980,980,980,980,980,1000,980,980
2,960,970,970,970,970,990,970,970
3,950,960,960,980,960,980,980,960
4,950,950,950,990,950,970,970,970
5,950,960,950,980,950,960,960,970
6,930,950,940,970,960,970,950,960
7,920,940,930,960,950,970,960,950
8,930,920,930,950,940,960,970,940
9,910,930,920,940,950,950,960,920
10,920,920,910,930,940,940,950,910
11,910,900,900,940,930,950,940,900
12,890,890,910,930,920,940,950,910
13,900,870,920,920,910,930,940,890
14,890,850,910,910,900,920,930,880
15,880,830,900,910,910,910,920,870
16,870,820,890,900,900,900,910,860
17,860,810,880,900,910,890,900,840
18,850,790,880,910,900,880,890,830
19,840,770,870,910,890,870,880,820
20,830,780,860,900,880,860,890,810
21,820,760,870,890,890,850,880,800
22,830,740,860,900,880,840,870,790
23,820,730,850,890,870,830,860,780
24,810,720,840,900,860,820,850,770
25,810,710,830,890,850,810,840,760
26,800,700,820,880,850,800,830,750
27,810,700,830,870,860,790,820,740
28,830,680,840,860,850,790,810,730
29,820,690,830,850,840,780,800,730
30,820,680,820,850,850,770,790,720
31,830,670,810,840,840,760,780,710
32,820,660,800,830,830,750,780,700
33,810,650,790,820,820,760,780,690
34,800,640,800,810,820,750,790,680
35,790,630,790,800,830,740,780,690
36,800,610,780,790,820,730,770,700
37,790,600,790,780,810,740,770,680
38,800,620,780,770,800,730,760,670
39,790,620,770,760,800,720,750,660
40,800,640,760,750,790,710,740,650
41,800,640,750,750,780,700,730,640
42,790,620,740,760,770,690,720,620
43,780,610,730,750,760,680,710,610
44,770,590,720,740,750,690,720,600
45,760,580,710,750,740,680,710,590
46,750,560,700,740,750,670,700,600
47,770,550,690,730,740,660,690,610
48,750,560,680,720,730,650,700,590
49,740,550,670,730,720,660,710,580
50,720,530,660,720,730,670,700,590
51,730,520,650,730,740,660,690,580
52,720,510,660,740,730,650,680,570
53,700,490,650,730,740,650,670,580
54,690,480,640,720,730,640,660,570
55,680,470,630,710,720,630,650,550
56,680,450,620,700,710,620,640,540
57,670,440,610,700,720,610,630,530
58,660,420,600,690,710,600,630,520
59,650,410,590,700,700,590,620,510
60,660,400,580,690,690,580,610,500
61,640,380,570,680,680,570,600,480
62,660,370,560,670,670,580,590,470
63,640,350,550,660,660,570,580,480
64,650,340,540,650,650,570,590,470
65,660,330,530,640,640,560,580,460
66,650,310,520,630,630,550,580,450
67,660,320,510,620,620,540,580,440
68,680,300,500,610,610,530,570,430
69,690,280,490,600,600,520,560,420
70,680,260,480,590,600,510,550,430
71,670,250,490,580,590,500,540,420
72,660,230,500,570,580,490,530,410
73,650,210,490,560,570,480,520,390
74,630,200,480,550,560,490,510,400
75,610,220,470,540,550,480,500,380
76,590,200,460,550,540,490,490,390
77,580,180,450,540,530,500,490,380
78,570,180,440,550,520,490,480,370
79,560,170,430,550,530,480,470,360
80,550,160,420,540,520,470,460,340
81,530,150,410,530,510,460,450,330
82,510,170,400,520,500,450,440,330
83,500,160,410,510,500,440,430,310
84,480,150,420,500,490,430,420,290
85,460,160,410,490,480,420,410,300
86,450,150,400,480,470,410,400,290
87,440,130,390,470,460,400,390,280
88,420,110,380,460,450,390,380,260
89,400,100,370,460,440,380,370,250
90,390,80,360,470,430,370,360,260
91,380,70,350,460,420,360,350,250
92,370,60,350,450,410,350,340,240
93,350,80,350,440,400,340,340,230
94,340,90,340,430,390,330,330,220
95,360,110,330,420,380,320,340,210
96,340,100,340,410,370,310,330,200
97,330,110,350,400,360,310,320,190
98,320,100,340,390,350,300,330,180
99,310,90,330,390,360,290,340,170
